Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI: Åland,FI200,-0.028550817905726732,-0.03840805226390907,-0.021930091491666664,-0.009917610265588645,118,0.746,0.369,0.787,0.217,2
FI: Kanta-Häme,FI1C2,-0.027155290473944507,-0.03550733216193229,-0.021487549413788172,-0.010899744484855872,122,0.738,0.66,0.971,0.473,3
FI: Päijät-Häme,FI1C3,-0.028411974139916907,-0.037332463519660214,-0.02002020298227086,-0.010698625047739697,114,0.728,0.611,0.915,0.407,3
FI: Satakunta,FI196,-0.02641020927116549,-0.03305750358538745,-0.01894238444089341,-0.008829188588091322,104,0.721,0.855,0.949,0.585,3
FI: Keski-Suomi,FI193,-0.02701045331687892,-0.033124275984862825,-0.020449742207234712,-0.008462417148052664,109,0.725,0.25,0.691,0.125,1
FI: Pirkanmaa,FI197,-0.02615042607235678,-0.035078288049207075,-0.02002592510416709,-0.010778118516312187,120,0.742,0.648,0.916,0.44,3
FI: Pohjanmaa,FI195,-0.025117320158389536,-0.035324390353314444,-0.017687813346339544,-0.010193838864145092,114,0.737,1.0,0.944,0.696,4
FI: Helsinki-Uusimaa,FI1B1,-0.02653178704340473,-0.03555426401857576,-0.020707751953293926,-0.010309830883859287,111,0.73,1.0,1.0,0.73,4
FI: Kymenlaakso,FI1C4,-0.025045917382814704,-0.03496168572169753,-0.018627117043200924,-0.005872681576800511,120,0.692,0.618,0.927,0.396,2
FI: Etelä-Pohjanmaa,FI194,-0.02455580471569149,-0.032701485011602596,-0.01754740136957081,-0.010374143423940952,116,0.741,1.0,0.792,0.587,3
FI: Varsinais-Suomi,FI1C1,-0.025689625519331783,-0.034304472106705765,-0.018046349294899903,-0.009960948698507086,120,0.725,1.0,0.98,0.71,4
FI: Lappi,FI1D7,-0.02845522902426775,-0.03894946370249971,-0.02062155012423614,-0.01085792705883338,115,0.73,0.094,0.242,0.017,1
FI: Etelä-Savo,FI1D1,-0.02782480809495949,-0.037831673403672966,-0.020747813717405944,-0.00854377694716308,115,0.696,0.079,0.551,0.03,1
FI: Pohjois-Karjala,FI1D3,-0.02860794363322138,-0.042260311055257196,-0.021667359961517352,-0.008786698905484506,119,0.714,0.156,0.415,0.046,1
FI: Kainuu,FI1D8,-0.028879061263798803,-0.04221467841891184,-0.02117151127216736,-0.01180944649969661,115,0.774,0.044,0.01,0.0,0
FI: Pohjois-Savo,FI1D2,-0.022254988060613542,-0.0299612386190959,-0.01833492078015115,-0.010503672399600001,115,0.722,0.375,0.58,0.157,1
FI: Keski-Pohjanmaa,FI1D5,-0.025337369833767463,-0.03676849973740887,-0.017233692743158665,-0.008386691308314697,123,0.642,0.667,0.555,0.238,2
FI: Pohjois-Pohjanmaa,FI1D9,-0.027598785910281167,-0.04038645579614533,-0.018957285199266368,-0.008852842785547451,113,0.655,0.315,0.641,0.132,1
FI: Etelä-Karjala,FI1C5,-0.029176123061802582,-0.039430913858143304,-0.021870101295736265,-0.012982162937314605,102,0.784,0.215,0.74,0.125,1
