Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FR: Yvelines,FR103,-0.027768689117230433,-0.038346842113854376,-0.0207456980221142,-0.009534920332148153,118,0.712,0.83,0.995,0.588,3
FR: Essonne,FR104,-0.027402412220527746,-0.04006078739682142,-0.018318250302098667,-0.0073122528551806,114,0.614,0.968,0.995,0.591,3
FR: Paris,FR101,-0.029001903005664166,-0.04151667710506422,-0.02070076109995141,-0.010357147427280944,115,0.704,1.0,1.0,0.704,4
FR: Indre-et-Loire,FRB04,-0.031136635781798518,-0.044327702439513644,-0.020877050633358755,-0.009212063050124245,109,0.651,1.0,0.776,0.505,3
FR: Hauts-de-Seine,FR105,-0.027768689117230433,-0.038346842113854376,-0.0207456980221142,-0.009534920332148153,118,0.712,0.86,1.0,0.612,4
FR: Seine-et-Marne,FR102,-0.027768689117230433,-0.038346842113854376,-0.0207456980221142,-0.009534920332148153,118,0.712,1.0,0.957,0.681,4
FR: Loiret,FRB06,-0.027768689117230433,-0.038346842113854376,-0.0207456980221142,-0.009534920332148153,118,0.712,1.0,0.756,0.538,3
FR: Nièvre,FRC12,-0.027232284180863514,-0.03890211170424074,-0.01977588715320375,-0.010060749008459022,118,0.686,0.545,0.469,0.175,1
FR: Côte-d’Or,FRC11,-0.032381163158229594,-0.039748191770000954,-0.021376894197350185,-0.010318896664891537,105,0.714,0.785,0.753,0.422,3
FR: Loir-et-Cher,FRB05,-0.030581954993074575,-0.04928336566452332,-0.022117095433361635,-0.010510491341096322,109,0.67,0.77,0.734,0.379,2
FR: Alpes-Maritimes,FRL03,-0.0373035607375549,-0.04506073184264699,-0.022973802239477488,-0.011308707623858447,101,0.713,0.297,0.95,0.201,2
FR: Haute-Vienne,FRI23,-0.03612588634718404,-0.049646625078817036,-0.02417701827221946,-0.009259031891847425,108,0.676,0.509,0.645,0.222,2
FR: Var,FRL05,-0.031079626171687337,-0.041225317501068136,-0.02086979604395441,-0.010220144115086727,109,0.688,0.364,0.934,0.234,2
FR: Vosges,FRF34,-0.02861087838158582,-0.04272966897114576,-0.021100000792485266,-0.008385395060566351,114,0.675,0.274,0.728,0.135,1
FR: Côtes-d’Armor,FRH01,-0.028252344778588886,-0.038333483918555816,-0.022475328983180325,-0.01231950759017859,113,0.735,1.0,0.635,0.467,3
FR: Dordogne,FRI11,-0.028552646272052208,-0.03883076396070542,-0.018778301232677725,-0.010923941199603994,113,0.699,0.727,0.441,0.224,2
FR: Drôme,FRK23,-0.02855687615628729,-0.03965990110736374,-0.022053892993930322,-0.012239158696752583,113,0.735,0.591,0.818,0.355,2
FR: Charente,FRI31,-0.027721790557816376,-0.04043453147326437,-0.018419237848194818,-0.009564931667517701,114,0.64,1.0,0.528,0.338,2
FR: Loire-Atlantique,FRG01,-0.02709425906851795,-0.035867581708522875,-0.021899589385533817,-0.011869817512228707,118,0.72,1.0,0.894,0.644,4
FR: Isère,FRK24,-0.030360060342953642,-0.03870819729947393,-0.023031260849987033,-0.01355526186036965,111,0.775,0.509,0.934,0.368,2
FR: Mayenne,FRG03,-0.02991401182298487,-0.040943863827851326,-0.02412329315236976,-0.013919386760746992,116,0.784,1.0,0.527,0.413,3
FR: Creuse,FRI22,-0.026059800990616114,-0.03485269642804027,-0.023159645949223005,-0.012389711593700599,117,0.735,0.304,0.01,0.002,1
FR: Bouches-du-Rhône,FRL04,-0.02891260727031717,-0.03771540766747196,-0.020544314754020826,-0.009108767745708539,120,0.667,0.517,0.973,0.336,2
FR: Morbihan,FRH04,-0.028936613737218425,-0.039291871069625825,-0.0200292025056545,-0.00954857754675733,119,0.63,1.0,0.719,0.453,3
FR: Gironde,FRI12,-0.032209678863811604,-0.04413064816454909,-0.02235628189645187,-0.010211361582978355,110,0.673,0.227,0.886,0.135,1
FR: Rhône,FRK26,-0.02818797003789154,-0.037887292614464996,-0.020993138389001836,-0.009702766248412018,115,0.678,0.307,0.979,0.204,2
FR: Loire,FRK25,-0.025460539394760305,-0.031118133535300626,-0.020429211749051955,-0.00923743702431289,122,0.656,0.366,0.854,0.205,2
FR: Saône-et-Loire,FRC13,-0.023718992693078093,-0.032021862796569205,-0.018046687895762397,-0.007407505214554849,121,0.612,0.507,0.684,0.212,2
FR: Haute-Loire,FRK13,-0.024700709229309135,-0.03564698762566865,-0.019307301106417887,-0.00830994654579294,121,0.661,0.198,0.791,0.104,1
FR: Allier,FRK11,-0.027313225837481896,-0.035197061085405955,-0.017783837698322112,-0.009218929193234447,112,0.67,0.668,0.54,0.242,2
FR: Aude,FRJ11,-0.026172257454473394,-0.03836916739105253,-0.018477350562163004,-0.011123804667571013,118,0.72,0.458,0.783,0.258,2
FR: Lot-et-Garonne,FRI14,-0.024789321182182116,-0.03601253324462417,-0.017899545487093958,-0.0064743406862762375,122,0.639,1.0,0.589,0.376,2
FR: Deux-Sèvres,FRI33,-0.025779917157047114,-0.03704194781919136,-0.018445290523422656,-0.009765154651641371,119,0.689,1.0,0.568,0.391,2
FR: Savoie,FRK27,-0.026166495518191488,-0.035065303856041,-0.024025093142792255,-0.011051877266824947,118,0.712,0.089,0.811,0.051,1
FR: Somme,FRE23,-0.02426840777526651,-0.030297321495498623,-0.018812066296321216,-0.008723996253652801,119,0.613,0.942,0.781,0.451,3
FR: Seine-Maritime,FRD22,-0.025892148477878213,-0.03852489531753076,-0.017355100872640517,-0.007996480122186851,118,0.669,1.0,0.855,0.572,3
FR: Haute-Garonne,FRJ23,-0.027047198316843143,-0.03955078922844712,-0.01815386019581173,-0.008859434823030504,111,0.622,1.0,0.865,0.538,3
FR: Gers,FRJ24,-0.026056448545226093,-0.03519131620458184,-0.021139198600223966,-0.008874285393974815,115,0.67,1.0,0.665,0.446,3
