Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FR: Yvelines,FR103,-0.03290522479912842,-0.04314072357679703,-0.02408662280343238,-0.01307274179255147,112,0.741,0.984,0.997,0.727,4
FR: Essonne,FR104,-0.030855109089995447,-0.040797154009431555,-0.02258776987193372,-0.0124569817153753,112,0.714,1.0,0.996,0.711,4
FR: Paris,FR101,-0.029973958036933975,-0.04121889174830641,-0.020338014773052443,-0.010186618503313849,116,0.664,1.0,1.0,0.664,4
FR: Indre-et-Loire,FRB04,-0.03422280216810656,-0.045256039964580344,-0.0253601580006119,-0.013071348637931393,112,0.741,0.972,0.822,0.592,3
FR: Hauts-de-Seine,FR105,-0.03290522479912842,-0.04314072357679703,-0.02408662280343238,-0.01307274179255147,112,0.741,0.859,1.0,0.637,4
FR: Seine-et-Marne,FR102,-0.03290522479912842,-0.04314072357679703,-0.02408662280343238,-0.01307274179255147,112,0.741,1.0,0.97,0.719,4
FR: Loiret,FRB06,-0.03290522479912842,-0.04314072357679703,-0.02408662280343238,-0.01307274179255147,112,0.741,1.0,0.807,0.598,3
FR: Nièvre,FRC12,-0.030852549418197754,-0.04134495702175271,-0.023018953001558498,-0.011972103932468982,111,0.703,0.541,0.528,0.201,2
FR: Côte-d’Or,FRC11,-0.0349362990681673,-0.04794686065836298,-0.02607044726999742,-0.013581541192027442,108,0.75,0.861,0.792,0.511,3
FR: Loir-et-Cher,FRB05,-0.03195228821823534,-0.04081478596667393,-0.02461787528036088,-0.01116026675269911,114,0.684,0.729,0.781,0.389,2
FR: Alpes-Maritimes,FRL03,-0.033897424018101044,-0.044820288784986236,-0.025457453305835185,-0.014581479136724525,113,0.796,0.368,0.935,0.274,2
FR: Haute-Vienne,FRI23,-0.034924934244911346,-0.0508768272254754,-0.024000028727882622,-0.011871016449829573,113,0.717,0.601,0.702,0.303,2
FR: Var,FRL05,-0.03601339441410601,-0.052125435108490804,-0.024820311091492034,-0.013488179175022347,110,0.764,0.348,0.953,0.253,2
FR: Vosges,FRF34,-0.033839854481548304,-0.04418633164750535,-0.024991017284656507,-0.014542461422358606,111,0.757,0.299,0.779,0.176,1
FR: Côtes-d’Armor,FRH01,-0.035038503014744427,-0.05020112143309265,-0.029754289785619135,-0.010550516454090702,107,0.692,1.0,0.717,0.496,3
FR: Dordogne,FRI11,-0.03025901750738259,-0.04435435624268307,-0.024711129188748644,-0.011929717446470152,118,0.695,0.705,0.497,0.244,2
FR: Drôme,FRK23,-0.032921462492614344,-0.04679318262432615,-0.02536826347805931,-0.011948474416608483,115,0.73,0.68,0.854,0.424,3
FR: Charente,FRI31,-0.034593255684306344,-0.04770351353709915,-0.025675814290328072,-0.012607803248982237,107,0.72,1.0,0.589,0.424,3
FR: Loire-Atlantique,FRG01,-0.03100517164393725,-0.04483332273401864,-0.021877644578645595,-0.009941623891142589,108,0.685,1.0,0.927,0.635,4
FR: Isère,FRK24,-0.03739951996116279,-0.05400802143338347,-0.027671776848208464,-0.011923532874769103,105,0.733,0.629,0.953,0.439,3
FR: Mayenne,FRG03,-0.03295194964148546,-0.04736080639064509,-0.02052500645316287,-0.010329631788788823,113,0.708,1.0,0.591,0.418,3
FR: Creuse,FRI22,-0.03192284146355056,-0.048515036026593156,-0.020359902265982097,-0.010773669817245897,109,0.697,0.382,0.01,0.003,1
FR: Bouches-du-Rhône,FRL04,-0.02872166160036714,-0.03692870773556503,-0.01990016560809931,-0.010727831496063439,122,0.68,0.5,0.983,0.334,2
FR: Morbihan,FRH04,-0.02698013255317683,-0.0338299714250784,-0.01761824418792308,-0.01012036190388611,125,0.64,1.0,0.784,0.502,3
FR: Gironde,FRI12,-0.03179629742644043,-0.041288221107450056,-0.022142345277665988,-0.011609450552343432,121,0.711,0.237,0.91,0.153,1
FR: Rhône,FRK26,-0.029442815414497215,-0.039170633991870436,-0.02038742355786236,-0.01035519508912874,121,0.694,0.428,0.987,0.293,2
FR: Loire,FRK25,-0.03426416677105078,-0.04670089161431397,-0.022678766699249127,-0.011713152168716063,115,0.713,0.438,0.892,0.279,2
FR: Saône-et-Loire,FRC13,-0.03155942309389926,-0.045601080698360254,-0.020377757428710896,-0.008476099899611697,111,0.613,0.59,0.741,0.268,2
FR: Haute-Loire,FRK13,-0.03153353149765986,-0.040712274823121244,-0.020800130762085648,-0.011476904504451482,114,0.693,0.221,0.825,0.126,1
FR: Allier,FRK11,-0.03156821279928141,-0.043557679936864116,-0.02080708696105512,-0.010060691879657838,113,0.673,0.744,0.601,0.301,2
FR: Aude,FRJ11,-0.032763910275496765,-0.046063553876359825,-0.02148303483367686,-0.011906192012572082,111,0.694,0.388,0.831,0.224,2
FR: Lot-et-Garonne,FRI14,-0.030236889543720502,-0.04128540548885553,-0.019886702620372683,-0.008961554838270758,116,0.638,1.0,0.653,0.417,3
FR: Deux-Sèvres,FRI33,-0.033823743318024437,-0.04985308221552594,-0.027799179274263716,-0.010470302366465765,110,0.664,1.0,0.657,0.436,3
FR: Savoie,FRK27,-0.029803107098169326,-0.04627064816338124,-0.01815917284194185,-0.009619792267643078,108,0.657,0.094,0.817,0.05,1
FR: Somme,FRE23,-0.02829548181181704,-0.04052351151300237,-0.018399000805794746,-0.011176551112431222,124,0.677,1.0,0.841,0.569,3
FR: Seine-Maritime,FRD22,-0.030768426257104242,-0.04485557493254398,-0.024702455935480372,-0.011333695871934031,119,0.706,1.0,0.894,0.631,4
FR: Haute-Garonne,FRJ23,-0.03019694509044765,-0.046541215756737045,-0.023629678528935417,-0.010977419050098055,121,0.702,1.0,0.893,0.627,4
FR: Gers,FRJ24,-0.03448373318164028,-0.05323355992312954,-0.028012738937401152,-0.01291587824695819,110,0.727,1.0,0.717,0.521,3
FR: Gard,FRJ12,-0.032629081093524345,-0.051874125925526364,-0.021528403033943287,-0.009429240214391718,110,0.627,0.312,0.934,0.183,1
FR: Haute-Savoie,FRK28,-0.03156744424740873,-0.05207447612247699,-0.01803648286863262,-0.01069817819553075,111,0.676,0.275,0.892,0.166,1
FR: Vienne,FRI34,-0.03272583571606289,-0.0512455511120326,-0.021486687800081377,-0.010750882987014095,111,0.676,1.0,0.661,0.447,3
FR: Yonne,FRC14,-0.03324048535498188,-0.05174559120805807,-0.022223563450448958,-0.01047536653371138,110,0.682,1.0,0.574,0.391,2
FR: Aube,FRF22,-0.03811345280054046,-0.04955397301043154,-0.025914530043419516,-0.014460784294608738,117,0.752,1.0,0.673,0.506,3
FR: Charente-Maritime,FRI32,-0.03453383444445897,-0.04912801500535481,-0.023432033289752734,-0.012021670948258767,112,0.723,1.0,0.721,0.521,3
FR: Seine-Saint-Denis,FR106,-0.02872855277343803,-0.03888049444464839,-0.02109088750473814,-0.009388217836635867,124,0.653,0.59,1.0,0.385,2
FR: Hautes-Alpes,FRL02,-0.03124451073211214,-0.040431124372850485,-0.02145252163077083,-0.010102898798225915,117,0.675,0.27,0.448,0.082,1
FR: Alpes-de-Haute-Provence,FRL01,-0.043861754597215266,-0.06312040364557035,-0.029521434614505078,-0.01796315228630947,105,0.81,0.49,0.707,0.281,2
FR: Vendée,FRG05,-0.028494460807929646,-0.0394472293991577,-0.020815614559077354,-0.009382582297101812,119,0.639,1.0,0.835,0.534,3
FR: Val-de-Marne,FR107,-0.02840901830902112,-0.03723832574345827,-0.019527876409872587,-0.00817146716213374,123,0.61,0.736,1.0,0.449,3
FR: Bas-Rhin,FRF11,-0.03033748517530678,-0.0378893940799342,-0.022806340665459647,-0.011047565693286096,124,0.71,0.449,0.946,0.302,2
FR: Hérault,FRJ13,-0.027611600606668184,-0.03692031849589531,-0.01895935763673223,-0.008843574864081213,126,0.627,0.155,0.933,0.091,1
FR: Manche,FRD12,-0.03693859741737337,-0.04277644394383353,-0.025762982922693405,-0.012952987172715499,114,0.746,0.413,0.655,0.202,2
FR: Ardèche,FRK22,-0.03663090811275068,-0.049060986906217185,-0.02683538191890491,-0.015555313722187915,112,0.795,0.303,0.881,0.212,2
FR: Aisne,FRE21,-0.03602860999901897,-0.049563018899509655,-0.027650887479644615,-0.014257722458851107,113,0.752,1.0,0.823,0.619,4
FR: Haute-Corse,FRM02,-0.03618490375215677,-0.04895970679219219,-0.026278165996599524,-0.011833580667237952,121,0.711,0.091,0.673,0.044,1
FR: Oise,FRE22,-0.036166525587244036,-0.044859923034697054,-0.025688255406711845,-0.010519140145442307,109,0.688,1.0,0.945,0.65,4
FR: Ardennes,FRF21,-0.031573669652857794,-0.04202192303698471,-0.020962316256381668,-0.011411469696434143,117,0.667,0.733,0.766,0.375,2
FR: Val-d’Oise,FR108,-0.03451025098348553,-0.04500048649700396,-0.02414470303020274,-0.011670236367414382,114,0.728,1.0,0.994,0.724,4
FR: Marne,FRF23,-0.034725993493676215,-0.04557427072628225,-0.025567389399944865,-0.010611870403787001,118,0.695,1.0,0.778,0.541,3
FR: Meurthe-et-Moselle,FRF31,-0.03583456081930302,-0.047407148468063084,-0.02612090793179091,-0.012412404829859567,117,0.709,0.805,0.885,0.505,3
FR: Lozère,FRJ14,-0.03380357916534464,-0.0414159865191714,-0.026797635206357598,-0.012468993248473432,115,0.748,0.151,0.065,0.007,1
FR: Pyrénées-Orientales,FRJ15,-0.040486106845252216,-0.054370842542427675,-0.02970508909574235,-0.015733851553804114,106,0.811,0.375,0.856,0.26,2
FR: Meuse,FRF32,-0.0397091932639935,-0.056584734065324035,-0.028405821082451627,-0.016272959418250594,107,0.785,0.884,0.619,0.43,3
FR: Corse-du-Sud,FRM01,-0.04708488593019925,-0.06220987698398468,-0.027907410658556894,-0.014820877178555467,109,0.798,0.056,0.494,0.022,1
