NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
HR021,-0.4052653807587999,-0.6583051409644394,-0.33338353330130066,-0.05733484663424543,33,0.818,1.0,0.967,0.791,4
HR022,-24.341775645157366,-24.341775645157366,-24.341775645157366,-24.341775645157366,1,1.0,0.628,0.667,0.419,3
HR023,-29.3356812352469,-29.3356812352469,-29.3356812352469,-29.3356812352469,1,1.0,0.653,0.01,0.007,1
HR024,-0.34499056885865664,-0.4012639781221126,-0.3509331523796815,-0.2910989739543065,43,0.907,0.463,0.501,0.21,2
HR025,-0.2586971540288449,-0.36836829694140505,-0.31673190411913876,-0.0422069553396833,56,0.75,0.504,0.595,0.225,2
HR026,-5.5597279676311775,-6.336169935834637,-2.7429419898078296,-1.6633798115774825,5,1.0,0.637,0.643,0.41,3
HR027,-0.008396796196693654,-0.012443628533089987,-0.0015663991126397972,-0.0009347653182703919,3,0.0,0.901,0.787,0.0,0
HR028,-0.2691330091275195,-0.41590597399485424,-0.36647690895923846,-0.018875871862175184,59,0.695,0.781,1.0,0.543,3
HR031,,,,,0,0.0,1.0,0.881,0.0,0
HR032,-0.042372113965134545,-0.05377775042354689,-0.04036086082432187,-0.021354794745468517,45,0.533,0.665,0.499,0.177,1
HR033,-0.111417467059613,-0.13923258232588415,-0.11315847211939753,-0.08377660150598959,44,0.932,0.576,0.614,0.33,2
HR034,-0.0873012915200778,-0.10790050109297722,-0.08595394355298784,-0.06061105479448123,43,0.907,1.0,0.694,0.629,4
HR035,-0.13732757362493012,-0.17075636393117238,-0.14003884476049483,-0.1110155329794619,43,0.953,0.576,0.381,0.209,2
HR036,-0.021289826702661722,-0.027208892188609023,-0.017525498081890217,-0.008569378362659452,30,0.167,0.95,0.779,0.124,1
HR037,-0.05549605721778515,-0.07068461590337695,-0.05222691267948757,-0.03741574108647702,41,0.683,0.587,0.8,0.321,2
HR050,-2.7276203320684056,-3.0043344258392297,-2.373237403653932,-1.5162575748461404,7,1.0,0.731,0.757,0.553,3
HR061,-24.21776330465874,-24.21776330465874,-24.21776330465874,-24.21776330465874,1,1.0,0.787,0.823,0.648,4
HR062,-0.5217507165220159,-0.7179205034366145,-0.4234823252152423,-0.3210233342197165,26,0.923,0.672,0.946,0.587,3
HR063,-0.010360005505844226,-0.010938081077168081,-0.005603712385305489,-0.0030883619646093147,34,0.059,0.958,0.497,0.028,1
HR064,-22.94968624356213,-22.94968624356213,-22.94968624356213,-22.94968624356213,1,1.0,0.645,0.399,0.257,2
HR065,-0.044230871523020486,-0.06353477616599808,-0.03026447818056198,-0.015028297447463533,105,0.419,0.92,0.845,0.326,2
