NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
HR021,-0.36611475278659744,-0.5694677815381463,-0.29226598923790637,-0.08060962348390333,37,0.919,1.0,1.0,0.919,5
HR022,-12.187738593413428,-15.623441623526466,-12.187738593413428,-8.75203556330039,2,1.0,0.763,0.243,0.185,1
HR023,-29.359177256282788,-29.359177256282788,-29.359177256282788,-29.359177256282788,1,1.0,0.828,0.01,0.008,1
HR024,-0.347172004776413,-0.4245505051077661,-0.358094165197195,-0.058563138441301135,43,0.767,0.471,0.065,0.023,1
HR025,-0.28760834896482385,-0.37813204966150815,-0.3317159232760015,-0.15182119793064197,51,0.784,0.452,0.718,0.254,2
HR026,-3.069939419343333,-4.502305527895051,-2.8049590705986476,-1.3182911773218973,9,1.0,0.594,0.73,0.434,3
HR027,-0.016399192604040366,-0.02642071027265164,-0.011696262328064186,-0.009574321760719286,8,0.0,0.908,0.745,0.0,0
HR028,-0.3372427181182936,-0.43509168993232095,-0.39132361375393065,-0.3336102405187106,48,0.854,0.771,0.984,0.648,4
HR031,,,,,0,0.0,0.931,0.896,0.0,0
HR032,-0.03954990944947494,-0.056879764337947766,-0.03642081592923954,-0.019240616645784425,46,0.435,0.655,0.45,0.128,1
HR033,-0.09803875788971843,-0.13771712331567082,-0.10381497496043883,-0.0641937331351757,49,0.816,0.494,0.374,0.151,1
HR034,-0.0779411527298849,-0.10305955883649712,-0.08335704982633949,-0.05665744650747645,44,0.795,1.0,0.508,0.404,3
HR035,-0.1312112111779852,-0.15550835315989164,-0.13383872142222422,-0.11921983055576052,43,0.93,0.519,0.438,0.211,2
HR036,-0.02848131306117713,-0.041606633704048886,-0.02568099500780435,-0.00855535989210674,28,0.286,1.0,0.508,0.145,1
HR037,-0.04312843278845831,-0.06888714758961448,-0.037932539761855136,-0.02081316298928037,47,0.426,0.61,0.849,0.221,2
HR050,-3.21584688214428,-5.146068431321903,-2.7327323893398874,-1.4826524807114931,6,1.0,0.7,0.742,0.519,3
HR061,-24.340763689330046,-24.340763689330046,-24.340763689330046,-24.340763689330046,1,1.0,0.876,0.765,0.67,4
HR062,-0.3943789627692112,-0.6263819604811874,-0.3138387510073794,-0.0996307123345353,35,0.886,0.985,0.897,0.783,4
HR063,-0.015568568811765925,-0.02092562742607928,-0.012146509679245781,-0.005332279830427611,38,0.105,0.922,0.28,0.027,1
HR064,-23.13392476203214,-23.13392476203214,-23.13392476203214,-23.13392476203214,1,1.0,0.601,0.545,0.328,2
HR065,-0.046459492252477946,-0.06560096646050319,-0.032878675221267875,-0.01446837197498717,108,0.398,0.892,0.828,0.294,2
