NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ITC11,-0.07958260222565909,-0.10659086953298559,-0.06168195779320251,-0.03289920213337126,66,0.697,0.75,0.981,0.513,3
ITC12,-1.5676077475406016,-1.5875365386392324,-0.9072725735260365,-0.8318300720291447,12,1.0,0.51,0.01,0.005,1
ITC13,-0.10605160468833287,-0.16528074125279912,-0.06540658986722087,-0.023137825309579793,87,0.667,0.575,0.911,0.349,2
ITC14,-0.014287242780489904,-0.019551892446717782,-0.01117941610477988,-0.0049014451122826866,16,0.0,0.594,0.974,0.0,0
ITC15,-0.03299547199471708,-0.04343022430058281,-0.022542980931012993,-0.009217269275760508,87,0.31,0.747,0.889,0.206,2
ITC16,-0.03810694877811518,-0.048157907442666605,-0.027838185925564106,-0.012674528244629626,99,0.364,0.503,0.774,0.142,1
ITC17,-0.19758272692302864,-0.31103188581296715,-0.12791414913978438,-0.059142005545302155,64,0.812,1.0,0.585,0.475,3
ITC18,-0.06291204127326207,-0.0912180405279413,-0.041976312252081746,-0.021262747359322196,70,0.557,0.639,0.827,0.294,2
ITC20,-0.03030360891370358,-0.048040865046477456,-0.01886751442489153,-0.009602411802046146,79,0.367,1.0,0.911,0.334,2
ITC31,-0.8670210973275625,-0.8534572956606347,-0.45521548033586623,-0.2870096802191092,20,0.95,0.635,0.806,0.486,3
ITC32,-0.11560763301973966,-0.16168324012545607,-0.10350055562663397,-0.04552250540286036,88,0.773,0.908,0.798,0.56,3
ITC33,-0.03327233075170052,-0.04407829154402003,-0.024331866456364926,-0.01454202601940844,95,0.295,0.078,0.893,0.021,1
ITC34,-0.2069797397359927,-0.2889923717641536,-0.18120429499053387,-0.07163147527618621,62,0.919,0.709,0.932,0.607,4
ITC41,-0.07430187356202433,-0.10514160569025549,-0.05967146199529722,-0.026708998653886318,62,0.661,1.0,0.99,0.654,4
ITC42,-0.14492292957444486,-0.23387740523823536,-0.17792338350771614,-0.020878035473782877,70,0.643,0.533,0.755,0.259,2
ITC43,-0.42745516412262446,-0.5272213863887693,-0.5009247796322822,-0.4663525099337553,48,0.854,0.792,0.713,0.482,3
ITC44,-0.03283511292668118,-0.05115756058239851,-0.02478352666349271,-0.012325384422196738,35,0.343,0.71,0.844,0.206,2
ITC46,-0.09239126299009624,-0.14368201426896787,-0.07243666299275245,-0.026331495638566866,65,0.662,1.0,0.873,0.578,3
ITC47,-0.025927065623510572,-0.03527003516558052,-0.024061862090135715,-0.009740972091305202,30,0.233,1.0,0.738,0.172,1
ITC48,-0.372948423330699,-0.4625281791158561,-0.3559144080172395,-0.06627772657673524,45,0.778,0.558,0.759,0.33,2
ITC49,-0.13214449657473568,-0.22065191627243544,-0.08002713936149063,-0.04102004055530654,87,0.782,0.345,0.783,0.211,2
ITC4A,-0.03664128397300304,-0.05068972178620759,-0.02614729302250403,-0.014030490585307429,69,0.377,0.85,0.484,0.155,1
ITC4B,-0.02411714029878235,-0.040580719787656365,-0.015322075384765446,-0.006571576646228814,22,0.318,0.739,0.748,0.176,1
ITC4C,-0.7816727397133988,-0.9738203320952801,-0.5133459537830869,-0.22595270563475894,23,0.87,0.913,0.38,0.302,2
