,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,ITC11,-0.03407100672290567,-0.041788514672083873,-0.02861280933098187,-0.014772142933241108,122,0.746,0.846,0.955,0.603,4
1,ITC12,-0.03573290085320741,-0.04865321153878137,-0.02822469981838972,-0.013742581215057422,127,0.717,0.496,0.01,0.004,1
2,ITC13,-0.03573290085320741,-0.04865321153878137,-0.02822469981838972,-0.013742581215057422,127,0.717,0.501,0.848,0.305,2
3,ITC14,-0.025513873654510688,-0.037743300439714786,-0.02143015447502611,-0.009747923177187055,131,0.626,0.715,0.897,0.401,3
4,ITC15,-0.03376589163560765,-0.0470334566005598,-0.028007591820803743,-0.013711320975445225,132,0.72,1.0,0.77,0.554,3
5,ITC16,-0.03818016186722702,-0.05038044083593892,-0.028853715605350293,-0.014108851197088726,123,0.74,0.484,0.67,0.24,2
6,ITC17,-0.040828265258611364,-0.0529443304239804,-0.0318646274436182,-0.01626660330180209,125,0.784,1.0,0.473,0.371,2
7,ITC18,-0.03949703715714916,-0.051846816447958785,-0.031619766899619955,-0.014591041929087206,127,0.74,0.565,0.756,0.316,2
8,ITC20,-0.025699948640092847,-0.03648698913659519,-0.02054530015492254,-0.011488310190563721,129,0.659,1.0,0.851,0.561,3
9,ITC31,-0.046638546484777166,-0.06414384316480916,-0.03587881945159751,-0.01840508473722315,125,0.8,0.601,0.669,0.322,2
10,ITC32,-0.04503438236010454,-0.05404601556543802,-0.030996443707971704,-0.01883048882518167,125,0.816,1.0,0.676,0.552,3
11,ITC33,-0.04202448584030378,-0.05157808550187305,-0.02964750754576894,-0.013422434996919766,125,0.728,0.073,0.849,0.045,1
12,ITC34,-0.04628864402216936,-0.05747444872876294,-0.029201565560478596,-0.015077024365570447,120,0.75,0.506,0.889,0.337,2
13,ITC41,-0.02886249152297515,-0.04123103278371951,-0.023144199181852596,-0.012157560732727057,133,0.677,1.0,0.982,0.665,4
14,ITC42,-0.02973611736224855,-0.04342933083298752,-0.025324969180850393,-0.013181559765090934,132,0.682,0.542,0.622,0.23,2
15,ITC43,-0.027849776922796138,-0.04014137810611582,-0.023608575145141593,-0.013094652995873863,128,0.688,0.957,0.589,0.388,2
16,ITC44,-0.026134139670570093,-0.034551168728956826,-0.021309753656240996,-0.011680954902535859,125,0.68,0.792,0.775,0.417,3
17,ITC46,-0.03289308172148598,-0.0482326163627889,-0.02466826413542601,-0.013057978249705848,123,0.699,1.0,0.8,0.559,3
18,ITC47,-0.03160305422324282,-0.0462016788959007,-0.02321823833091923,-0.012864781452514955,119,0.664,0.903,0.565,0.339,2
19,ITC48,-0.03732435116807589,-0.04997309290962927,-0.02936948011742741,-0.015749937183154997,129,0.767,0.643,0.59,0.291,2
20,ITC49,-0.03834641835388125,-0.05226708770997859,-0.029526285278899136,-0.01579644130717543,118,0.754,0.434,0.671,0.22,2
21,ITC4A,-0.03701386800877609,-0.048925752771009676,-0.027952343068211788,-0.014880202033324599,121,0.752,0.781,0.368,0.216,2
22,ITC4B,-0.03806616949620377,-0.050319725194350316,-0.028358598366323942,-0.016196210956234018,115,0.783,0.814,0.66,0.421,3
23,ITC4C,-0.03282186446004598,-0.045928462773827824,-0.026419273139038205,-0.014264786063158917,131,0.725,0.662,0.221,0.106,1
24,ITC4D,-0.03259987978442217,-0.04694284681573264,-0.027638146689496153,-0.01406740120719556,135,0.733,0.739,0.441,0.239,2
