,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,LT025,-0.05154627375726885,-0.06570705486085945,-0.04078488566922635,-0.017985455766181976,121,0.702,1.0,0.819,0.575,3
1,LT026,-0.054667202435042785,-0.07224761239653556,-0.04364966446707803,-0.022102875541738325,130,0.731,0.262,1.0,0.192,1
2,LT027,-0.05234134258072286,-0.06087114202911712,-0.03789978479208189,-0.021602488108424564,132,0.712,0.383,0.857,0.234,2
3,LT028,-0.06419474325855067,-0.07869197293912318,-0.04944732503283532,-0.02678409474863514,122,0.762,1.0,0.833,0.635,4
4,LT029,-0.056109922732858614,-0.08050168020089407,-0.04311925887906651,-0.020608440560518897,120,0.683,1.0,0.557,0.38,2
5,LT011,-0.057857328457290184,-0.08267344130472717,-0.04078291071012567,-0.017883241905467157,122,0.713,0.783,0.405,0.226,2
6,LT021,-0.06272655067010982,-0.07454371155658568,-0.04585407638322386,-0.02346847490457552,121,0.752,0.938,0.928,0.655,4
7,LT022,-0.058043227894481235,-0.06703774171305336,-0.041345060247942794,-0.01941474222658396,121,0.711,0.44,0.69,0.216,2
8,LT023,-0.050077214532443924,-0.05717051000948153,-0.037054071671766595,-0.022207190341766152,135,0.733,0.986,0.73,0.528,3
9,LT024,-0.05830951609135359,-0.07111509400256379,-0.04247380747191308,-0.01892821176244255,124,0.702,1.0,0.01,0.007,1
