NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
LT011,-0.010101667607364868,-0.016602945498253592,-0.008737871325493217,-0.003355362029552876,27,0.222,1.0,0.48,0.107,1
LT021,-0.01446486284893389,-0.019548496622678102,-0.011672679866288406,-0.0029517810619469824,37,0.27,1.0,0.153,0.041,1
LT022,-0.011695256803397981,-0.015434307606411969,-0.00927648696708876,-0.003597118520480026,22,0.182,0.375,0.847,0.058,1
LT023,-0.00708718384488948,-0.008004504204851746,-0.00457520444970035,-0.0020906243273014595,13,0.154,1.0,0.533,0.082,1
LT024,-0.028642308424160795,-0.03844034866768377,-0.020001218071862392,-0.009512364073833494,119,0.538,1.0,0.985,0.53,3
LT025,-0.09604339450087925,-0.1403754059539095,-0.07376345599495455,-0.036061497685397216,76,0.868,1.0,1.0,0.868,5
LT026,-0.15641042679723524,-0.1879661244122499,-0.09202701443667002,-0.04310424592663452,56,0.911,1.0,0.991,0.903,5
LT027,-0.21114932091870303,-0.2720064932258521,-0.18918836701114616,-0.06053519148313424,49,1.0,1.0,0.087,0.087,1
LT028,-0.5094463993525601,-0.6901100968977547,-0.3143988093237369,-0.20628263834348093,24,0.917,1.0,0.01,0.009,1
LT029,-0.018685860200253607,-0.025097484841333242,-0.011894308263980649,-0.007046676156269823,89,0.337,1.0,0.983,0.331,2
