,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,LT011,-0.025291389315924933,-0.03653159024547376,-0.016466546700598626,-0.007904751686799138,121,0.711,1.0,0.423,0.301,2
1,LT021,-0.029431118611482083,-0.04407147775900334,-0.019952082384534102,-0.007960831515937105,117,0.684,0.409,0.199,0.056,1
2,LT022,-0.02293101981614603,-0.029502916477865217,-0.015356825134570129,-0.007689365504694949,122,0.68,0.378,0.752,0.193,1
3,LT023,-0.027377662849542572,-0.03706355883159416,-0.01851137080430329,-0.008393484576913761,112,0.696,1.0,0.453,0.315,2
4,LT024,-0.024481586949595603,-0.03495443169561926,-0.0180141910053249,-0.0076612651380279645,122,0.664,1.0,1.0,0.664,4
5,LT025,-0.023772466234046247,-0.030921111476197423,-0.01827845607974616,-0.007640625143269051,130,0.638,1.0,0.852,0.544,3
6,LT026,-0.02494271857871894,-0.03536198079487058,-0.018975954760447257,-0.010532767473124292,117,0.769,1.0,0.915,0.704,4
7,LT027,-0.026536276317061003,-0.03636371813110087,-0.019960590466292484,-0.008591182156282701,114,0.711,1.0,0.186,0.132,1
8,LT028,-0.028854945470351306,-0.03250853094087773,-0.020463357012164632,-0.008851507428235681,115,0.739,1.0,0.01,0.007,1
9,LT029,-0.02528618853532003,-0.0346087069982434,-0.016684100249562607,-0.008523084725337646,122,0.672,1.0,0.961,0.646,4
