,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,NL111,-0.030136289352836857,-0.03810315033225946,-0.02118377907031411,-0.013062624390721133,114,0.763,0.451,0.996,0.343,2
1,NL112,-0.031348550049653576,-0.04303693600250899,-0.023637222446452673,-0.012395971975601591,114,0.763,0.693,0.953,0.504,3
2,NL113,-0.02852703346103262,-0.03850820906423386,-0.02038882065617064,-0.0101255147224422,116,0.698,1.0,0.485,0.339,2
3,NL124,-0.024391950510537372,-0.030840459746220576,-0.017394866451187124,-0.00810171304896305,120,0.667,1.0,0.75,0.5,3
4,NL125,-0.02423423547664128,-0.03264459353856695,-0.018991555824818623,-0.00869626970836027,120,0.617,0.901,0.973,0.541,3
5,NL126,-0.027372744575698542,-0.03597135861654215,-0.020451506903405307,-0.009306776403656158,117,0.701,0.584,0.957,0.392,2
6,NL131,-0.02602330921135885,-0.035974649432929565,-0.017964614042575523,-0.009130328483468831,116,0.655,0.283,0.985,0.183,1
7,NL132,-0.032171691963292726,-0.04474254284942927,-0.020586624922889065,-0.01300150584563978,112,0.759,0.357,0.992,0.269,2
8,NL133,-0.03074034556584336,-0.044327195538435754,-0.0208660819233055,-0.010800960967186071,113,0.726,1.0,1.0,0.726,4
9,NL211,-0.028565176506815965,-0.0372660257798152,-0.019044748657022506,-0.009471764426558196,119,0.697,0.472,0.994,0.327,2
10,NL212,-0.027128902423989475,-0.034351422919451,-0.019308847836450746,-0.008656470521992903,125,0.672,0.334,0.982,0.22,2
11,NL213,-0.030662220310373696,-0.03896311325724315,-0.021654797355755873,-0.011161118057174738,116,0.716,0.253,0.966,0.175,1
12,NL221,-0.026280788894342585,-0.03402251635286675,-0.018706877410540546,-0.009609737672610492,123,0.65,0.538,0.876,0.306,2
13,NL224,-0.027624031325065038,-0.036813635431319006,-0.02022340585838924,-0.009266717977290059,125,0.68,0.54,0.952,0.35,2
14,NL225,-0.025383791841708917,-0.03321751221969364,-0.01911557914097796,-0.008842858183003949,126,0.619,0.752,0.908,0.423,3
15,NL226,-0.025300781385796292,-0.032058823271953564,-0.01911588020830674,-0.00852911149294393,128,0.633,0.642,0.951,0.386,2
16,NL230,-0.028114403650388108,-0.03648210876400956,-0.02059508300195243,-0.01027914949463912,119,0.689,0.476,0.966,0.317,2
17,NL310,-0.029370054193387868,-0.03490082790790926,-0.02013435040570412,-0.009087412588363618,121,0.678,0.715,0.765,0.371,2
18,NL321,-0.023348363713287443,-0.028364700968674165,-0.014309506348273372,-0.008539182297567135,124,0.613,0.275,0.727,0.123,1
19,NL323,-0.027840427181976022,-0.03324909435705464,-0.018339968283347715,-0.008957494681568605,121,0.669,0.033,0.697,0.015,1
20,NL324,-0.028173102062540388,-0.03702908139235227,-0.01867288359389446,-0.008915262025411838,118,0.686,0.107,0.566,0.042,1
21,NL325,-0.026977920538482275,-0.032589538990663074,-0.017224640722417365,-0.009639351575128963,119,0.681,1.0,0.01,0.007,1
22,NL327,-0.026892319365745525,-0.036832120005396256,-0.01887298102483725,-0.00913868922764218,125,0.688,0.216,0.279,0.041,1
23,NL328,-0.026339260916344972,-0.028635265009482828,-0.016284520822897705,-0.00907485591089186,124,0.653,0.27,0.517,0.091,1
24,NL329,-0.02662951117999017,-0.031573510521985704,-0.01902571696076584,-0.009518227498374198,123,0.675,0.174,0.711,0.084,1
25,NL332,-0.02632258812130867,-0.03399246989094824,-0.018641450283341094,-0.008754256435572106,125,0.672,0.352,0.858,0.203,2
26,NL333,-0.02632258812130867,-0.03399246989094824,-0.018641450283341094,-0.008754256435572106,125,0.672,0.143,0.871,0.084,1
27,NL337,-0.028173102062540388,-0.03702908139235227,-0.01867288359389446,-0.008915262025411838,118,0.686,0.928,0.968,0.616,4
28,NL33A,-0.027560578421205566,-0.0342500723576701,-0.01859835370207874,-0.0090650387942267,127,0.677,0.418,0.996,0.282,2
29,NL33B,-0.026563849094758497,-0.034676083532703975,-0.017927239436788926,-0.007545607116341936,125,0.656,0.437,0.993,0.285,2
30,NL33C,-0.027191582210615656,-0.03639967328856315,-0.018958099450240767,-0.007817934699757438,125,0.664,0.388,0.978,0.252,2
31,NL341,-0.028337327826589143,-0.0342824674979043,-0.01896123523554896,-0.009154464291580188,119,0.672,0.615,1.0,0.413,3
32,NL342,-0.026872301689079548,-0.035412302714052296,-0.018280022160037393,-0.00817567679974937,117,0.65,0.36,0.969,0.227,2
33,NL411,-0.02523695636282475,-0.031068160761261603,-0.01782343780576738,-0.008602642090302447,125,0.656,0.525,0.994,0.342,2
34,NL412,-0.025707673058029963,-0.030361872243350442,-0.019508369752343692,-0.00881446491284131,125,0.64,0.7,0.967,0.433,3
35,NL413,-0.027624031325065038,-0.036813635431319006,-0.02022340585838924,-0.009266717977290059,125,0.68,1.0,0.954,0.649,4
36,NL414,-0.02396135959285583,-0.02915234422961726,-0.018041770454376053,-0.00904833890631457,125,0.664,1.0,0.941,0.625,4
37,NL421,-0.023718124343299448,-0.029340726553737623,-0.01835312646955908,-0.009434274361898682,123,0.667,1.0,0.971,0.648,4
38,NL422,-0.02619134071123126,-0.0352391779037356,-0.01880899041906151,-0.01011719574986803,126,0.667,0.966,0.97,0.625,4
39,NL423,-0.028208353720521776,-0.03527250575363225,-0.020172982151309506,-0.010539100511573257,117,0.709,0.649,0.574,0.264,2
