,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,NL111,-0.02815360869382073,-0.04084157812362482,-0.019911051788137735,-0.009356529365704257,114,0.667,0.448,0.994,0.297,2
1,NL112,-0.028024143877661858,-0.042538188973907695,-0.020274149696282717,-0.00900119983314274,113,0.673,0.813,0.883,0.483,3
2,NL113,-0.029241589852212705,-0.039252752722890874,-0.022472733974576522,-0.009483472374299789,111,0.703,1.0,0.473,0.333,2
3,NL124,-0.028561654296213886,-0.04464730857841629,-0.019082761877521302,-0.010774246230271019,107,0.72,1.0,0.722,0.52,3
4,NL125,-0.027942502517733527,-0.04118545710236343,-0.01893726745341937,-0.009021584867066803,112,0.67,1.0,0.919,0.616,4
5,NL126,-0.031775626951793805,-0.045505423614909404,-0.02286222834918937,-0.009602243423059736,111,0.676,0.64,0.897,0.388,2
6,NL131,-0.029020191628437796,-0.04161141383734805,-0.02071527471333765,-0.009467501122212785,110,0.682,0.282,0.972,0.187,1
7,NL132,-0.02796692467696459,-0.04040365967655878,-0.018567913330515388,-0.009085507941682908,116,0.664,0.355,0.989,0.233,2
8,NL133,-0.02827414549723443,-0.03863808966050259,-0.020974876363607446,-0.010293449807488895,115,0.678,1.0,1.0,0.678,4
9,NL211,-0.027393611172866216,-0.036315985969983214,-0.01877871606371681,-0.009995224812860021,116,0.638,0.471,0.991,0.298,2
10,NL212,-0.02999179290567794,-0.04372651192577027,-0.024108892134674403,-0.011548330552533329,115,0.73,0.337,0.975,0.24,2
11,NL213,-0.02996691818101838,-0.04149159363404788,-0.02159310624009447,-0.011711416228005029,110,0.745,0.306,0.95,0.217,2
12,NL221,-0.029504627174423724,-0.04011017899184163,-0.022792260480081518,-0.011704154294258308,116,0.75,0.552,0.789,0.327,2
13,NL224,-0.03146997510064793,-0.04258404895390333,-0.024314566968271244,-0.01080560865126744,114,0.719,0.568,0.857,0.35,2
14,NL225,-0.03008639438400054,-0.041472122168709054,-0.02446967654797397,-0.011832547485097357,116,0.75,0.773,0.868,0.503,3
15,NL226,-0.02842374776017487,-0.04146918211292429,-0.023009941352733217,-0.011395185488640944,117,0.718,0.682,0.933,0.457,3
16,NL230,-0.028479477449826165,-0.03794304522538833,-0.01987522924267146,-0.009971709862146069,116,0.698,0.483,0.895,0.302,2
17,NL310,-0.030204783662454417,-0.038641827978228856,-0.022053339826724028,-0.011584082079737374,113,0.717,0.763,0.724,0.396,2
18,NL321,-0.026441655474087583,-0.03229678620333902,-0.01810820253783626,-0.009602996740275607,115,0.643,0.313,0.666,0.134,1
19,NL323,-0.029407628895654073,-0.03618478286444865,-0.020144012336663207,-0.010043880528073467,111,0.703,0.025,0.61,0.011,1
20,NL324,-0.02869388852792804,-0.03537250866816289,-0.0200295629470194,-0.010154875525979377,116,0.707,0.103,0.415,0.03,1
21,NL325,-0.02915489383130205,-0.036684711330536454,-0.018580657136141408,-0.009261858226025911,111,0.703,1.0,0.017,0.012,1
22,NL327,-0.030483929026017282,-0.03819012847066123,-0.019987771635830084,-0.010203895246611852,112,0.696,0.252,0.01,0.002,1
23,NL328,-0.027538481601148693,-0.04034493289075096,-0.01770170265541089,-0.009357381502234939,115,0.643,0.27,0.326,0.057,1
24,NL329,-0.028826371917697213,-0.03511807492292661,-0.020581011788761733,-0.009925104439509627,112,0.705,0.208,0.558,0.082,1
25,NL332,-0.027081162193872584,-0.031814357885906246,-0.019022677719125216,-0.010932416512568342,118,0.712,0.386,0.758,0.208,2
26,NL333,-0.027081162193872584,-0.031814357885906246,-0.019022677719125216,-0.010932416512568342,118,0.712,0.154,0.784,0.086,1
27,NL337,-0.02869388852792804,-0.03537250866816289,-0.0200295629470194,-0.010154875525979377,116,0.707,0.952,0.936,0.63,4
28,NL33A,-0.027481310633009202,-0.03389114279517562,-0.020497213161552633,-0.009631563937639063,120,0.683,0.417,0.994,0.283,2
29,NL33B,-0.029094891903575244,-0.03419916335783317,-0.01989378092352461,-0.01040721802848044,117,0.701,0.453,0.99,0.314,2
30,NL33C,-0.027548828992351747,-0.034495063581697245,-0.01926702334581301,-0.011357762049830307,119,0.689,0.388,0.968,0.259,2
31,NL341,-0.02830313800238965,-0.03758660084085173,-0.02263232525843006,-0.010271618712786985,113,0.708,0.646,1.0,0.457,3
32,NL342,-0.029696301429683776,-0.0358982565176854,-0.021696947281895702,-0.012896156265992203,110,0.773,0.364,0.94,0.264,2
33,NL411,-0.027256793238398663,-0.034019901555890956,-0.020744184702966496,-0.009966371886767973,118,0.712,0.561,0.988,0.395,2
34,NL412,-0.02737884661095079,-0.03661742055521427,-0.02139075577027401,-0.008555130725112976,122,0.672,0.762,0.95,0.486,3
35,NL413,-0.03146997510064793,-0.04258404895390333,-0.024314566968271244,-0.01080560865126744,114,0.719,1.0,0.94,0.676,4
36,NL414,-0.027680485980375143,-0.036896404712218896,-0.020622526865690237,-0.009383508748828012,121,0.694,1.0,0.924,0.641,4
37,NL421,-0.028011142071180144,-0.03894077691727131,-0.020560443328389588,-0.009990301504633292,119,0.689,1.0,0.953,0.657,4
38,NL422,-0.025015972090763467,-0.033446133726219365,-0.018312821968376462,-0.00911658533654425,124,0.661,1.0,0.89,0.588,3
39,NL423,-0.026264495385322995,-0.036974890137880884,-0.017480228844624912,-0.009323682220421736,120,0.708,0.696,0.503,0.248,2
