NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
NO020,,,,,0,0.0,0.049,0.826,0.0,0
NO060,-0.011586347966718017,-0.011586347966718017,-0.011586347966718017,-0.011586347966718017,1,0.0,0.561,0.94,0.0,0
NO071,-0.014059800330582616,-0.019218516208323266,-0.011514088870329762,-0.006699483132041786,14,0.0,0.396,0.685,0.0,0
NO074,,,,,0,0.0,1.0,0.968,0.0,0
NO081,-36.991758733323515,-36.991758733323515,-36.991758733323515,-36.991758733323515,1,1.0,0.071,0.781,0.055,1
NO082,-26.894063289250607,-26.894063289250607,-26.894063289250607,-26.894063289250607,1,1.0,0.36,0.722,0.26,2
NO091,-28.27640387197399,-28.27640387197399,-28.27640387197399,-28.27640387197399,1,1.0,0.112,0.048,0.005,1
NO092,-0.010440253479353321,-0.013932194171985957,-0.00739377836752904,-0.0036330475876496563,54,0.0,0.783,0.931,0.0,0
NO0A1,-23.65152668542062,-23.65152668542062,-23.65152668542062,-23.65152668542062,1,1.0,1.0,1.0,1.0,5
NO0A2,-0.012222506370022054,-0.01310769019175513,-0.004581299972862796,-0.00369611615112972,4,0.0,0.253,0.607,0.0,0
NO0A3,-9.644728150852021,-12.961802131659676,-9.644728150852021,-6.327654170044367,2,1.0,0.097,0.01,0.001,1
