,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PL922,0.805,1.0,0.027,0.022,1
1,PL923,0.786,0.987,0.042,0.033,1
2,PL515,0.788,0.372,0.465,0.136,1
3,PL516,0.74,0.569,0.518,0.218,2
4,PL424,0.741,0.769,0.725,0.413,3
5,PL414,0.743,0.987,0.624,0.458,3
6,PL811,0.799,0.383,0.796,0.244,2
7,PL427,0.789,0.434,0.716,0.245,2
8,PL518,0.775,0.573,0.517,0.23,2
9,PL22C,0.796,1.0,0.602,0.479,3
10,PL428,0.821,0.497,0.675,0.275,2
11,PL228,0.79,0.662,0.581,0.304,2
12,PL229,0.756,0.528,0.583,0.233,2
13,PL22A,0.727,1.0,0.579,0.421,3
14,PL426,0.775,0.432,0.738,0.247,2
15,PL843,0.789,0.293,0.923,0.213,2
16,PL912,0.795,0.422,0.01,0.003,1
17,PL911,0.772,0.903,0.01,0.007,1
18,PL714,0.789,1.0,0.939,0.741,4
19,PL823,0.799,0.406,0.978,0.317,2
20,PL22B,0.752,0.509,0.593,0.227,2
21,PL821,0.781,0.219,0.978,0.167,1
22,PL411,0.763,0.517,0.616,0.243,2
23,PL217,0.729,0.435,0.815,0.258,2
24,PL814,0.746,0.647,0.801,0.387,2
25,PL517,0.759,0.544,0.518,0.214,2
26,PL812,0.729,0.476,0.828,0.287,2
27,PL214,0.74,0.47,0.8,0.278,2
28,PL218,0.739,0.297,0.813,0.178,1
29,PL713,0.762,0.649,0.954,0.472,3
30,PL913,0.713,0.53,0.01,0.004,1
31,PL224,0.707,0.811,0.6,0.344,2
32,PL225,0.759,0.476,0.589,0.213,2
33,PL227,0.757,0.869,0.574,0.378,2
34,PL415,0.772,0.972,0.602,0.452,3
35,PL431,0.749,0.285,0.633,0.135,1
36,PL822,0.745,0.265,1.0,0.197,1
37,PL616,0.793,0.72,0.805,0.46,3
38,PL418,0.765,0.947,0.601,0.435,3
39,PL514,0.785,1.0,0.513,0.403,3
40,PL842,0.78,0.285,0.876,0.195,1
41,PL432,0.736,0.294,0.66,0.143,1
42,PL416,0.783,0.983,0.612,0.471,3
43,PL219,0.738,0.269,0.792,0.157,1
44,PL21A,0.75,0.391,0.774,0.227,2
45,PL925,0.759,0.596,0.065,0.029,1
46,PL815,0.756,0.506,0.729,0.279,2
47,PL712,0.737,1.0,0.979,0.722,4
48,PL637,0.856,0.243,0.725,0.151,1
49,PL638,0.812,0.505,0.734,0.301,2
50,PL711,0.741,1.0,0.979,0.725,4
51,PL617,0.771,0.735,0.796,0.451,3
52,PL618,0.763,0.479,0.797,0.291,2
53,PL924,0.746,0.415,0.073,0.023,1
54,PL926,0.761,0.721,0.08,0.044,1
55,PL622,0.738,0.199,0.897,0.132,1
56,PL841,0.774,0.34,0.923,0.243,2
57,PL623,0.793,0.234,0.912,0.169,1
58,PL633,0.789,0.771,0.729,0.443,3
59,PL213,0.817,0.895,0.801,0.586,3
60,PL921,0.826,0.445,0.15,0.055,1
61,PL824,0.812,0.333,0.96,0.26,2
62,PL634,0.834,0.503,0.727,0.305,2
63,PL636,0.804,0.23,0.727,0.134,1
64,PL613,0.785,0.547,0.812,0.349,2
65,PL715,0.744,1.0,0.878,0.653,4
66,PL619,0.777,0.701,0.78,0.425,3
67,PL621,0.787,0.34,0.843,0.226,2
68,PL417,0.826,1.0,0.6,0.496,3
