Sum of vulnerability_raw,Column Labels,,,
Row Labels,all,half,ind,Grand Total
PL213,0.801,,,0.801
PL214,0.8,,,0.8
PL217,0.815,,,0.815
PL218,0.813,,,0.813
PL219,0.792,,,0.792
PL21A,0.774,,,0.774
PL224,0.6,0.613,,1.213
PL225,0.589,0.601,,1.19
PL227,0.574,0.586,,1.16
PL228,0.581,0.594,,1.175
PL229,0.583,0.595,,1.178
PL22A,0.579,0.592,,1.171
PL22B,0.593,0.606,,1.199
PL22C,0.602,0.615,,1.217
PL411,0.616,0.629,,1.245
PL414,0.624,0.637,,1.261
PL415,0.602,0.615,,1.217
PL416,0.612,0.625,,1.237
PL417,0.6,0.613,,1.213
PL418,0.601,0.614,,1.215
PL424,0.725,0.741,,1.466
PL426,0.738,0.754,,1.492
PL427,0.716,0.731,,1.447
PL428,0.675,0.69,,1.365
PL431,0.633,,,0.633
PL432,0.66,,,0.66
PL514,0.513,0.524,,1.037
PL515,0.465,0.475,,0.94
PL516,0.518,0.529,,1.047
PL517,0.518,0.529,,1.047
PL518,0.517,0.528,,1.045
PL613,0.812,,,0.812
PL616,0.805,,,0.805
PL617,0.796,,,0.796
PL618,0.797,,,0.797
PL619,0.78,,,0.78
PL621,0.843,,,0.843
PL622,0.897,,,0.897
PL623,0.912,,,0.912
PL633,0.729,,0.462,1.191
PL634,0.727,,0.27,0.997
PL636,0.727,,0.271,0.998
PL637,0.725,,0.01,0.735
PL638,0.734,,1,1.734
PL711,0.979,1,1,2.979
PL712,0.979,0.999,0.993,2.971
PL713,0.954,0.974,0.754,2.682
PL714,0.939,0.96,0.608,2.507
PL715,0.878,0.896,0.01,1.784
PL811,0.796,0.813,,1.609
PL812,0.828,0.845,,1.673
PL814,0.801,0.818,,1.619
PL815,0.729,0.744,,1.473
PL821,0.978,,,0.978
PL822,1,,,1
PL823,0.978,,,0.978
PL824,0.96,,,0.96
PL841,0.923,0.943,,1.866
PL842,0.876,0.895,,1.771
PL843,0.923,0.943,,1.866
PL911,0.01,0.01,,0.02
PL912,0.01,0.01,,0.02
PL913,0.01,0.01,,0.02
PL921,0.15,0.153,,0.303
PL922,0.027,0.027,,0.054
PL923,0.042,0.043,,0.085
PL924,0.073,0.075,,0.148
PL925,0.065,0.066,,0.131
PL926,0.08,0.082,,0.162
Grand Total,45.101,25.342,5.378,75.821
