,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PL213,-0.027319945095369117,-0.03806899347460563,-0.024506474699618037,-0.009498362971833995,126,0.667,1.0,0.151,0.101,1
1,PL214,-0.02984829857465914,-0.042244684502853735,-0.02525478435666173,-0.0104821679879567,122,0.68,1.0,0.419,0.285,2
2,PL217,-0.03140075810069473,-0.042910966516304154,-0.023007592909887763,-0.0111784597720967,118,0.695,0.901,0.521,0.326,2
3,PL218,-0.029332029681793746,-0.04126245984295493,-0.022668707726889177,-0.01204489807241601,122,0.721,1.0,0.535,0.386,2
4,PL219,-0.029816709413784313,-0.04168232571705914,-0.02650283613482014,-0.01413550746036878,119,0.765,0.222,0.755,0.128,1
5,PL21A,-0.028834030073090603,-0.04311035830945243,-0.024222707265459237,-0.010802588140148141,118,0.678,1.0,0.253,0.172,1
6,PL224,-0.02743073103324554,-0.03487811136624022,-0.02070420515657443,-0.011476983918874525,125,0.72,1.0,0.225,0.162,1
7,PL225,-0.027850762142854327,-0.039391903980433476,-0.02277076306523975,-0.00936361553266999,120,0.708,0.977,0.215,0.149,1
8,PL227,-0.02749760935703803,-0.03596739498476838,-0.02209349796844088,-0.011943731351164007,120,0.7,1.0,0.583,0.408,3
9,PL228,-0.027314373565091404,-0.03421018877982259,-0.02198118893114693,-0.010889820730740626,121,0.702,1.0,0.981,0.689,4
10,PL229,-0.027554570505813947,-0.03519030028132714,-0.023710795295719046,-0.010209636186436938,120,0.692,1.0,0.317,0.219,2
11,PL22A,-0.02623100906483518,-0.03680183866034656,-0.02166867809117894,-0.009572138368649697,120,0.7,0.661,0.843,0.39,2
12,PL22B,-0.027244358207116355,-0.03525513599810623,-0.023265056991700946,-0.01128844947191576,118,0.729,0.933,0.957,0.651,4
13,PL22C,-0.02619904250619517,-0.0358149747238874,-0.02241921816870013,-0.011428141301197216,119,0.689,1.0,1.0,0.689,4
14,PL411,-0.029968014487377452,-0.03982711257097862,-0.022955905728377028,-0.013266404977768553,116,0.75,0.967,0.411,0.298,2
15,PL414,-0.028999555985325016,-0.03632781964348047,-0.022650109103287266,-0.012980837789439833,115,0.757,0.989,0.342,0.256,2
16,PL415,-0.03676706323887235,-0.0442747530630177,-0.026584144884271244,-0.015156483636852612,113,0.796,0.978,0.866,0.674,4
