,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PL213,-0.027365904066201922,-0.03761888767733426,-0.0218772972297961,-0.008012582322452924,118,0.695,1.0,0.145,0.101,1
1,PL214,-0.029080983575149322,-0.04058796777977466,-0.022386145016952373,-0.010254141050103527,114,0.719,1.0,0.409,0.294,2
2,PL217,-0.027973402089030073,-0.038960981011898356,-0.020083187289285695,-0.008864435702188884,118,0.661,0.906,0.502,0.301,2
3,PL218,-0.024155780805742655,-0.033915937719910284,-0.018278941486748503,-0.008951000585164627,110,0.709,1.0,0.514,0.364,2
4,PL219,-0.021984696482337102,-0.029691357656176896,-0.01664547308870694,-0.008048877048169714,117,0.658,0.226,0.752,0.112,1
5,PL21A,-0.028952285617016748,-0.040632328160381495,-0.02212336647901154,-0.010945750706103667,117,0.744,1.0,0.232,0.173,1
6,PL224,-0.02992017884011709,-0.04199437352366689,-0.021198338593393786,-0.01232211329060335,113,0.796,1.0,0.191,0.152,1
7,PL225,-0.02725437207733977,-0.03698284245440379,-0.01990679173776599,-0.009791554732122239,117,0.735,0.976,0.213,0.153,1
8,PL227,-0.02982740854536091,-0.04275663988761169,-0.022023097110127676,-0.010768664676065062,114,0.737,1.0,0.567,0.418,3
9,PL228,-0.02727254512528079,-0.0410158914234484,-0.01909458902770231,-0.011353414549181425,121,0.752,1.0,0.98,0.737,4
10,PL229,-0.029101042419815443,-0.04367347348937162,-0.022214745680421637,-0.01023585994760796,119,0.739,1.0,0.316,0.234,2
11,PL22A,-0.02714335846396565,-0.039010269278189263,-0.018994726937027397,-0.009843902174008478,120,0.725,0.651,0.836,0.395,2
12,PL22B,-0.027537611830072518,-0.03805942770193718,-0.01965071010839409,-0.01114466532508514,121,0.744,0.921,0.954,0.654,4
13,PL22C,-0.026968808878500637,-0.04076926489747777,-0.0191886754111422,-0.00998179650301985,121,0.727,1.0,1.0,0.727,4
14,PL411,-0.027814980797917645,-0.03637436517813543,-0.020881382362398223,-0.008357660336768184,118,0.686,0.966,0.401,0.266,2
15,PL414,-0.0271481284453846,-0.0397901135052873,-0.021370797567330485,-0.009282046385637156,123,0.699,0.996,0.314,0.219,2
16,PL415,-0.02933864733862442,-0.038414274809410315,-0.022597982900372272,-0.011871519624436534,112,0.768,0.997,0.859,0.658,4
17,PL416,-0.025823746421087073,-0.03648314538127627,-0.01869804221733325,-0.008197722412143772,123,0.699,0.777,0.972,0.528,3
18,PL417,-0.03025165783873289,-0.046099565155567346,-0.02268119626887246,-0.012101084605040273,110,0.764,1.0,0.473,0.361,2
19,PL418,-0.029120898006677397,-0.03843697645490222,-0.021917973759654943,-0.010615360692090844,115,0.713,1.0,0.19,0.135,1
20,PL424,-0.03081953379803221,-0.0375640116580596,-0.021200563527523666,-0.009185176598854391,114,0.711,0.75,0.923,0.492,3
21,PL426,-0.03144354740862323,-0.03936613362575257,-0.021715360959747475,-0.013068950198956776,113,0.77,0.536,0.063,0.026,1
22,PL427,-0.029325759886242354,-0.04054775475664588,-0.018523217776392074,-0.008492829381992592,113,0.681,0.98,0.01,0.007,1
23,PL428,-0.029578375182813185,-0.03871443333377621,-0.01973262784546322,-0.009728687564459753,111,0.721,1.0,0.228,0.164,1
24,PL431,-0.03239861864394927,-0.0444907346484163,-0.024149286067366944,-0.012375769404828879,106,0.774,1.0,0.552,0.427,3
25,PL432,-0.03183551426225604,-0.04315673402841713,-0.02522698502734133,-0.011392764222101951,105,0.752,1.0,0.439,0.33,2
26,PL514,-0.03220053704135914,-0.047252471382229405,-0.024894627714880695,-0.012024644627531533,111,0.766,1.0,0.185,0.142,1
27,PL515,-0.027452957061667504,-0.03710519895901737,-0.019682756755245404,-0.008825866079321561,119,0.697,1.0,0.602,0.42,3
28,PL516,-0.03025163569775815,-0.042389490671365125,-0.02334226457485135,-0.01078839137593229,110,0.745,0.78,0.222,0.129,1
29,PL517,-0.029782175126083867,-0.04144444685952378,-0.02446163002417565,-0.010342369467392983,112,0.723,1.0,0.442,0.32,2
30,PL518,-0.029725140541210792,-0.0416934571951951,-0.024614690382543818,-0.013664417889789218,111,0.784,1.0,0.901,0.706,4
31,PL523,-0.02879912259447943,-0.03840551546805833,-0.020538746452530905,-0.012406363714635719,114,0.789,0.974,0.456,0.35,2
32,PL524,-0.03118809167164271,-0.04316971085746292,-0.02460373151674425,-0.011869321939452173,116,0.767,0.554,0.806,0.342,2
33,PL613,-0.032109537504083435,-0.042742646806801066,-0.02722797951283539,-0.009274156186186886,111,0.721,0.852,0.911,0.56,3
34,PL616,-0.028638399838585047,-0.03829088144382119,-0.02409590822562388,-0.010084282721311183,114,0.711,0.685,0.794,0.387,2
35,PL617,-0.029216976172194934,-0.039681392666097826,-0.02525654032667614,-0.008596315468544584,120,0.7,0.591,0.102,0.042,1
36,PL618,-0.0314486905393086,-0.04308029981912895,-0.028716257546232502,-0.012670775764164473,116,0.759,1.0,0.156,0.118,1
37,PL619,-0.027379863655189057,-0.03972856451260651,-0.020738739541730368,-0.00795521485556592,118,0.712,1.0,0.513,0.365,2
38,PL621,-0.027958766725791902,-0.03966790743136006,-0.020340395381971042,-0.008037701653111816,114,0.711,1.0,0.551,0.392,2
39,PL622,-0.02676171161915878,-0.03839268378372572,-0.021513431010363137,-0.008425118244216103,113,0.681,0.414,0.73,0.206,2
40,PL623,-0.027053493535605648,-0.035998397619318834,-0.02080516648956729,-0.008959885202110718,114,0.693,1.0,0.118,0.082,1
41,PL633,-0.02975413738457041,-0.042210911009578744,-0.021628362318236068,-0.011773684934539796,115,0.757,0.648,0.274,0.134,1
42,PL634,-0.028551807826791554,-0.040925403265783776,-0.021300328660980052,-0.011691567188469445,111,0.766,1.0,0.114,0.087,1
43,PL636,-0.027012252617266093,-0.0370568168793833,-0.020096641396037167,-0.012186410812071993,118,0.771,0.447,0.465,0.16,1
44,PL637,-0.02898397916773777,-0.039081133595432485,-0.022217883337781057,-0.013264546337270705,113,0.796,1.0,0.864,0.688,4
45,PL638,-0.030009853097485197,-0.04065427369285091,-0.02482908317996725,-0.01256592263310195,118,0.763,1.0,0.049,0.037,1
46,PL711,-0.02910620990495234,-0.047183221211717044,-0.021256790375511467,-0.00869860607280352,120,0.692,1.0,0.11,0.076,1
47,PL712,-0.03003409882770431,-0.045596652632315306,-0.023625363007881588,-0.009364782796706867,118,0.72,1.0,0.835,0.601,4
48,PL713,-0.030931340232788148,-0.047074750541185845,-0.024451381862673774,-0.011103411163777586,109,0.743,0.82,0.197,0.12,1
49,PL714,-0.02702202171856748,-0.04069634012124438,-0.018886714364486266,-0.007604409360849847,120,0.692,1.0,0.557,0.385,2
50,PL715,-0.027689598601155226,-0.03784653389075298,-0.020242352066764918,-0.010571972095181759,118,0.712,0.89,0.857,0.543,3
51,PL721,-0.02765462638868766,-0.04020149531191965,-0.02096294660745128,-0.009442265706783314,122,0.713,1.0,0.273,0.195,1
52,PL722,-0.026966134633179383,-0.037111574915601665,-0.02038596947909592,-0.007863217165627183,125,0.696,1.0,0.469,0.326,2
53,PL811,-0.03037783918560131,-0.041204573136420244,-0.019316451283436942,-0.010055145460813302,117,0.735,1.0,0.097,0.071,1
54,PL812,-0.029121399852749207,-0.03782156425873588,-0.019919560161881757,-0.009856398842224195,116,0.69,0.989,0.192,0.131,1
55,PL814,-0.033170640817304094,-0.04528031499385965,-0.021285817732366617,-0.0117575762156821,118,0.763,1.0,0.306,0.233,2
56,PL815,-0.03183877735462894,-0.045531336504981396,-0.021145932779728437,-0.011161322805675463,113,0.752,0.982,0.575,0.425,3
57,PL821,-0.022419281482885398,-0.03114086638568248,-0.016124923975473923,-0.007141784045068271,122,0.631,0.953,0.174,0.105,1
58,PL822,-0.025577497774605565,-0.034464229822585936,-0.01828727863290326,-0.009126542608468378,122,0.68,0.559,0.897,0.341,2
59,PL823,-0.025698610574372588,-0.036477821232997205,-0.016477196862693312,-0.009372442169984528,125,0.68,0.593,0.683,0.275,2
60,PL824,-0.025167090005968454,-0.034965835191452625,-0.019244162025013455,-0.00980477597350941,126,0.69,1.0,0.316,0.218,2
61,PL841,-0.02876708886165574,-0.03735730046758803,-0.020378193829127124,-0.009669555427356766,120,0.708,1.0,0.286,0.202,2
62,PL842,-0.02693189801672567,-0.03623592543444504,-0.020254644838455658,-0.009098031491114017,118,0.678,1.0,0.746,0.506,3
