,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PT111,-0.05174032047382257,-0.07585202441025131,-0.02540141827852114,-0.011496537849883774,108,0.694,0.493,0.71,0.243,2
1,PT112,-0.051479354113903794,-0.06894641010462757,-0.02667361382841448,-0.012761245597739135,110,0.709,0.532,0.717,0.27,2
2,PT119,-0.055875050150746335,-0.07555208706747613,-0.026822029981641276,-0.015044669936162545,107,0.757,0.798,0.901,0.544,3
3,PT11A,-0.04341099915615202,-0.06044378764603376,-0.02139345520938122,-0.011523710438383345,119,0.681,0.275,0.131,0.025,1
4,PT11B,-0.0467008496632871,-0.060206584032651334,-0.02760554904117378,-0.01277120443475037,112,0.679,0.215,0.046,0.007,1
5,PT11C,-0.04618748232771317,-0.059626899043970734,-0.02493241935768399,-0.012951857255668841,113,0.708,0.413,0.576,0.168,1
6,PT11D,-0.04511036044609224,-0.05402436267775341,-0.02951177214529688,-0.012315155912354186,118,0.653,0.872,0.711,0.405,3
7,PT11E,-0.044716964601555644,-0.05180254305028245,-0.029856091370297606,-0.01012539422629115,116,0.672,0.705,0.434,0.206,2
8,PT150,-0.06836737266782772,-0.09687298831537171,-0.04473711569052219,-0.014403150628761663,111,0.748,0.869,0.095,0.062,1
9,PT16B,-0.05674861121011215,-0.07521648444758998,-0.03298338489164519,-0.015902817466698596,110,0.764,0.222,0.079,0.013,1
10,PT16D,-0.04927701285579142,-0.06895851626855327,-0.02608188616236089,-0.013050911008158434,120,0.725,1.0,1.0,0.725,4
11,PT16E,-0.05068423279929037,-0.06906336295724838,-0.0275398340973595,-0.01071645916830256,120,0.692,0.342,0.01,0.002,1
12,PT16F,-0.0587862257406099,-0.07756797395680222,-0.033514310991304926,-0.015252047726620338,110,0.764,0.126,0.04,0.004,1
13,PT16G,-0.047735224867746825,-0.06255649516804342,-0.02612444092444747,-0.013703561603973787,116,0.707,0.652,0.708,0.326,2
14,PT16H,-0.05798554770874007,-0.07395989112599213,-0.0365519814519689,-0.017399430782180342,111,0.829,0.1,0.019,0.002,1
15,PT16I,-0.05736628967284829,-0.07572863103057936,-0.03183847145722545,-0.01709973981850057,110,0.773,1.0,0.172,0.133,1
16,PT16J,-0.0495535720905175,-0.06516593898501158,-0.03159577552976406,-0.013249220107708569,121,0.736,0.276,0.444,0.09,1
17,PT170,-0.05354917034773074,-0.07189353460564424,-0.03629671749347105,-0.01831712791768003,111,0.784,1.0,0.029,0.023,1
18,PT181,-0.060269700272948624,-0.08455774323235582,-0.04476692185560063,-0.013438656154493609,115,0.73,0.619,0.617,0.279,2
19,PT184,-0.0637659396619528,-0.09563383878775136,-0.040268362762258786,-0.016224945077550443,115,0.765,0.34,0.19,0.049,1
20,PT185,-0.06288100933355195,-0.0852911161134913,-0.04574687234933629,-0.017552854889447928,106,0.811,0.32,0.187,0.049,1
21,PT186,-0.05481200060568951,-0.0732317562848395,-0.03934799809582634,-0.01592587710955656,111,0.766,0.336,0.262,0.067,1
22,PT187,-0.06581204921965757,-0.08697336697081418,-0.04676135809761053,-0.014057832308022718,111,0.748,1.0,0.204,0.153,1
