,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,PT111,-0.04446935448313088,-0.05434900317487248,-0.02464033473799018,-0.01202970700777548,112,0.67,0.505,0.695,0.235,2
1,PT112,-0.043414016539394244,-0.055532285825326315,-0.025082829721214055,-0.012340591483537675,117,0.675,0.544,0.702,0.258,2
2,PT119,-0.048359945797232434,-0.0664233375285124,-0.030861259871967552,-0.014725691309116627,107,0.738,0.806,0.895,0.532,3
3,PT11A,-0.049159838977408415,-0.06350979746630263,-0.028411443444031712,-0.016094595882234025,111,0.775,0.273,0.122,0.026,1
4,PT11B,-0.0498977850463061,-0.06209725925138446,-0.0278977238510563,-0.016718624621439623,113,0.779,0.294,0.043,0.01,1
5,PT11C,-0.051850093390815775,-0.06796768173989087,-0.030094139586446193,-0.01657955792131224,106,0.774,0.49,0.557,0.211,2
6,PT11D,-0.05392322973563684,-0.06813730956985464,-0.03249298984463629,-0.014942368397974647,110,0.736,0.87,0.692,0.443,3
7,PT11E,-0.05048278195872702,-0.063695552272232,-0.03233844273127488,-0.014408014682998151,112,0.723,0.693,0.415,0.208,2
8,PT150,-0.07794942412572435,-0.09452546222941587,-0.03779703167165863,-0.012453906823830706,105,0.724,0.882,0.089,0.057,1
9,PT16B,-0.06200062297940047,-0.07531194653228271,-0.03383467769976456,-0.019645260557111043,102,0.794,0.262,0.073,0.015,1
10,PT16D,-0.05608876735959722,-0.0714702592844697,-0.039564696950848466,-0.01609102810478884,101,0.752,1.0,1.0,0.752,4
11,PT16E,-0.06067074197491063,-0.07378669663211679,-0.041957261774770785,-0.016066701791136246,98,0.765,0.338,0.01,0.003,1
12,PT16F,-0.06259989471781935,-0.07988695920693548,-0.0426757653850651,-0.020602051581238907,97,0.784,0.135,0.037,0.004,1
13,PT16G,-0.05481564544001311,-0.07696695364996378,-0.03422029871584804,-0.015080675610617975,105,0.752,0.661,0.692,0.344,2
14,PT16H,-0.0621801105063207,-0.0798970238263898,-0.04043747800755781,-0.0172094104218432,100,0.78,0.087,0.018,0.001,1
15,PT16I,-0.06551512550911757,-0.08862551536466162,-0.044122363618787255,-0.02033832997960723,93,0.774,1.0,0.162,0.125,1
16,PT16J,-0.06172001140304899,-0.08151149916766624,-0.0370485844087698,-0.017046683757331073,103,0.777,0.275,0.421,0.09,1
17,PT170,-0.06320183194575518,-0.07267683751335222,-0.03362170494952847,-0.01571470503477335,102,0.755,1.0,0.027,0.02,1
18,PT181,-0.06969754793239692,-0.07333385819129742,-0.03682291317069662,-0.017804359636909635,100,0.77,0.636,0.599,0.293,2
19,PT184,-0.0864374150119851,-0.11411352069157105,-0.0547364445417832,-0.020900282626624456,94,0.787,0.417,0.179,0.059,1
20,PT185,-0.05618546127842415,-0.0711690742132231,-0.04005267945431268,-0.01455381502552796,102,0.725,0.375,0.175,0.048,1
21,PT186,-0.061984396588417714,-0.08073901129177599,-0.04503941058432223,-0.018240298862422726,98,0.786,0.406,0.247,0.079,1
22,PT187,-0.06901576486459214,-0.07897662685895168,-0.04111350446550055,-0.021381602591800872,101,0.822,1.0,0.192,0.158,1
