NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
PT111,-0.03481414849274279,-0.040251479550919005,-0.022776881973016215,-0.00986701833627971,101,0.337,0.456,0.982,0.151,1
PT112,-0.6617404876301972,-0.9160815631957239,-0.4183134238608734,-0.17215377292769737,24,0.917,0.498,0.967,0.442,3
PT119,-2.8629814761596313,-4.309516517092333,-1.47309454139996,-0.4732217817727581,8,1.0,0.771,1.0,0.771,4
PT11A,-0.1019038727903788,-0.12398472791673323,-0.076517820353697,-0.023470185019379006,80,0.688,0.234,0.766,0.123,1
PT11B,-0.24087664966487052,-0.30219935131104614,-0.17748796775201423,-0.10689739964729472,51,0.922,0.251,0.068,0.016,1
PT11C,-0.026377120403423018,-0.03419973299047335,-0.014652882219368404,-0.00859070335636227,98,0.255,0.606,0.971,0.15,1
PT11D,-0.03744473944964697,-0.05493948692871539,-0.026726369709212265,-0.00668048846987691,96,0.396,0.884,0.793,0.278,2
PT11E,-0.5619394253669239,-0.5625413864060681,-0.46700779597915265,-0.2836575928265713,34,0.971,0.776,0.836,0.63,4
PT150,-3.852817033964128,-5.526409089691386,-2.7704785170502007,-1.6899440093836509,6,1.0,0.872,0.171,0.149,1
PT16B,-28.95285045286268,-28.95285045286268,-28.95285045286268,-28.95285045286268,1,1.0,0.344,0.392,0.135,1
PT16D,-2.9233492461262895,-2.6574898555686395,-1.2922755795354284,-0.6040229727515947,9,1.0,1.0,0.993,0.993,5
PT16E,-0.2232316742600515,-0.31368168781751066,-0.18115727699979103,-0.08071108640992569,57,0.895,0.312,0.208,0.058,1
PT16F,-3.109932003014811,-4.550528936172046,-1.490719454303871,-0.9671776429661667,7,1.0,0.184,0.479,0.088,1
PT16G,-0.06450673620182436,-0.07988921870159739,-0.04946632221496153,-0.02508495097076779,86,0.651,0.609,0.99,0.392,2
PT16H,-0.0782113424513937,-0.10507900166221425,-0.05620699919585146,-0.033647034795854396,76,0.737,0.125,0.51,0.047,1
PT16I,-28.372194128404093,-28.372194128404093,-28.372194128404093,-28.372194128404093,1,1.0,1.0,0.191,0.191,1
PT16J,-0.14337352896219047,-0.18653512456891058,-0.10836438034704429,-0.0520799907488695,69,0.841,0.29,0.965,0.235,2
PT170,-31.311229627701376,-31.311229627701376,-31.311229627701376,-31.311229627701376,1,1.0,0.938,0.01,0.009,1
PT181,-1.5159519241994293,-1.8310922676769628,-0.9904988138394795,-0.49455033629312417,14,1.0,0.65,0.998,0.649,4
PT184,-0.04391548351909327,-0.07139217567184827,-0.02226487647109554,-0.008751195568515339,99,0.404,0.53,0.894,0.191,1
PT185,-0.04827216306731101,-0.06010695815041501,-0.031088504612690828,-0.016552783914664877,94,0.468,0.454,0.945,0.201,2
PT186,-0.13831761320887023,-0.19305248404627137,-0.09963420777881499,-0.052411892423739746,66,0.864,0.518,0.831,0.372,2
PT187,-0.4124247247226728,-0.4804346610218683,-0.3662475083514596,-0.13004220155137675,39,0.949,1.0,0.317,0.301,2
