,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,RO126,-0.06560478262709125,-0.0880910825111566,-0.04490578415378375,-0.019919120249285716,122,0.615,0.573,0.614,0.216,2
1,RO211,-0.09233394282800866,-0.11293631245961093,-0.061643317905196296,-0.028600388552081704,110,0.709,0.515,0.585,0.214,2
2,RO212,-0.13103870605716594,-0.18550350429600038,-0.10055377459273467,-0.054576653676633974,100,0.92,0.807,0.935,0.694,4
3,RO213,-0.11661996966396765,-0.16954241270571116,-0.08958516340228118,-0.044045506094129605,104,0.846,0.78,0.831,0.548,3
4,RO214,-0.10640311608524465,-0.16076173050909742,-0.08809844948511647,-0.03987542320533571,102,0.814,1.0,0.728,0.593,3
5,RO215,-0.08782104992033521,-0.12826299040310693,-0.05749077401638859,-0.03074730467252434,110,0.727,1.0,0.01,0.007,1
6,RO216,-0.10979221697154803,-0.13257486717742686,-0.08053133332508544,-0.043359301668209574,110,0.836,0.421,0.832,0.293,2
7,RO221,-0.1291683609576676,-0.18935290735970647,-0.08066330465892557,-0.05252602369469023,99,0.848,0.95,0.982,0.791,4
8,RO222,-0.09322604311058694,-0.12628961444543726,-0.0556182161935374,-0.03132378472984147,109,0.743,1.0,0.882,0.655,4
9,RO223,-0.12081836596265906,-0.1426711914177965,-0.0983949839498395,-0.05701521721099563,107,0.879,0.832,0.921,0.674,4
10,RO224,-0.1212347691061254,-0.17458529422504712,-0.0781979455867073,-0.0499381440789277,103,0.854,1.0,0.865,0.739,4
11,RO225,-0.11058542432550417,-0.15232170159397412,-0.08389372792600186,-0.04382342539648795,109,0.853,0.428,0.849,0.31,2
12,RO226,-0.10553167701718334,-0.13825665379043373,-0.0691608190513769,-0.03819131926325689,105,0.781,0.242,0.844,0.16,1
13,RO311,-0.08760925524868399,-0.09798451552448251,-0.05669076568006515,-0.031759533216453716,108,0.75,0.302,0.663,0.15,1
14,RO312,-0.10882401912468949,-0.14320313649927072,-0.08768961091228362,-0.04343668588379761,105,0.819,1.0,0.863,0.707,4
15,RO313,-0.11085096498249407,-0.14863025123554574,-0.06575721179877295,-0.03762320785551363,101,0.792,1.0,0.864,0.684,4
16,RO314,-0.12383335532783038,-0.16273810724059518,-0.09308908293087303,-0.047715350030081566,98,0.867,0.695,0.882,0.531,3
17,RO315,-0.108535831461331,-0.14574709747869363,-0.0798956727229427,-0.039808467861585636,107,0.785,0.573,0.868,0.39,2
18,RO316,-0.10730851817922403,-0.13796417774833988,-0.06803552928788574,-0.03291437390669316,101,0.762,0.319,0.756,0.184,1
19,RO317,-0.10801933822806044,-0.12338075312689067,-0.07570118357167234,-0.045247914737931064,108,0.861,0.614,1.0,0.529,3
