NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RO111,-0.042204020702568366,-0.06671083394142475,-0.027964003089002265,-0.009887122428429616,81,0.519,0.418,0.775,0.168,1
RO112,-0.023665239678896693,-0.03233614653807483,-0.016655985608472833,-0.010187871342717784,108,0.352,1.0,0.687,0.242,2
RO113,-0.029573843204275984,-0.03817824696926205,-0.026459847996762056,-0.011591546475074498,60,0.483,1.0,0.752,0.363,2
RO114,-0.02128097161331538,-0.028836543949052162,-0.017413995680065047,-0.005876267385983841,48,0.271,1.0,0.679,0.184,1
RO115,-0.06140507375712181,-0.08698386258821827,-0.03785384552098238,-0.017947491385220456,91,0.615,0.473,0.939,0.273,2
RO116,-0.13488972435411123,-0.23849518213946197,-0.14920923923217067,-0.026020983119411034,69,0.71,1.0,1.0,0.71,4
RO121,-0.024821654293019607,-0.03553177451603204,-0.020686758940517747,-0.008306253538483719,61,0.377,0.463,0.712,0.124,1
RO122,-0.007635724205770512,-0.011128981837414929,-0.007614389791077099,-0.00260721991629465,15,0.0,1.0,0.649,0.0,0
RO123,-0.21040827963649625,-0.2496243438163094,-0.1412359538438004,-0.042736310371958096,47,0.872,1.0,0.911,0.794,4
RO124,-0.10162096013184872,-0.16322982413065304,-0.084188842835346,-0.03051444537750082,73,0.781,1.0,0.801,0.626,4
RO125,-0.017005379975210972,-0.022088086329495646,-0.013833231853752237,-0.0068071091878450386,32,0.125,0.822,0.933,0.096,1
RO126,-0.01466598124144185,-0.020018802149549972,-0.012701716255554645,-0.0076489901381916695,33,0.121,0.436,0.677,0.036,1
RO211,-0.038037115909600246,-0.05344776731436958,-0.029097194986868885,-0.012251855812788367,107,0.523,0.38,0.348,0.069,1
RO212,-0.0598198843162791,-0.08522751012946392,-0.041880176159402004,-0.019594354600401497,105,0.657,0.497,0.723,0.236,2
RO213,-0.056456383667108534,-0.07829284334567226,-0.04021734628905779,-0.01975693903318593,92,0.685,1.0,0.971,0.665,4
RO214,-0.08140904488435062,-0.10660327109821258,-0.07372783215007354,-0.0304198766500952,91,0.769,1.0,0.518,0.398,2
RO215,-0.03893004272857199,-0.053437627932364944,-0.040952191602910984,-0.023765723221077964,60,0.7,1.0,0.891,0.624,4
RO216,-0.6201287686149101,-0.772239457343637,-0.40506818340945605,-0.17384465114559758,24,0.958,0.533,0.798,0.407,3
RO221,-0.2863375228332999,-0.386348583798319,-0.2966855709386316,-0.08682203318508352,49,0.878,0.818,0.405,0.291,2
RO222,-0.05501981593360304,-0.07253987918919887,-0.03546394172526755,-0.018176983840956493,110,0.627,1.0,0.822,0.515,3
RO223,,,,,0,0.0,0.572,0.706,0.0,0
RO224,-0.025663521019827912,-0.03081155475393353,-0.018373912267002003,-0.009814814838324614,96,0.354,0.813,0.805,0.232,2
RO225,-0.528948935280227,-0.7043521447832117,-0.3834940585946187,-0.29540607766670746,31,1.0,1.0,1.0,1.0,5
RO226,-0.059961458541937074,-0.07085722445509016,-0.04106600595388209,-0.018157487099153678,110,0.636,1.0,0.797,0.507,3
RO311,-0.3891367284866268,-0.49515650745802314,-0.29114751815410794,-0.16560512404512961,33,0.939,0.364,0.441,0.151,1
RO312,-0.07016540863092871,-0.10887422481979592,-0.0367826116008058,-0.01773326338128171,103,0.612,0.499,0.01,0.003,1
RO313,-0.06949580190569424,-0.08971349693927651,-0.049701390644865354,-0.018631639780695416,98,0.663,0.465,0.823,0.254,2
RO314,-24.763735245662634,-24.763735245662634,-24.763735245662634,-24.763735245662634,1,1.0,0.255,0.719,0.183,1
RO315,-0.475238756911954,-0.574373428094358,-0.3647136386916776,-0.28028694077329697,31,0.935,0.251,0.483,0.113,1
RO316,-1.5285306848803097,-2.38582588231578,-1.5038267053504222,-0.5367356041704289,11,1.0,1.0,0.641,0.641,4
RO317,-1.4663160310595516,-1.050044765372244,-0.6218647183533119,-0.4499456718888374,12,1.0,0.844,0.612,0.517,3
RO321,-36.400082612858135,-36.400082612858135,-36.400082612858135,-36.400082612858135,1,1.0,1.0,0.565,0.565,3
RO322,-5.155025854757222,-5.610756099382222,-5.185647712814803,-1.847652814257501,5,1.0,0.886,0.417,0.369,2
RO411,-0.5680655902963848,-0.670662724341197,-0.4756825194797295,-0.34181661870158986,29,1.0,0.174,0.358,0.062,1
RO412,-0.18619796961426016,-0.27549964299050766,-0.19749242337433814,-0.03723939275117538,62,0.839,0.178,0.599,0.089,1
RO413,-0.047917372141456575,-0.07142184528165385,-0.03427966664272946,-0.017145834036528293,93,0.57,0.759,0.178,0.077,1
RO414,-0.10504967390351988,-0.14597119840931255,-0.06757037823100455,-0.030167675693062772,87,0.805,1.0,0.784,0.631,4
RO415,-0.0884276059145791,-0.1396562924691043,-0.06313039107240462,-0.018502106766176387,89,0.663,0.507,0.649,0.218,2
RO421,-0.041101416998474194,-0.05904793805091561,-0.025483871519606856,-0.00971691571787102,97,0.474,0.42,0.582,0.116,1
RO422,-0.015586439108325167,-0.021615057492676684,-0.01606935684653806,-0.006482949201540029,17,0.118,0.758,0.646,0.058,1
RO423,-0.06259863064333979,-0.10350530386764753,-0.04785210314804887,-0.013411195878249078,79,0.62,0.552,0.657,0.225,2
RO424,-0.046879723361447315,-0.07940769613467687,-0.0285409354572047,-0.01237715180517453,83,0.542,0.523,0.529,0.15,1
