NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RO111,-0.041460067096162005,-0.05652136969806044,-0.02387524183138687,-0.012474977565303708,83,0.482,0.444,0.716,0.153,1
RO112,-0.02250562074692382,-0.029191756553496727,-0.016089501948718728,-0.008501186578576245,113,0.274,1.0,0.487,0.133,1
RO113,-0.02583776138028827,-0.03622675737325932,-0.02311524802059269,-0.007782780514281434,60,0.4,1.0,0.392,0.157,1
RO114,-0.015570482700598264,-0.022221095574560867,-0.012072119747480509,-0.004914506994083858,52,0.173,1.0,0.614,0.106,1
RO115,-0.0648720636406013,-0.09027972912634,-0.04190070774768751,-0.018840992655892036,87,0.678,0.461,0.879,0.275,2
RO116,-0.15245619899118176,-0.23446835272645955,-0.17199161023417947,-0.02580607774932753,61,0.738,1.0,1.0,0.738,4
RO121,-0.020444981924222817,-0.029081051054108548,-0.015182296638998548,-0.006680136825081943,59,0.271,0.491,0.664,0.088,1
RO122,-0.014543643180666026,-0.019901916328334098,-0.015041995559766439,-0.009062851098067332,9,0.222,1.0,0.245,0.054,1
RO123,-0.16392656271782222,-0.20889457024847013,-0.12365463103206902,-0.05379104091439852,59,0.864,1.0,0.886,0.766,4
RO124,-0.094752328614473,-0.1578672878155269,-0.059824246656943025,-0.022868987449295067,78,0.718,1.0,0.464,0.333,2
RO125,-0.013610140045835353,-0.020515595845583726,-0.009169089390934963,-0.00335464901587949,26,0.154,0.831,0.857,0.11,1
RO126,-0.01739552561467344,-0.026270380632861558,-0.0183221788578981,-0.0064006536767099685,30,0.233,0.448,0.444,0.046,1
RO211,-0.0359469940141107,-0.04832223460920497,-0.027612645601204116,-0.01344610009189248,107,0.514,0.546,0.227,0.064,1
RO212,-0.06863221856712723,-0.08552912629384042,-0.047479603525903184,-0.02152223736901943,96,0.708,0.631,0.67,0.299,2
RO213,-0.05681277234057291,-0.08028285925585663,-0.04421340400626231,-0.01779629051793616,91,0.637,1.0,0.951,0.606,4
RO214,-0.08476344702109095,-0.1247402720222821,-0.061875031795501474,-0.0296871569235491,88,0.761,1.0,0.392,0.298,2
RO215,-0.04063195893905512,-0.058193418327557214,-0.042753271101736295,-0.013831463715510814,57,0.632,1.0,0.712,0.45,3
RO216,-0.38177240653231825,-0.587829743199554,-0.2589936649152416,-0.11443912841126418,38,0.921,0.596,0.682,0.374,2
RO221,-0.27981119078569083,-0.3620202873810222,-0.24368072499716964,-0.03692065455755703,49,0.857,0.838,0.259,0.186,1
RO222,-0.055594951232717585,-0.07351681751563106,-0.040358901417120494,-0.01790457180449906,108,0.611,1.0,0.583,0.356,2
RO223,,,,,0,0.0,0.525,0.531,0.0,0
RO224,-0.02727561407686993,-0.03922374062334051,-0.02134897479197459,-0.010985533522531002,85,0.4,0.815,0.662,0.216,2
RO225,-0.6439279635279693,-0.9191389095720675,-0.4049477182648811,-0.27197556767223513,25,1.0,1.0,0.995,0.995,5
RO226,-0.0560406937553057,-0.07464869059263732,-0.04180962950943462,-0.01823123396070575,114,0.658,1.0,0.619,0.407,3
RO311,-0.3569073698505786,-0.587442755681316,-0.2631860967360835,-0.16320786649653168,35,0.914,0.396,0.376,0.136,1
RO312,-0.06633035869587126,-0.09232516673555967,-0.037709905759796006,-0.016983640908228945,107,0.607,0.548,0.01,0.003,1
RO313,-0.05851227014734725,-0.07669928329288209,-0.040031849627755085,-0.01742005825973407,114,0.64,0.405,0.721,0.187,1
RO314,-24.608570429987452,-24.608570429987452,-24.608570429987452,-24.608570429987452,1,1.0,0.28,0.687,0.192,1
RO315,-0.4267817753022284,-0.5733679622799206,-0.3437323679252351,-0.25090522124174125,34,0.882,0.31,0.377,0.103,1
RO316,-1.1829615381788474,-2.2815293235357683,-0.42357458751538535,-0.32594609028044325,14,0.929,1.0,0.428,0.398,2
RO317,-1.225523727090857,-2.0412184627729806,-1.0698011361218938,-0.5475928311885015,14,1.0,0.853,0.394,0.336,2
RO321,-36.36435548261518,-36.36435548261518,-36.36435548261518,-36.36435548261518,1,1.0,1.0,0.569,0.569,3
RO322,-4.274536361165386,-6.076794791514478,-4.475404842196711,-2.8234033683590845,6,1.0,0.913,0.335,0.306,2
RO411,-0.4617410483653579,-0.5106334724371614,-0.41734834058276443,-0.21746934599871381,34,0.882,0.083,0.386,0.028,1
RO412,-0.1583120031760375,-0.24104852079199512,-0.08968303421228281,-0.03107800319229665,71,0.789,0.182,0.59,0.085,1
RO413,-0.04160150719866396,-0.06127122518015758,-0.026257097798069583,-0.012315218440991068,101,0.485,0.986,0.074,0.035,1
RO414,-0.08745379320791895,-0.12580386323215734,-0.057124143080972856,-0.020785095025049202,98,0.704,1.0,0.584,0.411,3
RO415,-0.07388251795747156,-0.11224308693011288,-0.0381952060471466,-0.016978604026532073,102,0.627,0.478,0.651,0.195,1
RO421,-0.0383740112400187,-0.046479151541920144,-0.020947503767999802,-0.009474836070897342,106,0.425,0.413,0.386,0.068,1
RO422,-0.01667860009983691,-0.02067740732039315,-0.01110978320177309,-0.00197522064658639,10,0.2,0.885,0.473,0.084,1
RO423,-0.050628885543481494,-0.07833949086447345,-0.02322343874680906,-0.00935371375596913,95,0.474,0.598,0.591,0.168,1
RO424,-0.04054460140019386,-0.0625744295817357,-0.02328441175817131,-0.010283192185507108,95,0.432,0.504,0.461,0.1,1
