,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,RS226,-0.08691595446609597,-0.1153811123704663,-0.05743354255562329,-0.0334457030059433,115,0.765,0.743,0.161,0.092,1
1,RS227,-0.09691330668474084,-0.1307449004014265,-0.06512257008354749,-0.032238474425989073,116,0.75,0.69,0.216,0.112,1
2,RS228,-0.09432557940299201,-0.12571174008276353,-0.07207377592015692,-0.033913763051971635,115,0.757,0.939,0.838,0.596,3
3,RS229,-0.10807969969284678,-0.15997051915713328,-0.09215884746976269,-0.03643699680157061,101,0.762,0.794,0.656,0.397,2
4,RS122,-0.08392200450489896,-0.11288902596190446,-0.054642297096933086,-0.023576606135735607,121,0.686,1.0,0.667,0.458,3
5,RS123,-0.10029887980992232,-0.1265731041371661,-0.06037889323487938,-0.034577564508908455,105,0.771,0.27,0.634,0.132,1
6,RS124,-0.11506992368421916,-0.15604993296400105,-0.07727717030459741,-0.044256382739002745,102,0.873,0.184,0.631,0.101,1
7,RS125,-0.09986649168902823,-0.1285076182627576,-0.06484836853651836,-0.034832526162495346,109,0.771,0.537,0.636,0.263,2
8,RS126,-0.10047750408004368,-0.12835149204224217,-0.06775300171526585,-0.03494002546004385,113,0.77,0.919,0.232,0.164,1
9,RS127,-0.0917677780360681,-0.12958440587916958,-0.06260232129867341,-0.03462938892002656,110,0.755,0.894,0.78,0.526,3
10,RS211,-0.08006678727216313,-0.11014824026597612,-0.061975407086965924,-0.033899785202935614,110,0.773,0.801,0.571,0.354,2
11,RS213,-0.07991719782693817,-0.09903914757585656,-0.058072163921408904,-0.027158163766113703,116,0.724,0.866,0.63,0.395,2
12,RS214,-0.07313572137497446,-0.10139175704078446,-0.058254898307797676,-0.02983172439851904,116,0.716,0.753,0.526,0.284,2
13,RS215,-0.08624767185279324,-0.12705085906691124,-0.06224106770471291,-0.029896613577563555,114,0.737,0.794,0.308,0.18,1
14,RS216,-0.1025308827242911,-0.14186118025292266,-0.08633024592781859,-0.03649442656875658,102,0.794,0.282,0.461,0.103,1
15,RS217,-0.08295364461086073,-0.12163364787125171,-0.06807520259192065,-0.030210701484643825,111,0.748,1.0,0.01,0.007,1
16,RS218,-0.08898788058819782,-0.12624014493377356,-0.06647579894264473,-0.03389814877435459,111,0.802,0.767,0.687,0.423,3
17,RS221,-0.09245191568190758,-0.12228240901578652,-0.07001200498983207,-0.04139786605979363,116,0.81,0.689,0.56,0.313,2
18,RS222,-0.08858594129508443,-0.11142540979759402,-0.06787510620302283,-0.041225810375759946,114,0.807,0.821,0.497,0.329,2
19,RS223,-0.09749188418666806,-0.13248105812729072,-0.0680637661113262,-0.03867188988892732,112,0.777,1.0,1.0,0.777,4
20,RS224,-0.09912953879444185,-0.14009813232611398,-0.07319139594007143,-0.033773203403974536,110,0.764,1.0,0.261,0.199,1
21,RS225,-0.10680859513889761,-0.1431570702649258,-0.08480331422921604,-0.032697983135574836,108,0.769,1.0,0.369,0.284,2
22,RS110,-0.08988080550860836,-0.12589286913935227,-0.05899276467387288,-0.03732709451606618,118,0.763,0.667,0.568,0.289,2
23,RS121,-0.09503918538750734,-0.12269412004652755,-0.06151325089325756,-0.034737271483880214,108,0.769,0.295,0.503,0.114,1
24,RS212,-0.07310061764927468,-0.09595881159579775,-0.05328377803533595,-0.025472523610650128,118,0.695,1.0,0.51,0.354,2
