,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,RS110,-0.04619352409297569,-0.07329089471074653,-0.0302872624529257,-0.012230010245438846,106,0.689,1.0,0.01,0.007,1
1,RS121,-0.042649899824736305,-0.05860351991966045,-0.03196080280461023,-0.01589270288597839,107,0.757,1.0,0.29,0.22,2
2,RS122,-0.04346464785527995,-0.0646258354564588,-0.030732797983932754,-0.012908066927778118,105,0.724,1.0,0.105,0.076,1
3,RS123,-0.051620482525603584,-0.0703402720360074,-0.0394088218130134,-0.016723764441226044,98,0.776,0.744,0.545,0.315,2
4,RS124,-0.040930788792329774,-0.055391747907713326,-0.03218071690348784,-0.015849332474740185,105,0.771,1.0,0.831,0.641,4
5,RS125,-0.03740894575185423,-0.05203577669712452,-0.029754351831314897,-0.013398289402200864,109,0.716,0.904,0.837,0.542,3
6,RS126,-0.04176974122591122,-0.06096023043674183,-0.028751320711542676,-0.012712883819088127,105,0.705,0.707,0.695,0.346,2
7,RS127,-0.040934985990497906,-0.05209104030558741,-0.028066263303857142,-0.016269605111583853,112,0.768,0.821,0.786,0.496,3
8,RS211,-0.037750594908092135,-0.047567639872719475,-0.024030237854385413,-0.011976124284574893,104,0.683,1.0,0.215,0.147,1
9,RS212,-0.03790194147218055,-0.05172757557986653,-0.025482069935421382,-0.010483208132529533,107,0.682,1.0,0.888,0.606,4
10,RS213,-0.04086658005124985,-0.05548654737027722,-0.02758597439700836,-0.013376026393100591,101,0.723,1.0,0.979,0.708,4
11,RS214,-0.037425645890114705,-0.05232929363906189,-0.02674631977083551,-0.008901163193194228,106,0.642,1.0,0.956,0.614,4
12,RS215,-0.04173281020098139,-0.059273365165884655,-0.031784094645222485,-0.014736700743604492,100,0.74,0.784,0.787,0.457,3
13,RS216,-0.03891320362772588,-0.05612254822118268,-0.028495515257300624,-0.014329427544261902,111,0.739,1.0,1.0,0.739,4
14,RS217,-0.0403953094091048,-0.053958217194181195,-0.031473881265132245,-0.011847786823661072,108,0.713,0.906,0.682,0.441,3
15,RS218,-0.04387634080187535,-0.06495574499218183,-0.028695271074155954,-0.014604506961911679,100,0.74,1.0,0.768,0.568,3
16,RS221,-0.045236412579754456,-0.06408436392838575,-0.03618988779022809,-0.01299821893035483,107,0.71,1.0,0.47,0.334,2
17,RS222,-0.042626956860202576,-0.06113697559652114,-0.02697585100742437,-0.012250944954193392,107,0.692,0.801,0.813,0.451,3
18,RS223,-0.04002375353308761,-0.06241193456899062,-0.029713868197028637,-0.016332147219893015,116,0.759,1.0,0.896,0.68,4
19,RS224,-0.04427194926603988,-0.06620878089317878,-0.03473421395234333,-0.016191989924432514,109,0.761,1.0,0.979,0.745,4
20,RS225,-0.042481893119784515,-0.06340140979343585,-0.03486189570734062,-0.017088363186926223,112,0.768,1.0,0.01,0.008,1
21,RS226,-0.043122963147134374,-0.05720460938494204,-0.03408098735998225,-0.018484235769055075,114,0.798,1.0,0.022,0.018,1
22,RS227,-0.04351989786798532,-0.05900630134183976,-0.02770799818385915,-0.012464663412482431,109,0.688,1.0,0.373,0.257,2
23,RS228,-0.0452009077459004,-0.0646120663665169,-0.0338848011072842,-0.0163998542283565,112,0.786,0.555,0.509,0.222,2
24,RS229,-0.0415792993863691,-0.06309746826601749,-0.02962863540536266,-0.013715926203067575,110,0.718,1.0,0.811,0.582,3
