,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,SE110,-0.0706380558592904,-0.09706886207854573,-0.06008248900437408,-0.026096643398128217,117,0.761,0.77,0.927,0.543,3
1,SE121,-0.08073718611311884,-0.1061582032308542,-0.056734684346535585,-0.0326624104446374,116,0.802,0.28,0.852,0.191,1
2,SE122,-0.08043112608581167,-0.10727446929241978,-0.0664343546777712,-0.032363859880133676,112,0.795,0.296,0.681,0.16,1
3,SE123,-0.06798198935363835,-0.09172983667997349,-0.061272987337906676,-0.035758509092540164,115,0.809,0.028,0.78,0.018,1
4,SE124,-0.08193457500462437,-0.10135713950863554,-0.06101378266637824,-0.04120210632222509,110,0.827,0.03,0.631,0.016,1
5,SE313,-0.07688476689033205,-0.09551794588815722,-0.05926316189263697,-0.028463537424318452,117,0.786,0.023,0.375,0.007,1
6,SE125,-0.0832939388689343,-0.10292461898059213,-0.06778059671054788,-0.03872354398319479,107,0.832,0.263,0.818,0.179,1
7,SE211,-0.061490765929180666,-0.08690268703368359,-0.04832814743719774,-0.02447288449316087,129,0.744,0.492,0.835,0.306,2
8,SE212,-0.07473293277516482,-0.11609392885578039,-0.061864039460368246,-0.028094187056576257,117,0.778,0.48,0.883,0.33,2
9,SE213,-0.08126610369175907,-0.12181154895647353,-0.057969578209519,-0.036390772715644,122,0.82,0.467,0.824,0.316,2
10,SE214,-0.06929875986108465,-0.09004461063907415,-0.05448262295231962,-0.0272907771892724,118,0.754,0.042,0.668,0.021,1
11,SE221,-0.07618437263235346,-0.11219867313890061,-0.05878680153144321,-0.03929836307744629,119,0.832,0.047,0.804,0.031,1
12,SE224,-0.07631232719796924,-0.10508453698176627,-0.059064987339548694,-0.02810521571890672,114,0.789,1.0,0.896,0.707,4
13,SE231,-0.08091309924196946,-0.11964174368730347,-0.06197115831985919,-0.02774323635400569,108,0.769,0.151,0.829,0.096,1
14,SE232,-0.06446178945845564,-0.09007121238022212,-0.053386054871729746,-0.026147736163433445,117,0.752,0.082,0.826,0.051,1
15,SE311,-0.06906068328876161,-0.09054171045266021,-0.052784085849560056,-0.03397353511124876,113,0.858,1.0,0.828,0.71,4
16,SE312,-0.06461156317923328,-0.08040796805636896,-0.0552257508716749,-0.027664078646537766,125,0.76,0.116,0.926,0.082,1
17,SE321,-0.06785744283082022,-0.08836657316098176,-0.05128537801811725,-0.02907027032056811,120,0.767,1.0,0.01,0.008,1
18,SE322,-0.052935842282597824,-0.07524961854219023,-0.04230915969738637,-0.01772224709300213,124,0.637,0.885,0.817,0.461,3
19,SE331,-0.05630968787495212,-0.07740927690070518,-0.046101322468882086,-0.017616281314207248,118,0.669,0.63,1.0,0.421,3
20,SE332,-0.046459814055027374,-0.05971401557366083,-0.03778873549924473,-0.02060079910523494,116,0.698,0.191,0.745,0.099,1
