NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SE110,-0.026966373947153555,-0.039001014752593384,-0.021839162717050366,-0.009650788027377321,114,0.535,0.947,0.99,0.502,3
SE121,-0.03740755311943927,-0.05580763528115165,-0.020533359728655748,-0.011192221827292625,111,0.55,0.422,0.897,0.208,2
SE122,-0.0334538538923391,-0.04887767595852713,-0.027646674058700946,-0.010819287697626372,113,0.593,0.577,0.987,0.338,2
SE123,-0.021030734144968196,-0.029227521673312152,-0.01588877014026982,-0.008454392827303814,116,0.431,0.038,0.14,0.002,1
SE124,-0.028313086123426277,-0.0381867880209493,-0.021339754999530156,-0.010310893551453596,127,0.535,0.021,0.058,0.001,1
SE125,-7.306366457725777,-9.640073038533927,-5.067206447944066,-3.853079872026772,3,1.0,0.016,0.01,0.0,0
SE211,-0.010129034180038174,-0.009546979543755368,-0.007268576369398792,-0.0051758578598310595,8,0.125,0.44,0.907,0.05,1
SE212,-0.022700216336808736,-0.028962697703085287,-0.017314221879781634,-0.008739789084826706,135,0.452,0.676,0.973,0.297,2
SE213,-0.03138441033994977,-0.04088987390813634,-0.027363921942226387,-0.015122494465384752,124,0.653,0.684,0.951,0.425,3
SE214,-25.82255108028716,-25.82255108028716,-25.82255108028716,-25.82255108028716,1,1.0,0.5,0.992,0.496,3
SE221,-0.016701553207963928,-0.02294274438933005,-0.013002053189137445,-0.00801567462957901,33,0.333,0.083,0.334,0.009,1
SE224,-0.01865982271739443,-0.026388747911611422,-0.006024055306400615,-0.00461301381768053,3,0.333,0.093,0.594,0.018,1
SE231,-0.04951360591462722,-0.07759065678423606,-0.03440146267887261,-0.015957041569374962,108,0.722,0.278,0.987,0.198,1
SE232,,,,,0,0.0,0.28,0.957,0.0,0
SE311,-0.1716620510161655,-0.2637933800048207,-0.13446420395738712,-0.04049695114897747,59,0.932,0.166,0.71,0.11,1
SE312,-0.013743077565234173,-0.01746577495222633,-0.013131959595673008,-0.00852310019757233,60,0.167,1.0,1.0,0.167,1
SE313,-0.7349491165508235,-1.0190066540639613,-0.6397182997774951,-0.27665768773658694,19,1.0,0.177,0.63,0.112,1
SE321,-0.02206970664252649,-0.029465874664770537,-0.016442243340397802,-0.0070903956467885405,121,0.446,1.0,0.999,0.446,3
SE322,-0.018862413600445233,-0.02662601995628586,-0.014435745627986184,-0.00713882347216437,110,0.4,1.0,0.985,0.394,2
SE331,-0.0185284509779493,-0.024581056790287787,-0.01358750525557152,-0.0065000177327790105,105,0.371,0.905,0.901,0.303,2
SE332,-0.01287827504990694,-0.018729660638802284,-0.009787458245766422,-0.004650804143987858,103,0.223,0.205,0.937,0.043,1
