,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,SE110,-0.02971771648384522,-0.04014714489750705,-0.024045706852730726,-0.009976726329306365,118,0.712,1.0,0.981,0.698,4
1,SE121,-0.03377906540395739,-0.046594832556284105,-0.028990350124369273,-0.012337959075543165,115,0.757,0.433,0.794,0.26,2
2,SE122,-0.03478085909630745,-0.042610648549903575,-0.0270763766538898,-0.015224971418781647,109,0.807,0.581,0.959,0.45,3
3,SE123,-0.0285313284391534,-0.03790026164533896,-0.021900520072973537,-0.009812358570854815,122,0.713,0.069,0.174,0.009,1
4,SE124,-0.02987874526306305,-0.0380473214919503,-0.025838347008512674,-0.013781202462780608,112,0.786,0.046,0.163,0.006,1
5,SE125,-0.03390715546651433,-0.043349693355851045,-0.028178963249953566,-0.015375540427696448,109,0.817,0.024,0.01,0.0,0
6,SE211,-0.02724870961633133,-0.03495241257581207,-0.021049532359145487,-0.010753295207863188,114,0.737,0.485,0.844,0.302,2
7,SE212,-0.029293740215112732,-0.04113457946434509,-0.024228546419102874,-0.010396802012017335,114,0.719,0.727,0.944,0.493,3
8,SE213,-0.029041980639507078,-0.03895806380232701,-0.02524514931051612,-0.011577300857097877,114,0.763,0.703,0.886,0.475,3
9,SE214,-0.027280738043222997,-0.03926154005247434,-0.017241643254429465,-0.010021242185868067,127,0.677,0.5,0.963,0.326,2
10,SE221,-0.028889049126166504,-0.0381297326806142,-0.022736382346807173,-0.01321631670918918,118,0.763,0.091,0.333,0.023,1
11,SE224,-0.02458418175695638,-0.035632375877159596,-0.01790267005249325,-0.011434630361788437,117,0.744,0.147,0.49,0.054,1
12,SE231,-0.025157843889117543,-0.03609177630477248,-0.018182591452831798,-0.008851047280202065,118,0.686,0.359,0.959,0.236,2
13,SE232,-0.025361414920992205,-0.03691642121078429,-0.019820174593214734,-0.008714318150287281,125,0.688,0.296,0.903,0.184,1
14,SE311,-0.03179966269252067,-0.043102192014061805,-0.023200356041717624,-0.01089943109283641,115,0.739,0.31,0.506,0.116,1
15,SE312,-0.03156755216192135,-0.044013622519457854,-0.024457872599020956,-0.010344371953984605,111,0.721,1.0,1.0,0.721,4
16,SE313,-0.028739963001913872,-0.03967016371409123,-0.024172430008192636,-0.010221026492136388,121,0.719,0.185,0.553,0.074,1
17,SE321,-0.030775248619375462,-0.04185797202371448,-0.021510321933349813,-0.01083255123346041,115,0.739,1.0,0.999,0.738,4
18,SE322,-0.020685776963081746,-0.02660970506835866,-0.015408385244236468,-0.008240874423443506,116,0.621,0.737,0.91,0.416,3
19,SE331,-0.021490772319473314,-0.02618658901416116,-0.015680809487200645,-0.008691781385561469,117,0.632,0.944,0.847,0.505,3
20,SE332,-0.026357336235730163,-0.03146900845192075,-0.02016847078033144,-0.011067549870579469,109,0.743,0.228,0.853,0.145,1
