NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SE110,-0.030264839450630646,-0.03694816212002512,-0.01902512482167423,-0.010976421620172093,114,0.482,0.964,0.981,0.456,3
SE121,-0.04616153223874723,-0.06833889775268363,-0.025420232501605734,-0.010672746919831739,107,0.551,0.465,0.822,0.211,2
SE122,-0.03560848677898605,-0.04828383676926437,-0.02129229110705351,-0.010160683184610544,117,0.538,0.596,0.964,0.309,2
SE123,-0.02248613167869653,-0.03034360678668177,-0.015360265586263477,-0.008283191921657407,123,0.39,0.038,0.181,0.003,1
SE124,-0.03310068817452047,-0.04633999719425943,-0.02345212323352499,-0.012121662294118221,118,0.576,0.022,0.168,0.002,1
SE125,-11.158079695395456,-15.441813431186493,-11.158079695395456,-6.874345959604419,2,1.0,0.015,0.01,0.0,0
SE211,-0.010166599739165531,-0.015642190860989058,-0.0084667428761457,-0.005527461671201686,5,0.0,0.459,0.85,0.0,0
SE212,-0.026330217377634246,-0.03411451207119787,-0.018044322735860818,-0.008460530332531996,119,0.454,0.718,0.947,0.309,2
SE213,-0.03953539584781625,-0.05536448606834442,-0.02767569582811668,-0.015410159037215957,113,0.681,0.722,0.896,0.441,3
SE214,-26.04518926818876,-26.04518926818876,-26.04518926818876,-26.04518926818876,1,1.0,0.501,0.965,0.483,3
SE221,-0.01873868196151877,-0.031034845756127735,-0.012743385559900391,-0.008557542421220133,35,0.4,0.084,0.333,0.011,1
SE224,-0.0070784259099886835,-0.010559658564304252,-0.00137017139467684,-0.000743065998017192,3,0.0,0.091,0.495,0.0,0
SE231,-0.05906012227835513,-0.09194836821438233,-0.03753165284073062,-0.017959798775123666,94,0.723,0.355,0.96,0.246,2
SE232,,,,,0,0.0,0.308,0.909,0.0,0
SE311,-0.20121178011076835,-0.27839701456919197,-0.2239499117154544,-0.11465625366717247,52,0.962,0.17,0.508,0.083,1
SE312,-0.01612389796996525,-0.021427938110889184,-0.012537355234286614,-0.005854246232084169,58,0.328,1.0,1.0,0.328,2
SE313,-1.292397950646675,-2.14642467967655,-0.6791181517399777,-0.48221871681959727,11,0.909,0.182,0.568,0.094,1
SE321,-0.026125031704154863,-0.034669845003959414,-0.019346152119918636,-0.008264241772784457,105,0.486,1.0,0.999,0.486,3
SE322,-0.021367261670351047,-0.02588589039428241,-0.015172233840572764,-0.008013426991989423,100,0.37,1.0,0.911,0.337,2
SE331,-0.019270605464528058,-0.025862780910897904,-0.014268114179373266,-0.007405275482194962,101,0.356,1.0,0.851,0.303,2
SE332,-0.011319089987326501,-0.016749642886264172,-0.009420496068159586,-0.0044280301713112615,104,0.163,0.226,0.861,0.032,1
