NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SI031,-0.1506022746586901,-0.22733430334828253,-0.1645580175769577,-0.053049055735524875,67,0.821,0.688,0.01,0.006,1
SI032,-0.09868444646694634,-0.17550130469100605,-0.07230712316816057,-0.021611844791150456,85,0.682,1.0,0.798,0.544,3
SI033,-0.4518072132422011,-0.46053219454903,-0.38375219817681555,-0.32888986379512,33,0.97,0.66,0.831,0.532,3
SI034,-1.8448239184765263,-3.0394629410442007,-1.38624604777468,-0.47992732043142194,10,1.0,0.985,0.757,0.746,4
SI035,-0.028694428463621146,-0.035334953765392293,-0.01912700088684479,-0.007287066461463327,100,0.3,0.844,0.881,0.223,2
SI036,-23.84185052801856,-23.84185052801856,-23.84185052801856,-23.84185052801856,1,1.0,0.698,0.063,0.044,1
SI037,-0.06296825381601864,-0.09631668104296374,-0.05889871610028373,-0.017420590811264874,64,0.625,1.0,0.917,0.573,3
SI038,-0.24760661753877652,-0.3238394161002592,-0.2882622364554367,-0.22680310702369086,49,0.837,1.0,0.814,0.681,4
SI041,-0.023200174956033978,-0.03287336478696168,-0.016551495537557817,-0.006729270860504263,90,0.278,1.0,0.668,0.186,1
SI042,-0.010394535991333071,-0.010394535991333071,-0.010394535991333071,-0.010394535991333071,1,0.0,0.333,0.68,0.0,0
SI043,-0.016073279707500113,-0.019386258071474212,-0.010539675822464498,-0.006206114513811879,19,0.158,1.0,0.987,0.156,1
SI044,-0.02304024792408099,-0.03095362785823936,-0.015348483704722806,-0.008094362050015036,92,0.261,1.0,1.0,0.261,2
