,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,TR100,-0.03651949203860243,-0.0507936748728635,-0.028028197070582152,-0.014398988388029301,119,0.79,0.442,0.669,0.234,2
1,TR211,-0.03847927991868212,-0.052435219885756675,-0.025740403301316172,-0.0109755311237165,128,0.734,0.109,0.178,0.014,1
2,TR212,-0.042595489916684666,-0.05860666343935345,-0.029115599739536514,-0.013292351504727656,119,0.773,0.356,0.59,0.162,1
3,TR213,-0.03944454701978012,-0.05599027510131679,-0.028488574352111114,-0.01310175285503739,128,0.766,0.551,1.0,0.422,3
4,TR221,-0.04307877382456874,-0.053342007512241024,-0.028716486357765882,-0.016123568259800825,115,0.8,0.777,0.984,0.612,4
5,TR222,-0.04406249345586611,-0.05116611630841606,-0.031199559239365304,-0.015892062606624787,115,0.826,0.961,0.977,0.776,4
6,TR310,-0.054774572666503096,-0.066959182826768,-0.03342630447341145,-0.013172532241923239,109,0.78,0.739,0.942,0.543,3
7,TR321,-0.04629680354076146,-0.05855431290858582,-0.02794130875882664,-0.014951449560457134,109,0.78,0.125,0.984,0.096,1
8,TR322,-0.05107044405021405,-0.07149051081692563,-0.03084711949623627,-0.012734903544302166,103,0.748,1.0,0.835,0.625,4
9,TR323,-0.04333945116687981,-0.06334733344065167,-0.02083191305902084,-0.01004603844210816,117,0.684,0.565,0.777,0.3,2
10,TR331,-0.05028286247027268,-0.06170835935924375,-0.036308479071183015,-0.015104947662406276,112,0.804,0.16,0.355,0.046,1
11,TR332,-0.048758083850555654,-0.07645182585850738,-0.03430013345713907,-0.012866084347518427,106,0.755,0.503,0.957,0.363,2
12,TR333,-0.04386999891982504,-0.06402399159512069,-0.033047509718558604,-0.013662890950736584,106,0.764,0.299,0.944,0.216,2
13,TR334,-0.054204155204802214,-0.07654820056772296,-0.03433380667775982,-0.011970699118783446,110,0.745,0.515,0.993,0.381,2
14,TR411,-0.03706963849267218,-0.04777946986099632,-0.02614427807755852,-0.014166421418615113,119,0.798,0.088,0.888,0.062,1
15,TR412,-0.039367215697017705,-0.061745282865636526,-0.028231772500422584,-0.013453106841344603,110,0.782,0.122,0.93,0.089,1
16,TR413,-0.035968960234498026,-0.04963346800204396,-0.025216732542788653,-0.014284045985380746,112,0.795,0.314,0.464,0.116,1
17,TR421,-0.041519033279102883,-0.06125545753285832,-0.03190480785109156,-0.014411380896745277,110,0.764,0.266,0.927,0.188,1
18,TR422,-0.03712201828215809,-0.05307121580206909,-0.03017987489926482,-0.015688163664412252,114,0.781,0.141,0.937,0.103,1
19,TR423,-0.0358974020009622,-0.05095418105604443,-0.0271421125104386,-0.014740832288036902,109,0.798,0.768,0.966,0.592,3
20,TR424,-0.03559890517204869,-0.05200066702525702,-0.025918184333304613,-0.014744869785969214,112,0.812,0.309,0.77,0.193,1
21,TR425,-0.03695497217676062,-0.05512622250907612,-0.027702963558389193,-0.01207009020871692,119,0.748,0.606,1.0,0.453,3
22,TR510,-0.038946579307554234,-0.05711436876671459,-0.02962575807680281,-0.01654516408102577,108,0.815,0.767,0.697,0.436,3
23,TR521,-0.044076245532347395,-0.06048577443902675,-0.02890079895441628,-0.011538520091282553,110,0.718,0.527,0.959,0.363,2
24,TR522,-0.04571537591278123,-0.06168450489606993,-0.027976309105622287,-0.011727700596841518,114,0.737,0.532,0.811,0.318,2
25,TR611,-0.04932615227930832,-0.05626949270409507,-0.030180745516500615,-0.01087066569129573,106,0.726,0.676,0.998,0.49,3
26,TR612,-0.056890543554611275,-0.07614059797695508,-0.03867656127810697,-0.01965843956120523,98,0.837,1.0,0.979,0.819,5
27,TR613,-0.0516214943463642,-0.06893916584544385,-0.02799173712288677,-0.011241056446602976,105,0.743,1.0,0.994,0.739,4
28,TR621,-0.038625219701954476,-0.048922860098892754,-0.024804025594722272,-0.010748723353265687,117,0.701,0.877,0.962,0.591,3
29,TR622,-0.04627116553929381,-0.0626775130916498,-0.02461330430368364,-0.009689234933096523,109,0.661,0.678,0.679,0.304,2
30,TR631,-0.039690395736871345,-0.044847103352613854,-0.024838333933965596,-0.011736662125605375,111,0.721,0.07,0.967,0.049,1
31,TR632,-0.039021111503035694,-0.050374317852013295,-0.02608183412552231,-0.010037205530882607,116,0.716,0.277,0.915,0.181,1
32,TR633,-0.03899961438194163,-0.04933494304156295,-0.02359122410976594,-0.00955504154223864,120,0.708,0.373,0.891,0.235,2
33,TR711,-0.04188602072655746,-0.059336021827721866,-0.03191126811163743,-0.01866277806220321,109,0.844,0.44,0.859,0.319,2
34,TR712,-0.041714224880551744,-0.05883576485223226,-0.03303898284235686,-0.014766517185584964,116,0.776,0.427,0.97,0.321,2
