,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,TR100,-0.03574705307747197,-0.04938874597457282,-0.026694856299077738,-0.011659387195877429,123,0.74,0.516,0.63,0.241,2
1,TR211,-0.04079377613557994,-0.05767769466612288,-0.033465881311053346,-0.013284932569181538,127,0.78,0.154,0.106,0.013,1
2,TR212,-0.04468067887632893,-0.06468313627146087,-0.03249939533788683,-0.014552739950489278,117,0.786,0.435,0.529,0.181,1
3,TR213,-0.04243173913004325,-0.0625418740159892,-0.03514488539774814,-0.013570307813451027,125,0.8,0.567,1.0,0.454,3
4,TR221,-0.0314149087343364,-0.0469320438562376,-0.021408581384747275,-0.008595645350036363,132,0.636,0.816,0.973,0.505,3
5,TR222,-0.033190233409207785,-0.0490155061029503,-0.023115517781344547,-0.009510172516313154,132,0.682,1.0,0.508,0.346,2
6,TR310,-0.041156823092951114,-0.05806669017001233,-0.026974295669880383,-0.011556868798544537,116,0.724,0.798,0.265,0.153,1
7,TR321,-0.043424444415318064,-0.059654291582130786,-0.027756374150635376,-0.012099512736408986,111,0.757,0.137,0.963,0.1,1
8,TR322,-0.044358801401601713,-0.06493149569074694,-0.02754969022909739,-0.013767847954599642,113,0.858,1.0,0.751,0.644,4
9,TR323,-0.03781778629419131,-0.05234593050671747,-0.023809908724317444,-0.009097047107448878,118,0.669,0.605,0.549,0.222,2
10,TR331,-0.04295777792396165,-0.06092145879678602,-0.03222743781282482,-0.01582937682636721,116,0.828,0.241,0.284,0.057,1
11,TR332,-0.04597768104849436,-0.05185440706570999,-0.03599701490079542,-0.017681997569106996,107,0.879,0.604,0.941,0.5,3
12,TR333,-0.041881778928899896,-0.053207109236261374,-0.03174099896385586,-0.018606066940885083,110,0.855,0.395,0.902,0.305,2
13,TR334,-0.04312796728141985,-0.05615419115725036,-0.029519668036576453,-0.015128753495730837,116,0.828,0.56,0.944,0.438,3
14,TR411,-0.033827847043795704,-0.04765877564989883,-0.026804324375929063,-0.01177329524395918,120,0.742,0.129,0.87,0.083,1
15,TR412,-0.038087326509728056,-0.04875039461301253,-0.027363732173161105,-0.014000546402860988,109,0.807,0.149,0.917,0.11,1
16,TR413,-0.033198321591854124,-0.04334531227473858,-0.027325583105281773,-0.011029212521004708,117,0.718,0.344,0.414,0.102,1
17,TR421,-0.03733395808185884,-0.050135093269218674,-0.029554801875582855,-0.011924348497637995,119,0.748,0.252,0.809,0.152,1
18,TR422,-0.034877970475042645,-0.046790660320992,-0.028111563896718865,-0.010640437956797845,120,0.725,0.156,0.808,0.091,1
19,TR423,-0.030711033787498405,-0.04400968327091877,-0.024272084812855498,-0.010620806365139804,123,0.707,0.798,0.923,0.521,3
20,TR424,-0.03009221406681179,-0.04012705592828876,-0.02297137291940954,-0.012569882794560259,124,0.766,0.309,0.738,0.175,1
21,TR425,-0.037683441029325485,-0.05108904948437902,-0.03200374514831783,-0.012290090705373007,118,0.754,0.668,1.0,0.504,3
22,TR510,-0.03466876892141568,-0.04585610078873066,-0.02160074991742555,-0.011939218266509653,119,0.739,0.707,0.565,0.295,2
23,TR521,-0.0382689702394981,-0.050538858816181975,-0.02778152804724494,-0.012371994096250652,118,0.754,0.609,0.938,0.431,3
24,TR522,-0.04459861564978138,-0.06086886730552577,-0.030881824921934954,-0.014978287548103094,110,0.8,0.519,0.311,0.129,1
25,TR611,-0.042257405053746394,-0.05685654007499948,-0.028539087437358657,-0.01082364168797174,121,0.719,0.707,0.992,0.504,3
26,TR612,-0.03900804073713682,-0.051717322735727086,-0.0257741887589567,-0.014927571692318722,121,0.785,1.0,0.97,0.761,4
27,TR613,-0.0413047984622164,-0.05751721010071242,-0.030470026565475847,-0.012470328935976507,122,0.762,1.0,0.984,0.75,4
28,TR621,-0.03539250043353543,-0.04869322947036037,-0.02124909092549386,-0.009477216403001826,120,0.717,0.931,0.936,0.625,4
29,TR622,-0.045387105491055936,-0.058100488800839664,-0.03088754323200822,-0.01521185649124893,110,0.809,0.804,0.639,0.416,3
30,TR631,-0.03866484176853845,-0.05475594663045191,-0.02712398870508765,-0.009647916672402956,118,0.669,0.072,0.963,0.046,1
31,TR632,-0.03820255209185027,-0.05223415030453,-0.02223821491451844,-0.009335577015785461,114,0.711,0.362,0.858,0.221,2
32,TR633,-0.036779123229186104,-0.053064947325883335,-0.025098725285853503,-0.008352512805194022,119,0.689,0.45,0.817,0.253,2
33,TR711,-0.03678439842401641,-0.044353196575933465,-0.02391450734228299,-0.012769291240604844,119,0.756,0.55,0.178,0.074,1
34,TR712,-0.0391012381124294,-0.049142332143429425,-0.024061667201953435,-0.013842905670590598,120,0.758,0.582,0.823,0.363,2
35,TR713,-0.04172670964479976,-0.05690946900905911,-0.031402246517752794,-0.014931091700399633,115,0.791,0.161,0.97,0.124,1
36,TR714,-0.044609306626404624,-0.05680276706103804,-0.030826139399539584,-0.016872462915988297,113,0.832,0.108,0.77,0.069,1
37,TR715,-0.03663618717493344,-0.04621113242260265,-0.02506269869703376,-0.011643051784077,114,0.746,0.924,0.958,0.66,4
38,TR721,-0.03820611570628902,-0.05211021346206268,-0.027409524701654017,-0.013222481634887817,120,0.783,0.856,0.99,0.664,4
39,TR722,-0.031053038844415407,-0.04263045374384632,-0.020606527712498487,-0.0092932902894322,119,0.672,1.0,0.934,0.628,4
40,TR723,-0.03521304927024254,-0.04504975924066382,-0.02411400872050176,-0.014858064552118466,117,0.812,0.674,0.99,0.542,3
41,TR811,-0.03410303642100738,-0.04780250977544057,-0.027111838415936642,-0.013984978503545721,120,0.808,1.0,0.89,0.719,4
42,TR812,-0.02920125443815892,-0.03873013705646021,-0.02433119635148277,-0.012915247275439924,119,0.773,0.426,0.953,0.314,2
43,TR813,-0.03546782764945508,-0.0479538962650398,-0.027234287117590874,-0.014678735186976415,120,0.775,0.969,0.995,0.747,4
44,TR821,-0.03386433389775155,-0.04592620093733772,-0.023500329493600494,-0.012094477666592844,121,0.752,0.382,0.983,0.282,2
45,TR822,-0.03765324135094083,-0.046754765673137744,-0.026820982935621223,-0.014831082460968086,120,0.817,0.181,0.089,0.013,1
46,TR823,-0.03755288081067007,-0.05236900973455353,-0.03266688947839492,-0.008992822850365232,118,0.695,0.069,0.297,0.014,1
47,TR831,-0.03479303148695449,-0.0482703133865052,-0.028698448626699513,-0.01118460062080277,121,0.744,1.0,0.929,0.691,4
48,TR832,-0.03469072269685592,-0.04196953938640571,-0.028236909564816608,-0.01259744444309003,116,0.759,0.594,0.902,0.407,3
49,TR833,-0.03289951933813326,-0.043350642044472955,-0.02140554238726279,-0.01113295197111465,125,0.72,1.0,0.878,0.632,4
50,TR834,-0.03298166075759207,-0.04092363781267324,-0.024227396485720032,-0.01405056883197035,123,0.764,1.0,0.514,0.393,2
51,TR901,-0.03208962296191122,-0.03660166497594736,-0.024481099239498233,-0.012060072887319969,119,0.748,0.728,0.905,0.493,3
52,TR902,-0.03914436290424754,-0.04774800191508212,-0.028676612244702714,-0.016620442869538885,106,0.84,0.577,0.851,0.412,3
53,TR903,-0.03145226809646929,-0.04098972859729244,-0.024644232072967003,-0.01205140274767252,123,0.748,0.411,0.412,0.127,1
54,TR904,-0.027342470074691816,-0.034915167349976045,-0.020754529055419097,-0.009464262779334263,128,0.68,0.478,0.479,0.156,1
55,TR905,-0.028293763020007162,-0.04196861031535969,-0.02156072794040561,-0.010084659998914662,122,0.713,1.0,1.0,0.713,4
56,TR906,-0.03092186799675873,-0.03863836013260586,-0.02371452050939597,-0.013454799254472856,124,0.782,0.677,0.525,0.278,2
57,TRA11,-0.03537532381041337,-0.04680502007979979,-0.024593283739931186,-0.009297530384938158,113,0.717,0.515,0.178,0.066,1
58,TRA12,-0.03485406213373006,-0.04457036722711228,-0.022213354527715223,-0.009133142672827195,118,0.653,0.443,0.629,0.182,1
59,TRA13,-0.03633057480790793,-0.04750669254512316,-0.024400067064351123,-0.011145941798464062,114,0.737,0.396,0.01,0.003,1
60,TRA21,-0.03298027851416982,-0.04666577345021973,-0.025508385194665882,-0.010164721385158757,121,0.702,0.328,0.947,0.218,2
61,TRA22,-0.032850452041492416,-0.0443790373510326,-0.023377304795791143,-0.0109581096016685,119,0.714,0.074,0.777,0.041,1
62,TRA23,-0.03211566619349121,-0.04403785431662184,-0.0246666200456759,-0.01375375230186969,118,0.78,1.0,0.965,0.753,4
63,TRA24,-0.03336838418676492,-0.041804878556339596,-0.02073471994802027,-0.009878267262924949,117,0.675,1.0,0.901,0.608,4
64,TRB11,-0.0383367412900361,-0.05773880622509802,-0.023251570122565193,-0.007421754099337041,117,0.684,0.871,0.486,0.29,2
65,TRB12,-0.04600868768915507,-0.06477152636812258,-0.023833477457767163,-0.012444945646791833,105,0.771,0.596,0.326,0.15,1
66,TRB13,-0.038975525016921815,-0.05434885818962475,-0.020996975562866355,-0.010614992749622099,111,0.721,0.682,0.998,0.491,3
67,TRB14,-0.03989876539567157,-0.060352547773380706,-0.02469016142109442,-0.010025628034685576,115,0.704,0.897,0.939,0.593,3
68,TRB21,-0.036215432313485986,-0.050158443030267084,-0.028046748359723834,-0.012167093561771394,111,0.757,0.515,0.996,0.388,2
69,TRB22,-0.04022518234841168,-0.055753751386151976,-0.024391338329549338,-0.0106282587221362,110,0.709,0.593,0.899,0.378,2
70,TRB23,-0.037845254197302204,-0.05637495743185691,-0.02234623377945214,-0.009297116055157928,113,0.69,0.582,0.979,0.393,2
71,TRB24,-0.04350436718726289,-0.0656001183407288,-0.03384228060413055,-0.013210697990631803,109,0.771,0.486,0.948,0.355,2
72,TRC11,-0.04135055457829948,-0.05830258720890524,-0.02177069681198661,-0.0068158404311182775,114,0.632,0.7,0.997,0.441,3
73,TRC12,-0.03694229546047877,-0.05128721883584386,-0.01980030765557024,-0.008460497571614586,116,0.655,0.668,0.935,0.409,3
74,TRC13,-0.03857193506925907,-0.05462396101312342,-0.018434443597892407,-0.006631331898001615,123,0.61,0.023,0.644,0.009,1
75,TRC21,-0.037006747683661405,-0.056491609504547194,-0.020460547811675514,-0.006313092297796738,124,0.589,0.056,0.145,0.005,1
76,TRC22,-0.04513509647735431,-0.07116334320657615,-0.022945436352227892,-0.00796945215269309,110,0.655,0.066,0.655,0.028,1
77,TRC31,-0.05326240835920172,-0.07912703579644985,-0.03377013122283072,-0.009488343572919887,106,0.717,0.391,0.119,0.033,1
78,TRC32,-0.043020927919913694,-0.06781653279302957,-0.02791999839629698,-0.008793744884712325,110,0.691,1.0,0.922,0.637,4
79,TRC33,-0.05119452731732821,-0.07611971943579915,-0.031617237346137486,-0.00908596114297524,101,0.713,0.9,0.673,0.432,3
80,TRC34,-0.04261915573174718,-0.06355962085384947,-0.025315820979200543,-0.008813172197883481,110,0.664,0.497,0.986,0.325,2
