,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,UKF11,-0.07125621395515808,-0.09304375196726472,-0.05602769908718916,-0.02675480012590493,121,0.744,0.086,0.568,0.036,1
1,UKF12,-0.07359843204183657,-0.09279120282378497,-0.058783600325821354,-0.027151778441487924,119,0.731,0.707,0.664,0.343,2
2,UKF13,-0.06519124051584646,-0.08570323214582301,-0.05313579176251518,-0.025074598563424446,125,0.744,1.0,0.658,0.49,3
3,UKF14,-0.08061093743511867,-0.10553930844658523,-0.06614484775503182,-0.03161018407018751,116,0.776,0.182,0.902,0.127,1
4,UKF15,-0.08013363001774751,-0.10231043208278302,-0.06516108187140865,-0.029793673345503043,115,0.791,1.0,0.752,0.595,3
5,UKF16,-0.07981836489530468,-0.10567565455493146,-0.06258947992956168,-0.030893004955111127,113,0.77,0.258,0.874,0.174,1
6,UKF21,-0.0793936595875654,-0.10429362880886427,-0.060595567867036015,-0.03670360110803324,117,0.786,0.204,0.87,0.139,1
7,UKF22,-0.07896169875780229,-0.09826778950598838,-0.05879090852803329,-0.02821332331903874,116,0.75,0.798,0.752,0.45,3
8,UKF24,-0.08008484236891354,-0.10630996287436326,-0.057035861952283474,-0.027834198319099078,113,0.752,0.039,0.578,0.017,1
9,UKF25,-0.07904210944748565,-0.10549011713330828,-0.059299932866281845,-0.03234442421222636,115,0.765,0.906,0.506,0.351,2
10,UKF30,-0.0805267062070901,-0.10229099986572997,-0.0613107635783475,-0.026752839532442944,116,0.741,1.0,0.659,0.488,3
11,UKG11,-0.07172697955707884,-0.09399466480974929,-0.05605282102637203,-0.0298074884560295,123,0.789,0.947,0.751,0.561,3
12,UKG12,-0.08145332088188591,-0.10532860273064565,-0.06025188963256889,-0.032621767370349566,115,0.791,1.0,0.752,0.595,3
13,UKG13,-0.0734434531850503,-0.09290863577666714,-0.05609286300913911,-0.02469435076577254,118,0.712,0.358,0.659,0.168,1
14,UKG21,-0.0713721408378309,-0.09475713184271395,-0.057363145720894376,-0.02725520431765611,120,0.733,0.17,0.893,0.111,1
15,UKG22,-0.0737910991306487,-0.10104390303452934,-0.05655660425000099,-0.029502051402080516,118,0.763,0.174,0.899,0.119,1
16,UKG23,-0.06933663489661662,-0.09910860097985849,-0.05511703864997279,-0.02589139902014154,118,0.729,0.419,0.883,0.27,2
17,UKG24,-0.06361665418584092,-0.086213390765492,-0.05210551326734173,-0.02093806130630471,125,0.672,0.593,0.842,0.336,2
18,UKG31,-0.07276798946679316,-0.0944345635553939,-0.05880691604009927,-0.02875210279275538,122,0.754,0.709,0.683,0.365,2
19,UKG32,-0.07764080761406415,-0.10080230405266406,-0.06017280394980455,-0.02941781526434891,117,0.786,0.406,0.75,0.239,2
20,UKG33,-0.08261858383785206,-0.0975267175572519,-0.06015267175572518,-0.03045801526717557,116,0.75,0.367,0.751,0.207,2
21,UKG36,-0.08150228101027093,-0.10587583148558757,-0.06252771618625277,-0.0320029563932003,116,0.784,0.822,0.796,0.513,3
