NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
UKC11,,,,,0,0.0,0.041,0.425,0.0,0
UKC12,-0.6336392872669057,-0.750463783465904,-0.35538741680485764,-0.17685130438476154,20,1.0,0.846,0.755,0.639,4
UKC13,-31.24810823818568,-31.24810823818568,-31.24810823818568,-31.24810823818568,1,1.0,1.0,0.511,0.511,3
UKC14,,,,,0,0.0,0.224,0.901,0.0,0
UKC21,-0.01784635564790516,-0.018974609293239283,-0.014643837429206436,-0.005945579702998838,18,0.111,0.373,0.989,0.041,1
UKC22,-22.590598296139095,-22.590598296139095,-22.590598296139095,-22.590598296139095,1,1.0,0.384,0.948,0.364,2
UKC23,-0.03643536456941542,-0.050960059640004676,-0.025896002996504505,-0.011943283228619976,103,0.311,0.486,0.837,0.127,1
UKD11,-0.03505267635420952,-0.05037609455966092,-0.03177203770932228,-0.015297045692860646,56,0.321,1.0,0.873,0.28,2
UKD12,,,,,0,0.0,0.029,0.26,0.0,0
UKD33,-0.13890390621159243,-0.22211699147998062,-0.1513350854969679,-0.03004264727225162,64,0.703,1.0,0.991,0.697,4
UKD34,-0.17530569740488278,-0.26258547177078917,-0.22672423565955668,-0.025879400964281853,61,0.689,1.0,0.738,0.508,3
UKD35,-19.563563983653207,-19.563563983653207,-19.563563983653207,-19.563563983653207,1,1.0,1.0,0.955,0.955,5
UKD36,-22.853652503685883,-22.853652503685883,-22.853652503685883,-22.853652503685883,1,1.0,0.354,0.994,0.352,2
UKD37,-0.08482857840051472,-0.12918913565073914,-0.06483769165445713,-0.022638909990608753,82,0.622,0.192,0.93,0.111,1
UKD41,-1.0726181058474569,-0.670532878233571,-0.5890810546817065,-0.3495021134343161,13,0.923,0.094,0.561,0.049,1
UKD42,-33.59551012003616,-33.59551012003616,-33.59551012003616,-33.59551012003616,1,1.0,0.093,0.834,0.078,1
UKD44,-0.012097568716581249,-0.016027268728014226,-0.010971488510624662,-0.007604828602169978,3,0.0,0.157,0.855,0.0,0
UKD45,-0.06642066017448957,-0.1092943013117185,-0.053529002505164375,-0.014785137595433524,78,0.513,0.141,0.728,0.053,1
UKD46,-0.46860980540223773,-0.5789097056539796,-0.30585757952896403,-0.2489537147842536,25,0.92,0.739,0.725,0.493,3
UKD47,-0.027961339897977697,-0.042501693169156224,-0.021227154746359705,-0.009523530236952429,72,0.25,0.324,0.989,0.08,1
UKD61,-0.05258920813644644,-0.08411457498591021,-0.03243706404377222,-0.010226441859445419,94,0.394,0.314,0.983,0.122,1
UKD62,-0.01582158126753078,-0.023107840653012787,-0.014025279386056765,-0.0065452351176430905,40,0.05,0.68,0.977,0.033,1
UKD63,-0.01857827984440682,-0.027338358698654475,-0.016479670566877318,-0.007223458039930163,43,0.07,0.48,0.985,0.033,1
UKD71,,,,,0,0.0,0.66,0.954,0.0,0
UKD72,-0.030275423738496936,-0.04347293203909524,-0.023204717886704383,-0.008004516386506186,81,0.272,0.254,0.926,0.064,1
UKD73,-0.03481405805988424,-0.05132618687306045,-0.029883796809034528,-0.011782466046772647,58,0.328,0.16,0.711,0.037,1
UKD74,-32.03171728338482,-32.03171728338482,-32.03171728338482,-32.03171728338482,1,1.0,0.11,0.412,0.045,1
UKE11,-30.03222827042855,-30.03222827042855,-30.03222827042855,-30.03222827042855,1,1.0,0.314,0.989,0.311,2
UKE12,-0.007250047135879753,-0.009593238665333782,-0.00808103159005882,-0.005737840060604793,4,0.0,1.0,0.944,0.0,0
UKE13,-0.024522485862911187,-0.03380430908598638,-0.019471680048886365,-0.009203934124147875,89,0.169,0.276,0.859,0.04,1
UKE21,-30.37943928379312,-30.37943928379312,-30.37943928379312,-30.37943928379312,1,1.0,0.927,0.968,0.897,5
UKE22,,,,,0,0.0,0.137,0.907,0.0,0
UKE31,-0.016821986727631518,-0.024487661679926026,-0.012100189679929032,-0.005673993490803475,64,0.078,0.093,0.956,0.007,1
UKE32,-0.008105421285116111,-0.012801177873717023,-0.006793799868821978,-0.0020257880157956362,6,0.0,0.092,0.924,0.0,0
UKE41,-0.5384139179699128,-0.549474796936964,-0.2788189714197421,-0.2266578304123517,23,0.913,0.103,0.289,0.027,1
UKE42,-0.03488300647237477,-0.05640487769761658,-0.028678501152507124,-0.012163597742506574,81,0.296,0.514,0.804,0.122,1
