NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL031,-0.04155818101319772,-0.05335743362253828,-0.030483439611339813,-0.010334411704096916,108,0.722
AL032,-0.047868254068066975,-0.06868272633651454,-0.03536472211933986,-0.015594680398834857,106,0.774
AL035,-0.04298819617111538,-0.055494776805069104,-0.031898682561310045,-0.013686268807815608,104,0.75
AL022,-0.041870968969706976,-0.057585052366578265,-0.030033667376766715,-0.011610988064826225,107,0.71
AL034,-0.04059327061486583,-0.056808760617353925,-0.031011108564432382,-0.011375337868003871,107,0.729
AL014,-0.04457758007527,-0.06263272563243433,-0.030299810027622904,-0.012264969169327516,108,0.731
AL033,-0.051251717712297,-0.0708477856781981,-0.03462137446563291,-0.014176906631291012,107,0.757
AL013,-0.05645923647488375,-0.07620329027910634,-0.042798063834828,-0.017176355062248353,100,0.85
AL015,-0.05394723760760705,-0.0768914042813884,-0.040716050244302096,-0.01640662167941567,108,0.787
AL011,-0.052301602409911996,-0.0697875185065615,-0.04362268722926027,-0.017351215709869926,102,0.794
AL012,-0.05152487766197764,-0.06451321381339668,-0.037910057119891774,-0.01612482931844669,106,0.783
AL021,-0.050962726299399796,-0.06929844787538106,-0.03960723825874812,-0.01832696977622708,105,0.771
