NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL011,-0.04363877235037903,-0.05662906604465443,-0.03263664080855334,-0.018294158099702473,111,0.577
AL012,-33.250609557888026,-33.250609557888026,-33.250609557888026,-33.250609557888026,1,1.0
AL013,-0.016177727309595994,-0.022029973680484913,-0.012570234403804002,-0.0049516936919353684,47,0.213
AL014,-10.166139339138404,-13.24195968524316,-10.166139339138404,-7.09031899303365,2,1.0
AL015,,,,,0,0.0
AL021,-0.048271275189080295,-0.06556289137208927,-0.03586701691072387,-0.016353705502812656,113,0.619
AL022,-0.06160464788842221,-0.0783092334949326,-0.048875478424654076,-0.02547732997565619,110,0.745
AL031,-1.031987747352647,-1.4606735916731366,-0.624294505369508,-0.3382021715300283,15,0.933
AL032,-0.07936296778959792,-0.09836591369557128,-0.06400056392520001,-0.03820223618600879,90,0.811
AL033,-0.026195172464367394,-0.029975894370773186,-0.021631563039088367,-0.011250243699358217,63,0.365
AL034,-0.051734912830612184,-0.0720889435146331,-0.03230448798092188,-0.015058640181759056,94,0.606
AL035,-0.19419906550837895,-0.26534461341612653,-0.1256760938395447,-0.05729458697203062,53,0.83
