NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AT313,-0.03766196490755174,-0.055556735673070484,-0.03234271154671747,-0.013328381499713878,103,0.777
AT321,-0.03807440594647146,-0.05349810352644177,-0.03053376596509063,-0.01306375111800643,104,0.788
AT224,-0.0363606463599519,-0.0544546547761561,-0.02880598872180469,-0.012026433476945101,108,0.759
AT225,-0.025151713950973723,-0.03942790199524362,-0.019004369153926306,-0.008414006974034029,114,0.675
AT322,-0.03688987901691378,-0.04965265272799585,-0.031540848023483836,-0.011777056315726057,100,0.77
AT323,-0.03206037831918434,-0.0460090172210583,-0.02561720936832788,-0.010993910633117108,109,0.752
AT314,-0.027484046332012926,-0.039385815447349384,-0.021616483442878042,-0.009902325092225025,118,0.695
AT315,-0.03588328127099066,-0.05164344063473811,-0.028683714604357625,-0.014457068559644414,102,0.804
AT331,-0.03593504287366339,-0.05289549377689713,-0.028011117723426605,-0.013025448776763614,105,0.8
AT332,-0.034777833076268375,-0.05346248227928056,-0.029455370135826626,-0.011014297641504795,104,0.76
AT333,-0.03665836434080912,-0.052902303710521556,-0.029928794675003617,-0.010281361975874722,107,0.738
AT334,-0.03073445448328533,-0.03892138642745905,-0.023547896010259126,-0.012602888172076518,116,0.776
AT223,-0.02718264400165034,-0.03526714559116281,-0.022348729657527218,-0.01114279042847288,114,0.754
AT123,-0.03159403528877656,-0.046477439320103134,-0.02619415811401915,-0.010800654261835543,115,0.748
AT226,-0.036161921080161655,-0.054473301960412016,-0.026663864466824522,-0.012257547254866222,103,0.796
AT311,-0.025019417271451645,-0.037158641266332226,-0.016162924306530803,-0.008693476070275725,112,0.679
AT121,-0.028958839571179142,-0.04121940045565169,-0.025960508942707107,-0.008429136876350319,112,0.714
AT122,-0.03642688380605789,-0.05491460081929431,-0.026663319116570806,-0.013348421219310808,102,0.833
AT124,-0.03440567541324532,-0.05215360221292789,-0.025878454582309043,-0.011632116422107281,108,0.769
AT312,-0.028012069375072068,-0.043473161459519,-0.021095410936902245,-0.0083337247033728,117,0.709
AT335,-0.026875286836922876,-0.037715359569823075,-0.020857979782478317,-0.013547268798935093,106,0.811
AT341,-0.02500097532768869,-0.03890691988514222,-0.016518691791464812,-0.009903839187023186,114,0.711
AT342,-0.027707427346853244,-0.03739954205585306,-0.01993577092126356,-0.010877943385094036,102,0.745
AT111,-0.02492732939827485,-0.03852779691437932,-0.017254825110712465,-0.009299876367518915,110,0.691
AT112,-0.02712265719160454,-0.03588854951878511,-0.017790128811891032,-0.010515501418536983,112,0.741
AT113,-0.024952801025107486,-0.03458032314864185,-0.018423932833859312,-0.009179799759206287,122,0.721
AT127,-0.027467492433382767,-0.03891319373239635,-0.01873628808538442,-0.011137760060662166,115,0.748
AT213,-0.02356958717339814,-0.03152772132604128,-0.016908188273245257,-0.008115421158216726,117,0.684
AT221,-0.028194220181980183,-0.03510210038946008,-0.021618112942286407,-0.00974154015948647,109,0.716
AT222,-0.027853004357133233,-0.03205512799366901,-0.020475788502248904,-0.010151316120088263,112,0.732
AT130,-0.025445118216116124,-0.032725482531434806,-0.018384146325695776,-0.010710701588288263,118,0.737
AT212,-0.02792323619198829,-0.034893073612031075,-0.0208105175737044,-0.008445030491247656,114,0.711
AT126,-0.026240783281783326,-0.03402976871661296,-0.017932063554779356,-0.008131890181289047,115,0.678
AT125,-0.02701659261312418,-0.037446604976132836,-0.020689742019059633,-0.010294556842242451,112,0.723
AT211,-0.025014605816229094,-0.03470216124137587,-0.020127635165300514,-0.009599462138423963,115,0.704
