NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AT313,-0.033107840188195674,-0.04304662382744938,-0.021434991483325075,-0.010375307341086989,113,0.752
AT321,-0.030981916503628724,-0.039770220145584415,-0.021745834479967766,-0.011459371985656431,117,0.778
AT224,-0.03326999283627426,-0.04418738142941382,-0.02249342443238912,-0.008396524981616721,111,0.694
AT225,-0.020509079719713462,-0.03028964724147303,-0.015575635649625743,-0.006644416466922841,119,0.63
AT322,-0.029250651742102438,-0.0405341834466361,-0.020754540862469834,-0.010970095193776048,110,0.755
AT323,-0.024378588549696132,-0.03620946336938916,-0.018767400693683732,-0.007504361069756505,122,0.672
AT314,-0.025511604469205845,-0.035040550865522865,-0.01798341224032239,-0.0097963500130284,118,0.72
AT315,-0.02799148903131044,-0.03801361258090498,-0.020308212988195032,-0.010447596774502896,112,0.759
AT331,-0.029227176270475684,-0.037630153525818374,-0.020889097679342928,-0.011813807245269311,111,0.802
AT332,-0.0288084373735823,-0.038072170074797775,-0.02149970897916773,-0.010827860965701971,114,0.772
AT333,-0.03269735282219469,-0.041780679789399186,-0.023212085903715124,-0.01313561526149955,111,0.793
AT334,-0.03523059956578682,-0.04859910376212958,-0.02447692865244338,-0.009983354779070985,116,0.741
AT223,-0.03064582827466649,-0.043170830280835515,-0.02314855239922414,-0.010040370182897282,113,0.743
AT123,-0.032547608185088596,-0.0424308796125177,-0.023276508775456436,-0.011375406299680623,114,0.754
AT226,-0.03474157709398406,-0.046816811907324896,-0.022045931964926452,-0.010145668807658593,109,0.734
AT311,-0.01969496510168345,-0.028183574669500847,-0.015003171836042339,-0.007343070002167917,112,0.625
AT121,-0.026662036802813316,-0.03727321940118049,-0.020532005041148285,-0.009967373223558323,109,0.734
AT122,-0.03717868206877246,-0.051317668206004766,-0.024232134905134452,-0.011014010921350955,104,0.769
AT124,-0.03229511367839272,-0.04574703485726499,-0.021935579253339957,-0.010570250183175664,110,0.755
AT312,-0.025111524910907707,-0.032199746645210664,-0.018915948894466454,-0.0095448035549596,119,0.723
AT335,-0.020090027223357006,-0.028270154388339335,-0.016840881987512605,-0.008003167940053997,121,0.661
AT341,-0.01977271146477958,-0.028273605021193096,-0.014880885204204327,-0.007849261595066097,119,0.647
AT342,-0.02298475592173226,-0.032289758891988964,-0.015532950741648937,-0.008244493830864516,120,0.65
AT111,-0.020168106364477818,-0.03039634279497572,-0.01463007370299279,-0.00567354883566196,125,0.632
AT112,-0.020658686735445454,-0.02929509866514866,-0.015271670718554895,-0.007381499225963333,121,0.653
AT113,-0.023209847846337388,-0.032886852450380276,-0.016322457111179668,-0.009558221504024213,120,0.725
AT127,-0.021898911763931623,-0.029216327333210113,-0.016238573381476072,-0.009612815657562232,119,0.714
AT213,-0.019458378374771275,-0.027458719478953553,-0.015929347586825023,-0.0073549828686393145,125,0.616
AT221,-0.021339929286726875,-0.027575410750236264,-0.01782659119127638,-0.007673770245002775,114,0.719
AT222,-0.021262463566201026,-0.02925922244342026,-0.018035018356099386,-0.01030631958271107,117,0.735
AT130,-0.022934361608868598,-0.031343046782436476,-0.017048444780028503,-0.009386598225969822,118,0.72
AT212,-0.022322979712582083,-0.027837709186632066,-0.01858453501424441,-0.009908603393956805,115,0.739
AT126,-0.020897199434932127,-0.030297374369317683,-0.015674935438154528,-0.008460427605474715,117,0.658
AT125,-0.025125364518632873,-0.032994310980800697,-0.021008333267540712,-0.011464437942819414,107,0.766
AT211,-0.026431726473198712,-0.03539179292489525,-0.020245034401368205,-0.011192146870459876,108,0.769
