NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
BE353,-0.023314231539228646,-0.02933411358628546,-0.018103289721841675,-0.008746388596112518,119,0.63
BE211,-0.02700666411110322,-0.03543622621639078,-0.021707727492813772,-0.009610739289096273,118,0.695
BE335,-0.02466036299031548,-0.03359634993108086,-0.019359123797697782,-0.00872767424885023,116,0.664
BE336,-0.024979572199254906,-0.03414293130014112,-0.018626197512824245,-0.0077086519478218665,119,0.639
BE251,-0.02809537860184621,-0.037847598232634894,-0.019690321756772964,-0.011034211756120434,120,0.725
BE334,-0.025539060088066272,-0.03436569486685795,-0.017116722360707277,-0.00823452413857806,122,0.656
BE100,-0.02572745394855678,-0.03743502584285979,-0.018227959828134247,-0.008065025840754745,124,0.677
BE212,-0.02565334799378253,-0.03421386131706232,-0.019301635508977285,-0.00893295027343324,117,0.667
BE213,-0.026785106855271138,-0.03552225614201161,-0.022003797536987304,-0.010695645305512383,120,0.733
BE224,-0.028652192798002303,-0.03741768217974299,-0.02270296223470263,-0.010188951916850257,117,0.735
BE225,-0.02623523640349037,-0.03303815230628232,-0.02102662976613777,-0.009060464455800117,117,0.684
BE223,-0.027679137823038685,-0.03571023955213828,-0.022078612071211555,-0.009450378766672358,117,0.701
BE253,-0.027552510759437283,-0.03753737244256164,-0.02112416100436067,-0.010730795726950204,114,0.719
BE254,-0.02675822478000069,-0.03767717329677815,-0.019882301894000875,-0.008930003410010445,119,0.689
BE255,-0.024346349351241248,-0.03230763813929436,-0.018773919581788198,-0.008434433204444189,119,0.664
BE256,-0.025656360496316484,-0.033817254968606464,-0.021023286370456085,-0.00990168382407142,116,0.716
BE257,-0.026709333491299198,-0.03653416361589983,-0.021508083134394368,-0.011207741298950821,117,0.744
BE258,-0.027278613779683932,-0.038599462270903696,-0.02184351286049544,-0.010988997310452366,116,0.741
BE343,-0.02761004117093829,-0.0374776702574612,-0.022332546230347833,-0.011635188852717838,116,0.75
BE233,-0.028167405543295457,-0.0380575408683936,-0.023181115383275375,-0.011541873031978104,113,0.735
BE234,-0.026043759675946798,-0.034965716301031916,-0.02201917063876809,-0.010675836955701228,114,0.737
BE235,-0.027282840068793113,-0.0358089546722728,-0.02236566180021754,-0.01047382282943566,113,0.735
BE236,-0.026694248216704273,-0.03623250687818611,-0.020476110379008292,-0.011123346414409489,114,0.719
BE344,-0.024791630157025114,-0.03440201075933664,-0.017863152176117655,-0.009603411588507462,114,0.675
BE345,-0.026095917824675654,-0.03331650338971662,-0.019840164324852857,-0.009030557323475685,118,0.669
BE341,-0.02634515133919407,-0.03417821865792019,-0.021915360891555043,-0.01001025630521012,119,0.706
BE32D,-0.026094532411956913,-0.033083875539107424,-0.019377958043924563,-0.009270459012891176,118,0.695
BE331,-0.02346502439628864,-0.03322560031868694,-0.018818254124248784,-0.007526423328848831,117,0.641
BE332,-0.02302885169019336,-0.029356144322925392,-0.016571648439891555,-0.009209919246160988,120,0.65
BE232,-0.02544735920175621,-0.03178833886766992,-0.017291128210405456,-0.008485024321462368,115,0.687
BE310,-0.025873518651166355,-0.03360273891990587,-0.01887923672993724,-0.009570723271462463,115,0.687
BE32A,-0.024726884066602627,-0.032566791021644045,-0.01793403233751758,-0.008921203811884505,121,0.678
BE32B,-0.02369224220850989,-0.030291661078056323,-0.01722228912077877,-0.008221178049350754,127,0.614
BE323,-0.026317657493518085,-0.03413250547343273,-0.0176582859829315,-0.010023036917209205,120,0.692
BE252,-0.022660880962516804,-0.02963853126269847,-0.015577414809671687,-0.00725994794814112,121,0.62
BE32C,-0.022660880962516804,-0.02963853126269847,-0.015577414809671687,-0.00725994794814112,121,0.62
BE231,-0.027160077316262063,-0.03251932472199727,-0.021672107380573777,-0.008536156672297356,121,0.669
BE328,-0.023547805139523297,-0.029578083639597852,-0.01696264689364075,-0.009092073843795748,118,0.636
BE351,-0.024031456896505304,-0.030218033127808942,-0.017439728678583358,-0.008932120726051849,117,0.658
BE352,-0.024607162500028788,-0.03222298062980534,-0.018393518503233775,-0.009230711234048011,117,0.667
BE241,-0.027312466762425956,-0.035315228447069996,-0.021086826632816483,-0.009834060675258265,117,0.684
BE242,-0.02482758205281723,-0.03332020923404286,-0.01664475960433766,-0.009430839220425119,115,0.696
BE342,-0.023777831580058764,-0.029886313946173304,-0.01817147451026495,-0.009696325966531225,119,0.689
BE329,-0.02544190359394654,-0.032110800194658125,-0.017979291874666674,-0.008145941290891594,114,0.711
