NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
BE100,-0.07372747441674063,-0.13672477660653237,-0.042970971020005466,-0.015221225672961322,94,0.574
BE211,-0.07332242734480282,-0.13541708617973575,-0.03579179516188638,-0.009089359026084771,96,0.552
BE212,-0.08015215722811161,-0.14420163653248627,-0.04175045131453589,-0.013836829401758212,86,0.547
BE213,-0.08339500690365696,-0.15640658429973958,-0.03720071287548647,-0.011605318273575908,88,0.545
BE223,-24.337069166243943,-24.337069166243943,-24.337069166243943,-24.337069166243943,1,1.0
BE224,-0.05614893609043899,-0.08482164056576258,-0.04406859412433525,-0.01796561164047871,66,0.606
BE225,-0.01649153224733602,-0.022946263205158603,-0.014515615974731243,-0.004380016198258247,30,0.167
BE231,-0.07545402885598934,-0.13360513135110122,-0.04609593859599255,-0.014195013416115553,89,0.607
BE232,-0.07734527264896789,-0.14071005368173622,-0.040391434457984945,-0.009547655791127095,86,0.547
BE233,-0.06645518001128446,-0.12151849661074789,-0.03477298276957787,-0.01337443537060947,89,0.528
BE234,-0.07799675226086829,-0.1472672647575501,-0.042439540863686134,-0.013241588707582365,84,0.583
BE235,-0.07147493922249684,-0.13172367486078618,-0.05142996510214649,-0.011764829158925395,87,0.586
BE236,-0.08533780384310827,-0.15336454133804145,-0.061675217470928294,-0.011594725386440238,79,0.57
BE241,-0.07446381604885405,-0.13418514315442506,-0.04362509099313298,-0.009511043400081935,88,0.557
BE242,-0.08237251540730002,-0.1541480719003412,-0.0417589639035093,-0.011052155971705734,87,0.552
BE251,-0.06133700511396802,-0.10730797448068755,-0.031440536600576344,-0.008817547406603742,95,0.516
BE252,-0.06015483609228715,-0.11234628320074672,-0.030268425793968434,-0.010707240595273268,94,0.511
BE253,-0.056617278801402784,-0.0924923660513937,-0.03624991603796,-0.01455887759950677,99,0.556
BE254,-0.06257728889507844,-0.11438575682701384,-0.036306114325606376,-0.014005389224775793,92,0.543
BE255,-0.07731750116974431,-0.13083502457972668,-0.049115301916333426,-0.0227370299892155,94,0.691
BE256,-0.06325702769051747,-0.11396215207648777,-0.03979708581954401,-0.009527235569510746,90,0.533
BE257,-0.07293304021988654,-0.13904072453299463,-0.04861755930352116,-0.015024562112476152,84,0.619
BE258,-0.06162677248029275,-0.10752362712886837,-0.038818964919827066,-0.013522868908015906,81,0.58
BE310,-0.06992332717196358,-0.1250747001844419,-0.04172228032390836,-0.017466677922662887,88,0.591
BE323,-21.38056903746309,-21.38056903746309,-21.38056903746309,-21.38056903746309,1,1.0
BE328,-0.017894324063438678,-0.028468517323817902,-0.011448732124838806,-0.006709011034311801,29,0.241
BE329,-0.06961875682945445,-0.12702957855855482,-0.04110619320511821,-0.008111934250950503,79,0.582
BE32A,-0.07300409980438623,-0.1375903718930921,-0.04724723702800523,-0.012722968303058779,85,0.588
BE32B,-20.60076022258465,-20.60076022258465,-20.60076022258465,-20.60076022258465,1,1.0
BE32C,-0.03790379730402451,-0.061062987347573996,-0.03259115028375659,-0.008173800967654547,76,0.513
BE32D,-1.9950923455444014,-2.7822331741777053,-1.688767001097484,-0.9138458526960352,9,1.0
BE331,-0.04771101072999262,-0.08176941534074227,-0.03019727862319427,-0.011996673337779637,74,0.514
BE332,-0.01574042889121005,-0.025719787652727154,-0.010120688603004696,-0.003809760506133808,17,0.176
BE334,-24.655837698985604,-24.655837698985604,-24.655837698985604,-24.655837698985604,1,1.0
BE335,-0.08861742596285353,-0.1682428886229975,-0.05163710051542189,-0.017319603826412698,80,0.575
BE336,-0.01104253352300102,-0.016168088939662022,-0.009016704447609712,-0.0076931489446015145,5,0.0
BE341,-22.877273734656796,-22.877273734656796,-22.877273734656796,-22.877273734656796,1,1.0
BE342,-0.014318438894982284,-0.018255094123600806,-0.008292872681670097,-0.0035163930407015823,24,0.208
BE343,-25.333113962269305,-25.333113962269305,-25.333113962269305,-25.333113962269305,1,1.0
BE344,-0.02291664079518737,-0.0356948048631419,-0.015215194878913183,-0.008175559306898766,92,0.315
BE345,-0.03215057820800068,-0.05389385596421626,-0.021951864077142315,-0.010025344176196624,73,0.397
BE351,-0.835689357164426,-1.2625692131867179,-0.6632633444856143,-0.36615600071788923,20,0.95
BE352,-0.03744537017378765,-0.05975021048511493,-0.022482088517758222,-0.008128609581079976,96,0.458
BE353,-0.01875949426752796,-0.02936922357389982,-0.016886484939501137,-0.008365812578933129,13,0.308
