NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
BG311,-0.2815952600426747,-0.3201704043146491,-0.19954215604709996,-0.10644564719169106,50,0.96
BG312,-0.1644084119615649,-0.2371134148266722,-0.11379341095881743,-0.049994170095111055,73,0.849
BG313,-0.06136489715125468,-0.09335742490109591,-0.05077392111147011,-0.019985552094572402,84,0.619
BG314,-0.11114483611021493,-0.1702652477524075,-0.07723096312110153,-0.0409280436648735,92,0.804
BG315,-0.0738704768349537,-0.1129170775511348,-0.05085894169499355,-0.020183991045968505,99,0.616
BG321,-0.10573081964516826,-0.19106922647753935,-0.06092889215680443,-0.023133078432980944,90,0.622
BG322,-0.3192773462093911,-0.36442923423022133,-0.21937516365659182,-0.11020613627228978,45,0.933
BG323,-0.5878638470039759,-0.8828545652178734,-0.48892197189927067,-0.38426355377566845,32,0.875
BG324,-0.5845814662034416,-0.8556835731184282,-0.46175475408779115,-0.3368168279811614,31,0.968
BG325,-0.08452409132620509,-0.14451640289531648,-0.04132483415995186,-0.017368780927279313,96,0.542
BG331,-0.275569198248449,-0.3626646949564627,-0.24553641106593876,-0.11989962723331365,59,0.966
BG332,-0.10843960761628911,-0.18379833178693825,-0.058353234461128764,-0.02551608836368527,98,0.663
BG333,-0.18473631742028962,-0.2511199514951193,-0.1566177403223304,-0.08231291965499143,71,0.93
BG334,-0.24550043742310154,-0.3137069284443805,-0.19713693217792064,-0.1099060455592265,61,0.934
BG341,-0.0934122024908478,-0.16142483787416506,-0.05267071721713197,-0.013386508199939202,85,0.612
BG342,-0.13768998623339485,-0.23086561573608894,-0.09117651595619686,-0.0360461937442445,88,0.773
BG343,-0.09585824015054734,-0.1658969766463379,-0.05508321329094513,-0.01579761063971436,85,0.6
BG344,-0.20433057726621917,-0.3092868983706774,-0.18814256425360143,-0.05147873397220111,67,0.821
BG411,-0.1807531178374876,-0.249914351372823,-0.15238553242457267,-0.05712503578617885,63,0.857
BG412,-0.02050002859612919,-0.027949875912669446,-0.014812665579407787,-0.009077944590510196,43,0.14
BG413,-0.08149672965206253,-0.11953224835727266,-0.0568123498989032,-0.02466844428488083,94,0.691
BG414,-0.13236525504145472,-0.23352309190617143,-0.09082302409550111,-0.027957731147561983,78,0.705
BG415,-0.9442708964882758,-1.0560102253987094,-0.4497933271300098,-0.3360397190396307,20,0.95
BG421,-0.11955292737523224,-0.17928717912528477,-0.08920667704489574,-0.030545702225107458,82,0.732
BG422,-0.09643772599065391,-0.15060298691001459,-0.08266424180213833,-0.018355417810497425,70,0.686
BG423,-0.3698063742417423,-0.49837199739852533,-0.3035091839597842,-0.15253951554373804,39,0.923
BG424,-0.5288705011264562,-0.8729707374580181,-0.4376544049711894,-0.2803453183406821,36,0.806
BG425,-2.7012273188711857,-4.1000221485680965,-2.2333325020581345,-1.6672460578497448,8,1.0
