NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CH052,-0.08250621177132914,-0.10558200936166501,-0.05701450682963573,-0.028955554395288553,114,0.781
CH053,-0.08379945361421194,-0.10655135326991527,-0.06154448250497142,-0.04101459009955304,116,0.853
CH054,-0.0946132805301369,-0.12743105453314973,-0.06982033594116424,-0.032533993536462864,105,0.81
CH051,-0.07192874129879989,-0.0981686027573105,-0.054313113431613776,-0.03117815063463504,115,0.774
CH056,-0.07636429947118888,-0.09633602272183141,-0.05277761361239243,-0.03397964646397106,118,0.839
CH055,-0.07801906862617139,-0.09822104466313399,-0.059661241483724446,-0.03524791824375474,116,0.853
CH064,-0.08027936576426502,-0.10328358301104269,-0.06141315336850106,-0.026857868153499706,113,0.743
CH065,-0.08111999044956836,-0.09707323769825116,-0.05754243028557114,-0.03566153719035294,114,0.842
CH066,-0.07183119317091466,-0.08988941401498621,-0.05195808070022314,-0.029401903040469787,117,0.778
CH023,-0.07801906862617139,-0.09822104466313399,-0.059661241483724446,-0.03524791824375474,116,0.853
CH012,-0.07911218861272161,-0.09908706507659204,-0.062415427168451915,-0.034069865966176296,115,0.783
CH013,-0.07219018430252454,-0.10124441641184645,-0.05870949775711723,-0.02953582606512751,116,0.767
CH024,-0.0837486454320339,-0.10895065167436147,-0.06691470825238878,-0.032651703428819664,111,0.811
CH032,-0.07957155098562782,-0.10115631102180898,-0.06165341284767154,-0.03569012048068784,113,0.805
CH063,-0.07891782760602203,-0.0989639444962704,-0.06672242281426975,-0.034393717282703594,111,0.829
CH057,-0.07891782760602203,-0.0989639444962704,-0.06672242281426975,-0.034393717282703594,111,0.829
CH061,-0.08660144184831718,-0.110716885007278,-0.06605990127207138,-0.03156083212032994,109,0.798
CH062,-0.08657198296706094,-0.12052550577810973,-0.0654488018112109,-0.03126763802781392,126,0.786
CH033,-0.07118188172912945,-0.09177338786287499,-0.04704929027671697,-0.030473988096875276,115,0.817
CH011,-0.06790670577539676,-0.08432822711992752,-0.05043541233954475,-0.02888643500713773,116,0.776
CH025,-0.08103724955183447,-0.10185143225214363,-0.06315618467010675,-0.038789871274726495,123,0.821
CH031,-0.06986712013767345,-0.08549672903960612,-0.05502292635424819,-0.029079341474922853,117,0.786
CH021,-0.06697580405597658,-0.08642965899774321,-0.04729489956279969,-0.025173834176209844,123,0.74
CH040,-0.06858729829816158,-0.08517715775246186,-0.053967947480208535,-0.03060436377679088,123,0.756
CH070,-0.07332730322782188,-0.09586039123454831,-0.05589845571790723,-0.029142494770558743,115,0.8
CH022,-0.09851772851206173,-0.13184004669715663,-0.08253434464796235,-0.03753827912110063,116,0.871
