NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CH052,-0.028840861544670353,-0.038403770984668954,-0.019926024633814182,-0.009964297228901856,112,0.714
CH053,-0.02357962750865625,-0.03371554176056857,-0.016057085228632223,-0.007475875985750595,121,0.669
CH054,-0.029557771987306698,-0.037241821830206294,-0.021408072694156885,-0.011218825305097418,106,0.764
CH051,-0.026373786254350363,-0.03580977679335057,-0.0238154855102359,-0.010725839376408256,111,0.748
CH056,-0.03196938498344739,-0.04674922972101045,-0.025525125496441533,-0.012395439405544096,110,0.764
CH055,-0.02867470823606547,-0.04191818434960839,-0.02326962709000101,-0.009456667166824499,109,0.725
CH064,-0.031115532373608114,-0.03971967600922925,-0.02466218086560712,-0.010395897630564511,103,0.728
CH065,-0.03224384052188795,-0.04490238829807215,-0.02671170131036726,-0.011430723342820793,105,0.762
CH066,-0.030135648085676012,-0.041800959789483956,-0.022617193567082895,-0.010639998524716601,112,0.741
CH023,-0.02867470823606547,-0.04191818434960839,-0.02326962709000101,-0.009456667166824499,109,0.725
CH012,-0.027194972983867527,-0.03616654660734528,-0.02099493739286263,-0.010037881922631659,109,0.725
CH013,-0.02882395358726504,-0.0389715935704982,-0.022963250637153033,-0.012522127938999733,108,0.787
CH024,-0.024384929679127008,-0.032533553006528854,-0.019368941422408286,-0.010536122307156661,112,0.732
CH032,-0.029372080044477396,-0.03984909668851762,-0.02444383411227933,-0.012621608250086947,106,0.783
CH063,-0.027184620926963127,-0.03532901598271586,-0.021242112407405096,-0.011706442842285567,107,0.766
CH057,-0.027184620926963127,-0.03532901598271586,-0.021242112407405096,-0.011706442842285567,107,0.766
CH061,-0.026753111692240525,-0.03514117723855784,-0.02069975692008073,-0.012203463241573093,108,0.769
CH062,-0.027609140518153382,-0.03700482049497616,-0.02076102176321075,-0.0091291819661578,115,0.704
CH033,-0.02785780828315859,-0.03621694679680322,-0.022998339174735476,-0.011943251099202606,109,0.761
CH011,-0.02727937652263039,-0.03963993950665774,-0.02295902289046656,-0.010547820578184531,114,0.746
CH025,-0.02276666288432391,-0.03417449684580957,-0.016900913251426657,-0.00920632950614299,112,0.696
CH031,-0.02633461359176016,-0.036950117641768504,-0.02002512419319674,-0.009279578685954103,113,0.699
CH021,-0.024391853345520194,-0.03383375776499438,-0.020707744368944868,-0.009596440517688086,117,0.692
CH040,-0.0242716810333423,-0.03274324951476873,-0.018632979936072623,-0.00911845449882447,113,0.726
CH070,-0.02759842015364208,-0.03919714518095678,-0.021643545290802896,-0.010733310332496134,112,0.75
CH022,-0.03275759830736947,-0.047400660506863965,-0.022649296478803205,-0.012855784942126114,116,0.784
