NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
DK011,-0.029772795162714867,-0.042992782499429755,-0.019208199769804615,-0.009275298044050239,113,0.69
DK012,-0.029772795162714867,-0.042992782499429755,-0.019208199769804615,-0.009275298044050239,113,0.69
DK013,-0.028491199572107908,-0.03469973248293132,-0.02097241017055135,-0.011311729702509973,114,0.754
DK014,-0.0265452588194191,-0.036903577381573086,-0.02225768664103133,-0.010791327643384521,123,0.748
DK021,-0.033321213740119406,-0.046033219465594466,-0.02158296347208022,-0.010321628728996009,112,0.723
DK022,-0.0265181437623809,-0.035840638175098756,-0.017230620535049458,-0.009023044040764105,118,0.703
DK031,-0.027071851115557315,-0.03457815108361885,-0.017328044452500583,-0.008744738653348287,123,0.691
DK032,-0.02862281764775273,-0.03898941097108364,-0.020092626258852817,-0.007869241053631052,115,0.652
DK041,-0.02848401336291312,-0.03633141642671458,-0.020630125252434642,-0.007615238027907125,118,0.661
DK042,-0.030844760300481142,-0.045238090191961344,-0.019125619985473713,-0.011005137751764982,117,0.744
DK050,-0.02814517716257227,-0.04196542280354208,-0.021360893686591966,-0.010391302946431837,122,0.73
