NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
DK011,-0.030994213855824473,-0.042387688676319056,-0.024228167693832233,-0.011945741574395565,117,0.726
DK012,-0.030994213855824473,-0.042387688676319056,-0.024228167693832233,-0.011945741574395565,117,0.726
DK013,-0.03213919882997984,-0.045819218037219306,-0.02296681264482779,-0.01242277973879212,114,0.754
DK014,-0.034671670881463876,-0.04712729885380611,-0.0236493159139128,-0.012969807100503153,109,0.78
DK021,-0.03151567448910934,-0.0409337609028103,-0.02466683178059831,-0.011327863470161905,118,0.737
DK022,-0.030496256510540637,-0.0409395950564866,-0.024378879202699898,-0.011658762173413599,116,0.741
DK031,-0.034962541954757995,-0.04009317687561739,-0.02630899091888383,-0.013739304179127484,105,0.771
DK032,-0.03453937666329779,-0.043767914838463796,-0.022998641933399736,-0.009822966821051627,108,0.694
DK041,-0.02778767069452627,-0.03426426228435683,-0.022424022545166265,-0.011511956949837632,115,0.704
DK042,-0.028818305863389255,-0.03476289106212291,-0.021170066413083624,-0.012381335609603852,112,0.75
DK050,-0.026449917789536374,-0.031803803752799675,-0.020131375688595632,-0.01170758889536124,120,0.742
