NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
DEE01,-0.0893250149379635,-0.11384397736459173,-0.06386418755052545,-0.036176232821341955,115,0.861
DEE02,-0.0908043022999259,-0.11661964261722424,-0.06193739083702808,-0.03439473330646244,109,0.817
DEE03,-0.08810357516294626,-0.11177439275421985,-0.06916426512968299,-0.03931659118979003,113,0.85
DEE04,-0.08133990349360609,-0.11238313522110027,-0.06113706482060757,-0.030819623992791426,113,0.779
DEE05,-0.08073038863595122,-0.10384855035766552,-0.05736175494099217,-0.03557040908549057,119,0.832
DEE06,-0.08335886944418384,-0.10655429888823213,-0.06084837893783933,-0.03713906507377658,115,0.843
DEE07,-0.08399740602254784,-0.11135012403426586,-0.05377092860139442,-0.03548023632812046,113,0.814
DEE08,-0.0759507910689861,-0.09274419453128817,-0.05118941124029114,-0.029511259830980408,112,0.759
EE001,-0.0635898486006467,-0.08369489332764629,-0.04045951064577483,-0.019072059166740436,122,0.607
EE004,-0.06283115014945115,-0.077759935048676,-0.04349522987984387,-0.01947731063055979,118,0.619
EE009,-0.06862322575486411,-0.07484060185898879,-0.04005165952623623,-0.02019351804922627,122,0.615
EE00A,-0.07798546931340854,-0.0936784002824729,-0.051272591250167025,-0.023433621300955585,116,0.69
EE008,-0.06817088236201421,-0.0727381195146811,-0.04218991339858014,-0.02532459964015063,114,0.675
DEE09,-0.08052011694518033,-0.10718201121917129,-0.053834010745813655,-0.029944335821934176,113,0.77
DEE0A,-0.08456442512608496,-0.11070504149304185,-0.06034713168631316,-0.03238008660600799,112,0.804
DEE0B,-0.08365282807119337,-0.10771939772510926,-0.0617785884007111,-0.033897330741024925,114,0.789
DEE0C,-0.08476238442997447,-0.11264524948735476,-0.05734791524265208,-0.033458646616541354,114,0.833
DEE0D,-0.07833050671445733,-0.10820163137260141,-0.05331054823986267,-0.03295402723186171,118,0.805
DEE0E,-0.08310482076970103,-0.10700560406890622,-0.06649471187213193,-0.032696271895749814,121,0.835
