NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
DEE01,-0.02962229874597676,-0.03932948201888663,-0.023121746387311595,-0.011964792116078204,116,0.759
DEE02,-0.030564465464627537,-0.0427502880867812,-0.02174803538418587,-0.010701899169655105,116,0.741
DEE03,-0.026123453307528053,-0.03560186097075034,-0.01787922996856814,-0.011121156946605506,122,0.746
DEE04,-0.025174463012513672,-0.03404798466113362,-0.01971046005813366,-0.009770891738020936,119,0.681
DEE05,-0.030036884066537595,-0.04219800357963169,-0.020843841860606248,-0.012083920525722889,117,0.769
DEE06,-0.027667010124609277,-0.03786933987588049,-0.0191397359418339,-0.009748189780067114,117,0.735
DEE07,-0.03071568653574669,-0.0410508337781476,-0.022759753051459525,-0.01256385875385446,109,0.798
DEE08,-0.02708122646039026,-0.039703193378271884,-0.01919100601453313,-0.010313879469570575,118,0.72
DEE09,-0.027317711655568837,-0.036895608550082955,-0.021271381411829347,-0.010271785867748436,117,0.718
DEE0A,-0.026775340596980248,-0.03716805207447197,-0.01977598988571436,-0.011828719426190036,113,0.752
DEE0B,-0.027689235415434135,-0.037192938384945765,-0.021770747917423238,-0.010808185515693227,117,0.726
DEE0C,-0.02929081885216579,-0.03807923556255011,-0.021268149873212856,-0.012524304899418017,113,0.796
DEE0D,-0.02896074172450902,-0.036151080461839485,-0.01986291617145953,-0.01147947245145742,114,0.754
DEE0E,-0.02917332301453446,-0.04039477589655016,-0.021764113861951123,-0.012352751650022607,119,0.773
EE001,-0.028842367213147972,-0.04061561103292855,-0.021887439689455602,-0.011466688317817709,116,0.759
EE004,-0.026700695850256546,-0.035058737774319185,-0.018595531402419818,-0.009410163884690494,124,0.685
EE008,-0.02554361717725284,-0.032914072938879185,-0.020834215841122307,-0.010487597686941118,115,0.73
EE009,-0.028197506933842036,-0.04048382449322824,-0.023146629696077385,-0.01009688440540099,120,0.708
EE00A,-0.024691049830361585,-0.03157045911726426,-0.01932311867814196,-0.009323101107622555,116,0.681
