NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
EL623,-0.062064051322885665,-0.08435352724520936,-0.043269042220150475,-0.01976188021525583,114,0.833
EL624,-0.062064051322885665,-0.08435352724520936,-0.043269042220150475,-0.01976188021525583,114,0.833
EL521,-0.062064051322885665,-0.08435352724520936,-0.043269042220150475,-0.01976188021525583,114,0.833
EL613,-0.062064051322885665,-0.08435352724520936,-0.043269042220150475,-0.01976188021525583,114,0.833
EL431,-0.05313703192598026,-0.07878588290526294,-0.03710691283542045,-0.014661191929750192,118,0.729
EL542,-0.06094255148290025,-0.07936594625750008,-0.04233016871123768,-0.020232401146935145,108,0.796
EL543,-0.056286992946998064,-0.07623218773197821,-0.03669849463345739,-0.017457455136073295,107,0.757
EL307,-0.052427131776172094,-0.08038258369508332,-0.04554208697679986,-0.017575654244012175,107,0.776
EL434,-0.04692815848770855,-0.06121325793102157,-0.03405463322050159,-0.010473316170156639,110,0.673
EL511,-0.05239619979868063,-0.07957288856758093,-0.039985516005203954,-0.014378474816430056,105,0.733
EL512,-0.056485009165766924,-0.07782467826793239,-0.04009430772491907,-0.0188072770818589,108,0.806
EL622,-0.05740931621215755,-0.07591374431384598,-0.0380910322601418,-0.016607086680096042,103,0.777
EL523,-0.05472000776775939,-0.0719556059892602,-0.034240589922042375,-0.01852851711893813,111,0.775
EL524,-0.0626565459312143,-0.07686878544756752,-0.042909446538105696,-0.021564199201638344,113,0.823
EL525,-0.06658017751220968,-0.08760563285464477,-0.042096002700520455,-0.019005744142115193,102,0.814
EL526,-0.07217661487093964,-0.10464095501892605,-0.05590740031896653,-0.021892582513216415,99,0.828
EL432,-0.0639959001252098,-0.0872668386713282,-0.04789752963096261,-0.028176514815638383,101,0.861
EL652,-0.05268630669808229,-0.07415814274866095,-0.03746164098021961,-0.018311811528169193,116,0.784
EL433,-0.05913386032634956,-0.0863926257435835,-0.04476267428231903,-0.01954188225029977,108,0.824
EL651,-0.050484933828322365,-0.06823344716507118,-0.039720102919671874,-0.018505081990479642,121,0.785
EL642,-0.05212112551134858,-0.07119500143561226,-0.03998331578087486,-0.021485293236630905,120,0.808
EL653,-0.058989744987239724,-0.08192938112180133,-0.03992504135486568,-0.020736335908508027,114,0.833
EL645,-0.05694510768637436,-0.08212535044150578,-0.043331461375251026,-0.020963773077676946,115,0.8
EL527,-0.05257143063792252,-0.06506432666659248,-0.03722953535815197,-0.016769411680824013,117,0.786
EL531,-0.060219304722921474,-0.08150354532412066,-0.0433992436894856,-0.020843308220312322,110,0.836
EL612,-0.06987626908232991,-0.09726594560080082,-0.04759407337351666,-0.029391159236976477,102,0.902
EL621,-0.04790865820168617,-0.061428763634023185,-0.040480395318316195,-0.021198412921511412,121,0.777
EL533,-0.05513393047332161,-0.07794033493457513,-0.0416904655830864,-0.021271715634745794,111,0.838
EL522,-0.05316512371736839,-0.06835501861122563,-0.03853295704348019,-0.02009319772372009,111,0.829
EL631,-0.04942939706994245,-0.06400886897099209,-0.03652476149927229,-0.016247917585959337,112,0.795
EL611,-0.05144587997541154,-0.06955199286157807,-0.038365514276250484,-0.015690531044610618,117,0.761
EL411,-0.04251028343911424,-0.05884041810668584,-0.02706688148959851,-0.011645778628421566,117,0.692
EL532,-0.04186853908774384,-0.06120041251853907,-0.029357344528828155,-0.015115259921645205,112,0.741
EL632,-0.04148071846446298,-0.05738677116964794,-0.02787572774642595,-0.013579798520151511,113,0.735
EL633,-0.052683000861481595,-0.06971714700025151,-0.03950956838438921,-0.02174171728874655,106,0.868
EL303,-0.05295614930846108,-0.07514076270278525,-0.04049293210881194,-0.019524115924439284,114,0.816
EL515,-0.05037779299970337,-0.07146797306742178,-0.04038201999937109,-0.017303839009049058,122,0.762
EL641,-0.056281774569327966,-0.07570274481248043,-0.03929697947323871,-0.016319012949389887,99,0.768
EL643,-0.04546644195038516,-0.06350994814039743,-0.034013403619501816,-0.018916236705345663,107,0.822
EL644,-0.05629882312647247,-0.08002921684347328,-0.035863660021540275,-0.015561974129731378,103,0.757
EL541,-0.04922754739839401,-0.071600909611897,-0.032097598761028745,-0.015173809740652903,107,0.748
EL513,-0.04689887242353418,-0.06831412797867083,-0.030137961970413244,-0.011970748075080096,112,0.705
EL514,-0.04940565049015095,-0.06738721590293122,-0.027278835558347213,-0.012204944177310984,111,0.685
EL301,-0.05440778137203668,-0.07570794178023679,-0.028980594983831397,-0.013401655833840767,100,0.72
EL302,-0.06413657870953603,-0.0801887869395045,-0.04744667514828725,-0.026368240336767552,104,0.856
EL304,-0.049225207060402586,-0.07074441923130285,-0.03539639649277493,-0.015371324196581073,108,0.75
EL413,-0.043912232676935864,-0.06019350237899707,-0.02960220746171307,-0.014050522942800583,113,0.717
EL305,-0.05662046581408158,-0.07494870443319859,-0.04522219584530726,-0.0226042814214452,104,0.837
EL306,-0.04693486125434356,-0.0652602513999003,-0.03340412272805311,-0.012680455015990005,115,0.713
EL412,-0.05868827368747561,-0.07901494033318796,-0.03648488863248657,-0.016434176438063327,106,0.783
EL421,-0.06085270823051805,-0.08818378267975006,-0.04649137724948808,-0.023510060012718045,108,0.843
EL422,-0.05825360708994689,-0.09235010266857295,-0.038915972249288784,-0.01694999726716151,98,0.755
