NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ES512,-0.04598741658446787,-0.059769518140268194,-0.02763051790847243,-0.016330789894660292,105,0.724
ES532,-0.0419406026638652,-0.05724946517980187,-0.025564412687493304,-0.013018993946187586,109,0.679
ES533,-0.04562192709174415,-0.06621086912716234,-0.02616929714573481,-0.012928152069553209,109,0.697
ES511,-0.04429348967049561,-0.06278042556979353,-0.026918062041047266,-0.01114665587134749,108,0.639
ES431,-0.036253795095881294,-0.04427123657055303,-0.022508873728807673,-0.012157538026861143,112,0.643
ES523,-0.03366427255162831,-0.04386373988877486,-0.022424644831171688,-0.011322676821717234,116,0.595
ES613,-0.034254869922578694,-0.04921321844721784,-0.023629353991760103,-0.01289092989137438,112,0.625
ES514,-0.03491898378862689,-0.04765071804715883,-0.027037938796611316,-0.010855641359025572,117,0.65
ES521,-0.038476236528049206,-0.05163365482886272,-0.028985231154779877,-0.01060633292317404,110,0.618
ES432,-0.03877812154187204,-0.05275534779488516,-0.030106771034614982,-0.012275084021500064,107,0.673
ES611,-0.048781293265811446,-0.07141835964926131,-0.0339134017576728,-0.017253620309073573,107,0.766
ES612,-0.04117344155774375,-0.059064805058160356,-0.033536617094196274,-0.012522607753383774,108,0.667
ES522,-0.05271311380876235,-0.07446055442899177,-0.03516154965450981,-0.015470755328127733,118,0.72
ES531,-0.05121355230978587,-0.07841574570521445,-0.04129084602841994,-0.014833522633585509,112,0.732
ES513,-0.05748781018901957,-0.07918769949772209,-0.038235273730497496,-0.02091239925370928,111,0.784
ES425,-0.055854027804853115,-0.07826782612639281,-0.03477889976336674,-0.021622144988903264,108,0.778
ES241,-0.0368792446718181,-0.049366312235004414,-0.029681516490312095,-0.014154123107951345,116,0.698
ES120,-0.04017541336706566,-0.055216719564906785,-0.022805043128650622,-0.012833033871300015,114,0.684
ES412,-0.04481146247441043,-0.058908892084664016,-0.03078156324563251,-0.017068875058313553,111,0.757
ES114,-0.05303547119054877,-0.06479439343838207,-0.03236079113552815,-0.018264747225371806,113,0.761
ES113,-0.04810428387533958,-0.06695955979740731,-0.03130084154246238,-0.015422760263624031,119,0.731
ES419,-0.048851084813124224,-0.07269405645488732,-0.03697861782294027,-0.015482453712979792,113,0.735
ES111,-0.04987433897270172,-0.06578869597747938,-0.03220225471550412,-0.0194406159081632,112,0.804
ES417,-0.046258229428654686,-0.0617273574264951,-0.027767167846885252,-0.01293205497061727,117,0.692
ES112,-0.062413540025833464,-0.0901929983023121,-0.043685635715391864,-0.02390525627732881,111,0.802
ES243,-0.059502691149595784,-0.07756534584069234,-0.037341959449932,-0.0199876196939355,112,0.821
ES413,-0.05711410567327831,-0.07850926928384909,-0.041530217099975494,-0.01916370705543321,112,0.804
ES300,-0.05007139772553518,-0.06951495620316542,-0.03245243400097132,-0.01764946979958743,117,0.761
ES616,-0.06420821674337981,-0.08980585956955975,-0.03756827934128716,-0.02110712228845423,106,0.774
ES617,-0.07453781714180599,-0.08905826664319175,-0.04205970838265054,-0.023418431615399332,100,0.83
ES411,-0.06215435447661542,-0.07209367422591989,-0.0471513488348638,-0.0173729391124189,105,0.762
ES220,-0.054935393787699016,-0.08522158198059657,-0.04010372115211504,-0.018234110983524697,118,0.754
ES618,-0.052135823688933505,-0.08056518958894338,-0.04161007785056722,-0.014471480109704579,118,0.72
ES213,-0.04105698492927072,-0.05793069284296573,-0.03272238094775082,-0.012422351594761395,110,0.7
ES423,-0.07428498732928386,-0.10647017662977395,-0.058307005672949164,-0.02440682207015414,106,0.849
ES620,-0.09579467322794248,-0.12162844213643548,-0.06921181465264067,-0.03555265797637429,98,0.888
ES614,-0.06283469181759363,-0.09127851458067252,-0.04422188241555392,-0.02290304405448497,112,0.804
ES615,-0.07520829386802144,-0.11210017344567834,-0.06236300361956494,-0.027404043096204235,99,0.848
ES418,-0.06503073485411817,-0.08661472830804284,-0.047210332782927036,-0.020839320804692207,116,0.81
ES415,-0.06768823307813268,-0.09037560349308904,-0.05032149364977177,-0.02006566005998336,103,0.816
ES414,-0.05816595236714732,-0.0827739123422386,-0.04610915511405616,-0.017997252941278838,110,0.8
ES211,-0.06783818068272336,-0.08652817150214877,-0.04092180844930848,-0.015710155048911833,115,0.73
ES212,-0.08007142716241146,-0.0858296376988925,-0.05680615252586369,-0.02269194055330383,105,0.819
ES130,-0.059800687924546084,-0.07175991220050608,-0.03486223553536952,-0.01944585896636908,108,0.787
ES230,-0.055680602612450725,-0.06966278591737513,-0.03357065921984488,-0.012153564339066461,119,0.681
ES421,-0.08569780814730463,-0.10028703687444053,-0.05635103628892334,-0.03191082195221986,100,0.88
ES424,-0.05698991106706857,-0.07233220986396156,-0.03189794087159818,-0.01696648337250539,117,0.752
ES242,-0.06433969442642021,-0.07662791877780575,-0.04245779472307673,-0.014269359445842466,115,0.722
ES422,-0.07216250992697194,-0.07489025068080052,-0.04855643816638144,-0.027653702669469038,107,0.832
ES416,-0.07306901082089885,-0.10022878716137769,-0.04884405298081153,-0.02195244459357298,106,0.821
