NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
FI200,-0.02726593963913909,-0.039745519783628294,-0.020887188450262613,-0.00999616370736386,123,0.691
FI1C2,-0.02765007641964774,-0.03927368721340789,-0.021058594237718622,-0.01117670111095101,119,0.723
FI1C3,-0.02943330782893113,-0.04289907023264832,-0.023264943956556646,-0.013136827144011749,119,0.782
FI196,-0.03146019745312974,-0.04661928650465688,-0.024290404365243205,-0.013327142286634184,117,0.761
FI193,-0.028844490301052548,-0.0389184806574005,-0.02403618064994393,-0.010823081147288393,117,0.718
FI197,-0.027855665678897985,-0.034924837328073034,-0.021875739787691962,-0.010890446374781213,121,0.711
FI195,-0.029879838184759942,-0.04089360007153435,-0.023419600414943655,-0.011805945794130789,117,0.744
FI1B1,-0.027909603106595873,-0.036170734778856045,-0.021365401501936984,-0.011294576345646635,122,0.738
FI1C4,-0.02652775305348796,-0.03480615212151496,-0.021134194628822003,-0.010996278256829058,125,0.72
FI194,-0.027018227597753748,-0.03244128455216736,-0.02156158084611476,-0.01146194603741286,120,0.733
FI1C1,-0.028120114520884434,-0.03553794453436819,-0.023068963167900042,-0.010817508707765336,115,0.739
FI1D7,-0.032143131004315914,-0.04727545825756016,-0.025189715177572625,-0.013350937591906982,110,0.764
FI1D1,-0.029282341393316886,-0.03962454027878039,-0.023590061259519825,-0.008732854087645672,114,0.711
FI1D3,-0.028695472141280345,-0.04059036018053464,-0.02277134549317548,-0.008526469873641092,112,0.688
FI1D8,-0.03128688298019334,-0.0414818282125535,-0.023689239397253124,-0.014997088632373574,112,0.795
FI1D2,-0.02490335390471692,-0.03340539224503109,-0.01872775267547292,-0.009602059227800417,106,0.66
FI1D5,-0.02782753481101526,-0.0386789925144643,-0.02243426314531735,-0.010176867306307503,116,0.733
FI1D9,-0.028766555052737248,-0.04157827767147184,-0.020868273263365326,-0.010033700145284796,115,0.722
FI1C5,-0.03165386821017595,-0.04625715786418749,-0.024083905395188145,-0.011301892349231955,113,0.717
