NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
FR103,-0.03567479847691111,-0.046239818552461426,-0.028903331944247483,-0.016571016216389355,114,0.825
FR104,-0.031013088637125336,-0.04194046787832226,-0.025040469177332304,-0.015237150011746338,121,0.793
FR101,-0.03374875818569405,-0.044363622505496594,-0.027857246876600107,-0.014866654502056032,117,0.778
FRB04,-0.03608532985553455,-0.047840400418715054,-0.027741438647538683,-0.016923108618090363,114,0.825
FR105,-0.03567479847691111,-0.046239818552461426,-0.028903331944247483,-0.016571016216389355,114,0.825
FR102,-0.03567479847691111,-0.046239818552461426,-0.028903331944247483,-0.016571016216389355,114,0.825
FRB06,-0.03567479847691111,-0.046239818552461426,-0.028903331944247483,-0.016571016216389355,114,0.825
FRC12,-0.03534665921011795,-0.050028613210768985,-0.029782218343389726,-0.015216460622426587,115,0.783
FRC11,-0.02511970182822905,-0.03326549946524023,-0.020234318075005225,-0.011872695955633835,123,0.732
FRB05,-0.02977818837465857,-0.038800286737617776,-0.02450859945591692,-0.01274576387405545,123,0.756
FRL03,-0.02657942068497217,-0.033450615386827545,-0.02094130693995938,-0.013256621015621368,121,0.769
FRI23,-0.028857416684650177,-0.037682334781090614,-0.02298837260586945,-0.013081669801091263,123,0.748
FRL05,-0.02724940232750785,-0.036715865507395175,-0.022241569836454846,-0.011475824603064483,124,0.694
FRF34,-0.029897949132320217,-0.03711624749158039,-0.02267119127516158,-0.01340585904819723,122,0.77
FRH01,-0.029060599344464786,-0.037992451485197296,-0.022895447828085128,-0.010528542929498709,122,0.721
FRI11,-0.030822060991511867,-0.03883925095833367,-0.025164326067876358,-0.012132869801932658,115,0.713
FRK23,-0.030670487238171156,-0.041177759673600364,-0.023817938885839836,-0.009681769770085825,117,0.658
FRI31,-0.029132897357313375,-0.03590467217258719,-0.022332345950522185,-0.012320049039304098,120,0.75
FRG01,-0.028255618786252677,-0.03954647401801017,-0.02213071178208065,-0.011120385177261133,111,0.73
FRK24,-0.025672104053650432,-0.03522677400528502,-0.021586399458297375,-0.01027642281887108,116,0.698
FRG03,-0.026143090926770137,-0.03578079259452489,-0.020178680296088915,-0.009203689550472433,117,0.692
FRI22,-0.02656307540739916,-0.036590234490507835,-0.021281098632814743,-0.01016848396763731,114,0.728
FRL04,-0.02924997021346512,-0.037647395266862956,-0.02524250680275831,-0.012913523793759972,116,0.75
FRH04,-0.030184851296460175,-0.0392409597223079,-0.023275620341148332,-0.011572750862515507,113,0.717
FRI12,-0.02842679147016516,-0.036670508071756605,-0.023251627555685828,-0.009957841271805845,119,0.689
FRK26,-0.029311493376078798,-0.03749751216544708,-0.025515455902645777,-0.011180730557060998,118,0.729
FRK25,-0.02892942436017137,-0.03790984589903506,-0.024849634932880706,-0.01242308802013876,120,0.733
FRC13,-0.02806622607743003,-0.03790774513073435,-0.02182728222620966,-0.012077918648340506,122,0.738
FRK13,-0.027549638152116505,-0.03578866283334856,-0.02342776040616668,-0.012462781164376826,123,0.74
FRK11,-0.029036618897175674,-0.03857678617538903,-0.023813469419614004,-0.011041133301711498,120,0.708
FRJ11,-0.035609308540403325,-0.047533686518638305,-0.02947795093068835,-0.016885777620319713,111,0.775
FRI14,-0.029586719632016697,-0.03750584626274582,-0.02698447294357395,-0.01554173120304475,119,0.782
FRI33,-0.02981912182671747,-0.04358496530119037,-0.022366793104754104,-0.011940749658155846,111,0.712
FRK27,-0.028537694548818753,-0.03960188665472822,-0.022703020771857277,-0.010895313309159544,113,0.735
FRE23,-0.03097681085618795,-0.04225126201645971,-0.021514924273385784,-0.011294714454918593,114,0.702
FRD22,-0.028075355040060448,-0.03717910863554195,-0.019648107569162132,-0.011418107977813308,124,0.734
FRJ23,-0.029159899939961837,-0.04085846481133146,-0.020526425354378833,-0.013005165547897064,119,0.782
FRJ24,-0.03316399132463098,-0.04232123215740569,-0.023428426331649908,-0.011999661184193062,113,0.708
FRJ12,-0.03407959692896558,-0.04571263622579757,-0.02347780169638412,-0.011897234406205447,113,0.708
FRK28,-0.030428688866947735,-0.04017156639492974,-0.01949758094699204,-0.009574604313993554,115,0.661
FRI34,-0.02925926730564056,-0.04124052536703336,-0.020948353468002542,-0.010641253152365377,115,0.687
FRC14,-0.03166790360482984,-0.0407682825352914,-0.02299684777389982,-0.011972349023466592,114,0.737
FRF22,-0.03268348783403685,-0.041688096122340826,-0.02520770750777345,-0.015608862949413842,114,0.825
FRI32,-0.029679509327578898,-0.037504760782788714,-0.023354295581111288,-0.01396924242180758,113,0.77
FR106,-0.029774521974496586,-0.0391526869932675,-0.023833904231799673,-0.010986486326830977,118,0.703
FRL02,-0.028507078684439184,-0.038146864425012264,-0.02261287246802082,-0.009180678334937891,120,0.692
FRL01,-0.0325297429190879,-0.04158344138588452,-0.026649048542185243,-0.014617429593020599,112,0.804
FRG05,-0.030054971766144287,-0.04366260000883354,-0.021793973307740418,-0.010225209368169032,119,0.689
