NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
FR103,-0.02898977488154848,-0.03960889966248747,-0.02196696361411415,-0.013130610725881942,123,0.764
FR104,-0.03137564076354507,-0.03989054444215473,-0.023032903359552038,-0.012166176798399934,113,0.743
FR101,-0.02667355523529046,-0.04033411187746098,-0.019143030207842922,-0.010626233090054246,128,0.68
FRB04,-0.0302204692392424,-0.04176919424715865,-0.023155283771352914,-0.011381491023414904,121,0.727
FR105,-0.02898977488154848,-0.03960889966248747,-0.02196696361411415,-0.013130610725881942,123,0.764
FR102,-0.02898977488154848,-0.03960889966248747,-0.02196696361411415,-0.013130610725881942,123,0.764
FRB06,-0.02898977488154848,-0.03960889966248747,-0.02196696361411415,-0.013130610725881942,123,0.764
FRC12,-0.026574239515398758,-0.036857644058429895,-0.0194466862111195,-0.010916866843094439,126,0.667
FRC11,-0.02815861503920212,-0.034387280213317536,-0.02172335886549134,-0.012563137476321897,112,0.759
FRB05,-0.02951497285295208,-0.037248853956409825,-0.022412538543294204,-0.012944028155991407,124,0.758
FRL03,-0.030420327492852436,-0.036911735950111275,-0.023388111727121443,-0.011924816668677254,117,0.744
FRI23,-0.028728444097643625,-0.03665758940967732,-0.023279425363065192,-0.011772042415619209,119,0.731
FRL05,-0.028746296297986466,-0.03748005967468745,-0.022496300119758096,-0.011453020220540854,121,0.694
FRF34,-0.03409593777136392,-0.044247482641012206,-0.026155712862653474,-0.0153472638347418,112,0.777
FRH01,-0.025754221099851694,-0.03292522900600089,-0.018842346138798375,-0.010924820599432266,119,0.706
FRI11,-0.025863267030237006,-0.032574998061464175,-0.019144841573650626,-0.01041001932023606,117,0.684
FRK23,-0.028153228558696425,-0.036164143165000155,-0.020679105768621003,-0.010808003240186041,116,0.698
FRI31,-0.028439824525409253,-0.03368367527407951,-0.02063486695552907,-0.011751139687627244,116,0.733
FRG01,-0.031428421986980544,-0.04109484487578331,-0.023455858687991736,-0.009995459334821342,107,0.701
FRK24,-0.028149173265246807,-0.03577988393637402,-0.02065313364685515,-0.0093451558256987,114,0.702
FRG03,-0.027680406554724705,-0.03859313378052962,-0.018484893029965435,-0.008710777903204313,119,0.681
FRI22,-0.02998270238050695,-0.038864530581632,-0.023607895113331955,-0.00886784268154953,111,0.694
FRL04,-0.024906840584149336,-0.037198541226552057,-0.017578325816502757,-0.00934929257910282,124,0.677
FRH04,-0.026343378103454426,-0.040153092508291854,-0.020689867969859343,-0.010149595576314462,124,0.702
FRI12,-0.02889890090730569,-0.04080746532601236,-0.020789351010664817,-0.011599727063150048,123,0.715
FRK26,-0.029328392710263208,-0.04281669620167937,-0.022161495864770585,-0.010632315160267494,124,0.71
FRK25,-0.025164210763597386,-0.03647842526792076,-0.019480864822926894,-0.00924040631738489,118,0.653
FRC13,-0.024284187524794283,-0.033915108349514375,-0.020055023453848193,-0.0090271787045651,115,0.652
FRK13,-0.026582705798313986,-0.037577992109755425,-0.01996766359026505,-0.010577196684082944,114,0.702
FRK11,-0.026217082369819126,-0.036872637717480096,-0.01863814820042484,-0.009817124379365598,120,0.667
FRJ11,-0.02646481905842588,-0.035074795232248705,-0.020232907084359333,-0.008949070821157654,120,0.667
FRI14,-0.024354062639893686,-0.03486634009484055,-0.019057728787754885,-0.00855539698085099,123,0.65
FRI33,-0.02828620096435204,-0.039300206134639276,-0.016842976956354123,-0.010955705494291952,113,0.681
FRK27,-0.02765955828976956,-0.03833522483835358,-0.021406214270765302,-0.008752663821378593,112,0.67
FRE23,-0.02685310611491695,-0.03435606751884883,-0.021393685945284194,-0.01072202035745839,112,0.688
FRD22,-0.029101712293445194,-0.03493300766347446,-0.021722289232533182,-0.013573164876758406,111,0.766
FRJ23,-0.02969869535259809,-0.041283580825170675,-0.02269231812885968,-0.011108515279669886,113,0.717
FRJ24,-0.028527316698616346,-0.03610085990641661,-0.01946933027722461,-0.011954797161990455,116,0.733
FRJ12,-0.026334875337297146,-0.03332860437107002,-0.018128261514428513,-0.009115126658800998,116,0.629
FRK28,-0.02625254576916352,-0.03531471025477525,-0.019738810725589386,-0.00885574596529404,115,0.713
FRI34,-0.027498898420667387,-0.03623391327675697,-0.016207001905725518,-0.009185745954107823,115,0.6
FRC14,-0.027592648098242724,-0.038826039878636115,-0.018276869442835457,-0.010321850696007703,109,0.651
FRF22,-0.030269978364926304,-0.03853565593979128,-0.025700777129669485,-0.011394450335598438,122,0.746
FRI32,-0.032144231583810676,-0.04190484422034925,-0.024697950140302523,-0.013405390137672776,119,0.773
FR106,-0.034108463086543035,-0.047452819821183954,-0.026218465934724215,-0.013165954182052237,117,0.786
FRL02,-0.03241631939815184,-0.04444487476114554,-0.02673270545465589,-0.014023659383756156,122,0.795
FRL01,-0.03254858179040513,-0.04022369923209777,-0.026746739380465186,-0.014612233873757312,120,0.8
FRG05,-0.026277790240673195,-0.03378502654254443,-0.021921384060864985,-0.010459534773193977,123,0.707
FR107,-0.02463833806378641,-0.033947067804491575,-0.020730372386342705,-0.00834434335194026,126,0.627
FRF11,-0.029851346359619828,-0.039408761414971856,-0.02482934105694825,-0.013194126736943547,122,0.762
FRJ13,-0.027061473326528706,-0.034760570768758305,-0.02347767216546572,-0.01233050859353721,125,0.744
FRD12,-0.03497353265180664,-0.04328660135150838,-0.025110544016356325,-0.013579225142042487,119,0.782
FRK22,-0.035287231168591074,-0.04523135117118213,-0.025442859992327385,-0.013094275170411528,115,0.757
FRE21,-0.03305618080581088,-0.04441771950994658,-0.025885516601055373,-0.012877237195442903,115,0.765
FRM02,-0.030419547807398247,-0.03716906565346863,-0.022901232983037405,-0.012971389420991991,121,0.769
FRE22,-0.03429177308305111,-0.049236243782936964,-0.02136917109290218,-0.010988040134440928,112,0.688
FRF21,-0.02890163779235337,-0.03710710406713337,-0.022167823071975,-0.009655548166862102,130,0.677
FR108,-0.029306755034292562,-0.03678884878988249,-0.021971377862348096,-0.011445992596385408,120,0.717
FRF23,-0.030311747981920444,-0.03758736007922592,-0.024249442911724574,-0.012032181798210672,120,0.742
FRF31,-0.03215982454819413,-0.04079926825036636,-0.025467216442050643,-0.011202490087386198,121,0.736
FRJ14,-0.031611201342497126,-0.04203731853667214,-0.020623492206736305,-0.010142613393420248,123,0.691
FRJ15,-0.029210511088832367,-0.03615480647300413,-0.02194192246899981,-0.010071933321338234,124,0.718
FRF32,-0.03139305496634348,-0.038925270828574554,-0.02482029696325888,-0.012599501263652415,117,0.761
FRM01,-0.03773368525674243,-0.051397239692657415,-0.034412811709193164,-0.012384837440180404,118,0.746
FRK14,-0.03929180386770194,-0.048316683125510115,-0.025234836221581493,-0.011106043575734846,126,0.722
FRH03,-0.04209843727334136,-0.05390669848533412,-0.02858977626620181,-0.012557557916184965,115,0.748
FRC22,-0.031046272023503272,-0.040864228238928886,-0.019088193015076325,-0.010160837120580597,122,0.697
FRJ27,-0.03875102686079863,-0.05619260796567656,-0.030452321229522104,-0.013359993084099983,120,0.758
FRJ25,-0.030756855429094766,-0.04178979951525749,-0.023457974447330145,-0.0121848510401815,119,0.748
FRC23,-0.028093713823848978,-0.03648600283538879,-0.017907658769918885,-0.008914895944234343,122,0.672
FRG04,-0.03141076309107694,-0.04641308341386968,-0.023798427532582857,-0.008081444635653457,115,0.687
FRI21,-0.03331909758061673,-0.04337393732167302,-0.024636475994563596,-0.011668256848025367,111,0.739
FRD21,-0.03135033671238749,-0.037968074825414304,-0.022230156209670546,-0.011427466705017599,124,0.718
FRE12,-0.031669271091129346,-0.04476947068682592,-0.020853705670842704,-0.011978505829033934,116,0.733
FRH02,-0.029883510316062296,-0.0398881180948758,-0.02181671897307766,-0.008825707082289455,119,0.664
FRI15,-0.035955738949397596,-0.0483709106352933,-0.024660331854083575,-0.011427669437555011,111,0.739
