NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HR064,-0.09834181150632347,-0.11031973311289561,-0.06998001013302452,-0.03684221052310786,102,0.814
HR024,-0.08194188484301985,-0.10646784563510667,-0.057066952305896666,-0.024873619604361394,115,0.678
HR022,-0.0823466364402863,-0.11350130957726368,-0.05962259025228466,-0.02912778812825257,112,0.759
HR023,-0.1023144895141359,-0.14054660248317918,-0.07205162705303855,-0.03818013171546625,109,0.798
HR037,-0.1034333652398744,-0.1379480443488994,-0.06630038444970707,-0.03549283782936581,104,0.808
HR033,-0.09452434721569083,-0.11572752993371695,-0.06825225604733742,-0.03204941066966293,105,0.762
HR065,-0.10270166630638565,-0.14310442060828735,-0.06760007370472323,-0.036368255599046315,105,0.81
HR062,-0.08885287196630486,-0.10929586430124452,-0.05527522427834006,-0.035115288187935106,108,0.815
HR036,-0.07807149106361704,-0.09930008748906387,-0.06105486814148232,-0.03171478565179352,112,0.777
HR027,-0.07348154820718254,-0.09214802641023924,-0.05341643844606725,-0.025364275625766527,116,0.716
HR028,-0.07899439299223855,-0.10784749358928647,-0.06543865006555477,-0.03218507350606146,114,0.772
HR025,-0.08539527029845326,-0.10843811654186049,-0.0657299371591171,-0.031146315286075425,108,0.787
HR031,-0.08479790950716729,-0.1072066246331645,-0.059957790664870024,-0.03189767274059721,109,0.771
HR026,-0.08728685859306846,-0.1232619557458958,-0.06466809421841543,-0.031477516059957175,108,0.769
HR035,-0.09091219725107487,-0.11841530960060706,-0.07237026611797336,-0.040691028632326265,107,0.822
HR034,-0.08972012129522489,-0.10765882737109672,-0.07297902264665314,-0.03819099120094738,110,0.8
HR063,-0.08129557804777543,-0.09925527178650638,-0.06084844037383353,-0.026086959062004107,118,0.695
HR061,-0.09208821192443795,-0.10750446708017981,-0.06798292835600067,-0.027824731121607008,108,0.731
HR021,-0.08091184684864176,-0.10311329984124977,-0.06390308441469003,-0.02878676855438083,118,0.737
HR032,-0.07540543069003781,-0.10199863664973005,-0.048182099820760826,-0.025084909933945028,114,0.711
HR050,-0.07814399793232656,-0.10380511239973142,-0.06455225503041823,-0.03210408448973066,113,0.761
