NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HU110,-0.032949010333529635,-0.04321322335013936,-0.024012435277541606,-0.012464210409202248,118,0.712
HU120,-0.03386594505146395,-0.0423610570871917,-0.027948124060468028,-0.012262176272395781,114,0.711
HU211,-0.034880414603744456,-0.047223869449673064,-0.02561004658860111,-0.01250738444636791,117,0.726
HU212,-0.03531971654193591,-0.04310323641391808,-0.027041272542277735,-0.012682765699042482,108,0.722
HU213,-0.04137781822962837,-0.054636156506004355,-0.028765727694970634,-0.014690469629492272,105,0.771
HU221,-0.041410312158829024,-0.05124526647966765,-0.028164571441193914,-0.014563733328662957,101,0.762
HU222,-0.03984804603230628,-0.0517336364547355,-0.02600629619487457,-0.012198926632615566,107,0.701
HU223,-0.036407417052189917,-0.04644831604951197,-0.0271117596530756,-0.014211530032033433,112,0.759
HU231,-0.03449029932766457,-0.0416978444025807,-0.023731010251372787,-0.010575444150539067,118,0.695
HU232,-0.03475677162163459,-0.04291624670700075,-0.021898584495401316,-0.011226610109489768,113,0.673
HU233,-0.03423546192379014,-0.04161423348573725,-0.024606817641666133,-0.010807057253833182,112,0.688
HU311,-0.03631783637796365,-0.04586525214998695,-0.024355668917165424,-0.01132675804996268,115,0.678
HU312,-0.035049452432925,-0.0461493216363938,-0.02629957396806521,-0.010961933932533023,114,0.693
HU313,-0.037237082288471134,-0.05188695069437919,-0.02544547921747893,-0.01394557167202497,106,0.745
HU321,-0.03291138705172682,-0.044643158226300286,-0.024000548425040423,-0.011100712478344033,114,0.702
HU322,-0.03116345112922489,-0.041064999593101746,-0.025008029612811816,-0.008780335867157587,117,0.658
HU323,-0.034491044043671266,-0.04564715144535381,-0.024060926502053798,-0.011755474387940997,118,0.712
HU331,-0.03654514888856452,-0.04665239340556195,-0.029949702881081217,-0.011289264688483722,112,0.705
HU332,-0.031176103602290364,-0.03820814728097671,-0.02284013699419512,-0.011623564220386354,123,0.699
HU333,-0.036344340354382006,-0.04461265714113065,-0.029573197367953274,-0.013482825839136257,110,0.736
