NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HU110,-0.04256737581666604,-0.05605946229570309,-0.03481501928544698,-0.017432482232112516,107,0.794
HU120,-0.03978278088386315,-0.0547534417253561,-0.03103552188298328,-0.015665912576190363,112,0.768
HU211,-0.03911673398019222,-0.050682830379783675,-0.027523748657988144,-0.016580798249802933,110,0.782
HU212,-0.04163699939419738,-0.055647097771605314,-0.02639966943283684,-0.015352959087601706,109,0.761
HU213,-0.04238361633380063,-0.05418576204417266,-0.03272135410618979,-0.015585276201974932,110,0.764
HU221,-0.038950868234001276,-0.05225854564668231,-0.03319931936767105,-0.016381344916622045,109,0.78
HU222,-0.044658379533974446,-0.06200215186973268,-0.032991768567445054,-0.016025613192075933,110,0.764
HU223,-0.04086284886194421,-0.054605382938123885,-0.030593796269741506,-0.014489906777680363,112,0.732
HU231,-0.03963632658481783,-0.05427400458175718,-0.03187532009072661,-0.016375732323053924,107,0.776
HU232,-0.03847480608049918,-0.05088294524895893,-0.02916878854083422,-0.014549641078563163,112,0.741
HU233,-0.037539593514710104,-0.04965416260668708,-0.02798701266500159,-0.015401680855780649,110,0.755
HU311,-0.042206839320084344,-0.05733192988468344,-0.03527677542652997,-0.017650570740660065,105,0.762
HU312,-0.04614152468293539,-0.06805912456654427,-0.03780836123076879,-0.01722765466666676,104,0.798
HU313,-0.04450532873102581,-0.0650921705324316,-0.03622577510228116,-0.01521702212009899,99,0.747
HU321,-0.04662190505609681,-0.06533099333990577,-0.030070175348536766,-0.01756695004326923,108,0.796
HU322,-0.04530586953347588,-0.06760445692669612,-0.03775387509071494,-0.01742458675962333,108,0.796
HU323,-0.038848309685528964,-0.04979342568689764,-0.028973753726642175,-0.017272392002726268,113,0.805
HU331,-0.04352846440599642,-0.06257971276027495,-0.03360851007753704,-0.01628852848891609,107,0.776
HU332,-0.03857519117551576,-0.05240148157283689,-0.02803157809997009,-0.014022194713330828,111,0.721
HU333,-0.03947037762037229,-0.05285608578263347,-0.030352583995129002,-0.01710780240871258,113,0.761
