NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ITC11,-0.0386158426898009,-0.06245412594034155,-0.029993533079428217,-0.013098284839746881,113,0.726
ITC12,-0.038912581130468075,-0.05666150849142762,-0.030834619248587408,-0.014719900929296082,115,0.739
ITC13,-0.038912581130468075,-0.05666150849142762,-0.030834619248587408,-0.014719900929296082,115,0.739
ITC14,-0.033535153693561845,-0.049617283092167515,-0.024847785795507567,-0.011776609772909164,116,0.707
ITC15,-0.043758429437131395,-0.0617765466716861,-0.03336043163036872,-0.01368795570463086,113,0.717
ITC16,-0.046852857129514265,-0.06628916755883768,-0.03396527305477349,-0.014258950083574822,111,0.739
ITC17,-0.04764341112695953,-0.06980632697847239,-0.040367306956072636,-0.019108636640329385,111,0.802
ITC18,-0.04484804857508305,-0.06416775953722113,-0.03766084673554104,-0.016168951963112337,112,0.768
ITC20,-0.029744265244312743,-0.0434259403662624,-0.022085738258977076,-0.011491522120393593,118,0.636
ITC31,-0.05381002097635684,-0.07552785262325658,-0.0391471610502471,-0.017137177500546174,113,0.788
ITC32,-0.0536990731180839,-0.07130698003104778,-0.039203988381321817,-0.015932752574436423,112,0.75
ITC33,-0.047209381434765774,-0.06473952892411382,-0.03454908536439664,-0.017678176129374605,114,0.763
ITC34,-0.04018276163487177,-0.055616260566040895,-0.026716596964983186,-0.012860677946134748,118,0.712
ITC41,-0.042361338727769815,-0.05949608837839058,-0.030204578864095687,-0.012495911739442263,110,0.7
ITC42,-0.04323608541704969,-0.06303208799505142,-0.032022167286521616,-0.014905861177279775,110,0.718
ITC43,-0.039366561013174456,-0.05890869631384934,-0.02898700251701734,-0.014798893897406306,113,0.735
ITC44,-0.033284876042162466,-0.04871302594209167,-0.02404204495992855,-0.011421612057559266,118,0.661
ITC46,-0.04440424342777586,-0.0655372283052428,-0.03748195395851678,-0.014550861134505856,111,0.712
ITC47,-0.03539597199309848,-0.050767472325784935,-0.024967203083936972,-0.012542729537843928,115,0.67
ITC48,-0.042347992775099506,-0.06098909800447737,-0.035769932532049284,-0.011590821112932501,115,0.713
ITC49,-0.04075391741025476,-0.058709592698456284,-0.030812093222093852,-0.014261857559698688,122,0.721
ITC4A,-0.040728180219888326,-0.05597576995093388,-0.02971992310291402,-0.015026981004036063,121,0.711
ITC4B,-0.04230235341558675,-0.05554404206698317,-0.03265852178269153,-0.016771472382655327,120,0.767
ITC4C,-0.04634705418468295,-0.06863888162720162,-0.03408872646998308,-0.015665643244001628,114,0.772
ITC4D,-0.04630741465013301,-0.06778170314508922,-0.03326202021701817,-0.01367315812830111,112,0.732
ITF11,-0.04089923884320213,-0.05763101245586164,-0.028865630428393626,-0.016376753089312746,113,0.788
ITF12,-0.04158522762752685,-0.0644706656927394,-0.02949747543496959,-0.016056991815890938,117,0.761
ITF13,-0.04372589489173782,-0.06680432486713883,-0.031059610318595547,-0.0178549732780207,112,0.768
ITF14,-0.044204415812482634,-0.06095778970136438,-0.02966065520158974,-0.015779342487889973,112,0.777
ITF21,-0.04106769445229337,-0.06076171535064941,-0.026683125810365027,-0.01505922296888197,114,0.737
ITF22,-0.03767572291656789,-0.049334348446223406,-0.0269936504696444,-0.015529036011382736,117,0.752
ITF31,-0.038329046289144186,-0.052254123044613576,-0.026807316484339226,-0.01446738351808326,112,0.723
ITF32,-0.036353405558060006,-0.04967368378335238,-0.026974251085795126,-0.014107614040058253,119,0.723
ITF33,-0.04289849726717966,-0.05963969189463618,-0.02980865758077299,-0.015285392981674771,113,0.752
ITF34,-0.039896537301616485,-0.05280924275460315,-0.030104300573490214,-0.018178834470864377,114,0.781
ITF35,-0.04153048765239903,-0.060706802453202514,-0.03034146917115888,-0.014663623405275638,112,0.741
ITF43,-0.05472196373565871,-0.08132288098423608,-0.039527181867194776,-0.019726835577917226,110,0.827
ITF44,-0.05027855920577616,-0.06614338807928,-0.039401155387746134,-0.018931891268382024,108,0.787
ITF45,-0.05595048575373038,-0.07740471143959302,-0.04028420186641127,-0.016709920179228618,106,0.755
ITF46,-0.03771838676899667,-0.05096201186594239,-0.025912829047268812,-0.014274909901868405,121,0.711
ITF47,-0.04579572273209005,-0.064844131049671,-0.03252428007956189,-0.01803214270459039,116,0.819
ITF48,-0.04622538356291957,-0.06546683290026631,-0.03266114036540569,-0.018972233893387726,114,0.816
ITF51,-0.04418885165944355,-0.06105869987397575,-0.03158387593410332,-0.013400330139933218,117,0.709
ITF52,-0.04753328288961924,-0.06547495234696357,-0.03354596266856153,-0.01659435809398454,113,0.761
ITF61,-0.051560558889932974,-0.06766024100944815,-0.03614668502164567,-0.017606744125640547,103,0.806
ITF62,-0.0561248069994939,-0.08587687601700136,-0.03445707672687243,-0.022222104939694388,105,0.829
ITF63,-0.0472131320917277,-0.06623210718458768,-0.0324937913955929,-0.01538267002912283,110,0.745
ITF64,-0.04921379354157774,-0.07337950364982687,-0.03625049179339736,-0.019209813563016445,107,0.785
ITF65,-0.05208151348703439,-0.07505857548972461,-0.03803535056487793,-0.01829476200043827,108,0.759
ITG11,-0.04411846514672481,-0.06403222535982256,-0.03479213973314194,-0.014981079086094029,114,0.737
ITG12,-0.046236910191453075,-0.06877385401313313,-0.03784092359193494,-0.018898983194906092,113,0.796
ITG13,-0.04274842565874834,-0.06547222404190943,-0.030302964392041654,-0.01508800424332115,108,0.75
ITG14,-0.04945049935944607,-0.07019509457035354,-0.04059375559563386,-0.019098348041416923,109,0.789
ITG15,-0.048290422170939484,-0.07174808075048815,-0.03629693011913129,-0.016443316697207406,112,0.768
ITG16,-0.04773529391412728,-0.06998095947313056,-0.034764316721115275,-0.01551358421230381,110,0.755
ITG17,-0.05191783660812368,-0.07832027379204202,-0.03519306564954634,-0.01327288141940852,110,0.718
ITG18,-0.058403760769875294,-0.0797397586628012,-0.0428957353608754,-0.01435460885991715,104,0.721
ITG19,-0.05715511853770729,-0.0834363618619175,-0.043135849312569946,-0.017172484197143956,109,0.771
ITG2D,-0.042281255018263034,-0.06601075382676486,-0.02668940032332466,-0.013801277148009727,118,0.703
ITG2E,-0.04132014634062199,-0.05387615998445415,-0.026917448222567232,-0.015041978657174052,115,0.722
ITG2F,-0.047665939275164645,-0.07647538153804172,-0.030055974011473013,-0.013040265367676546,115,0.704
ITG2G,-0.03906630081052071,-0.05558078615471977,-0.027664740073852286,-0.01486958456749026,117,0.735
ITG2H,-0.04144879819429841,-0.057212611954190966,-0.030818932767840777,-0.015712599609737234,114,0.772
ITH10,-0.028612533816572687,-0.03750750069288351,-0.022253710049782084,-0.01112152862888199,114,0.667
ITH20,-0.03483639109719748,-0.047471940175710485,-0.026132076198655572,-0.012397686578391728,110,0.7
ITH31,-0.03993420325436323,-0.05763577188406294,-0.031011645235627317,-0.014279144341527711,113,0.743
ITH32,-0.03969450005356066,-0.0490119336497009,-0.029315812642810236,-0.01627672921186578,113,0.761
ITH33,-0.03350859604598378,-0.04522144454477108,-0.023561070968082173,-0.01326408262511707,110,0.682
ITH34,-0.04269538645494152,-0.056955578255446324,-0.03150069613205131,-0.015408689155093778,111,0.748
ITH35,-0.04227693436348829,-0.061286231111480044,-0.037207019898764494,-0.014641225938605073,114,0.746
ITH36,-0.039129411948703736,-0.050596782361517115,-0.03392981181426814,-0.016274908417730168,116,0.759
ITH37,-0.04849736952243636,-0.06795711549119245,-0.03902204630801075,-0.023481437332944867,109,0.817
ITH41,-0.03962269235291583,-0.05688178097746848,-0.029937882816087648,-0.01465359424562179,109,0.743
ITH42,-0.03812312242921665,-0.05388336887295582,-0.028423165121959304,-0.01373873043844448,111,0.73
ITH43,-0.03780540443022365,-0.049690327220350036,-0.027579464107090283,-0.012323628139877033,120,0.692
ITH44,-0.03914348175042978,-0.05160391879294861,-0.02698183658724198,-0.014924826709074229,121,0.736
ITH51,-0.0428471936967645,-0.06095089002364003,-0.034078511910302665,-0.01419948312745709,114,0.737
ITH52,-0.03894715322521632,-0.05269351193001455,-0.02652160823106773,-0.01156308630028176,119,0.697
ITH53,-0.042869750990752374,-0.059071601589402674,-0.035793236050587734,-0.01379607199861965,117,0.692
ITH54,-0.036723633268972766,-0.04901394744443894,-0.032235204232457806,-0.012938808890918316,118,0.72
ITH55,-0.04129401666224879,-0.0578915341491997,-0.033278052436857324,-0.015401947608390348,118,0.746
ITH56,-0.0460926877142185,-0.06441966640275112,-0.03783025845365526,-0.014925620931375526,112,0.723
ITH57,-0.03958864480361735,-0.05213771389224351,-0.034268609293767564,-0.01533338960912304,117,0.752
ITH58,-0.04107920655160509,-0.05597532597215915,-0.033773861952529856,-0.01767325267020721,115,0.817
ITH59,-0.04305969525923876,-0.058741639348799404,-0.03271574155929968,-0.015978172468404172,116,0.759
ITI11,-0.04120260331001617,-0.055705405820034685,-0.028516298017539833,-0.014973694448449362,114,0.746
ITI12,-0.03942896787849566,-0.05507101172784944,-0.02917510986526118,-0.012226301691028502,116,0.698
ITI13,-0.03814347112540008,-0.056292339370808075,-0.03193019518817221,-0.014467481359402191,124,0.726
ITI14,-0.038022110868085365,-0.05716410087019936,-0.030723084655025552,-0.012975470016446505,124,0.702
ITI15,-0.03819726616701697,-0.05558826152906757,-0.03306254671149397,-0.01604937653475141,125,0.776
ITI16,-0.041474703480680074,-0.05590139042737617,-0.033722748841574106,-0.01830204990993757,122,0.787
ITI17,-0.03739500894348605,-0.05574882465046214,-0.029964056678516118,-0.01711210408711525,126,0.794
ITI18,-0.03737778648916473,-0.05327362912440674,-0.031474200652522114,-0.015422872151271118,122,0.754
ITI19,-0.03837536375121255,-0.05419948494930443,-0.031087891996818617,-0.016515195322408097,126,0.778
ITI1A,-0.03942477649086991,-0.05181159166068395,-0.0320577225228016,-0.015033478801734525,127,0.748
ITI21,-0.037503589106609066,-0.05614156805726761,-0.02615286191726013,-0.013319393474924753,124,0.71
ITI22,-0.036366245899653864,-0.05556875631434069,-0.026101760437510647,-0.014018202747695383,120,0.733
ITI31,-0.04290505886546135,-0.0569495636130569,-0.03213216065478856,-0.016391347927055225,112,0.777
ITI32,-0.04013908542897404,-0.05166675080794302,-0.027443155825522227,-0.014119460410970104,116,0.724
ITI33,-0.045590829994498164,-0.06076001054636621,-0.03466606712567566,-0.01711690020017381,112,0.777
ITI34,-0.04102807300783489,-0.05056112311353392,-0.029865252050488435,-0.014314285367135672,122,0.73
ITI35,-0.042861648284204766,-0.05268537701686203,-0.03084140996981817,-0.017234905259263203,119,0.765
