NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
LT011,-0.028023121135907686,-0.035871838834264376,-0.020220827863858194,-0.012673142625805335,121,0.777
LT021,-0.028328593612096158,-0.03647623045859622,-0.017618310399973712,-0.010940827019339745,123,0.707
LT022,-0.028906602496057192,-0.03758928040007296,-0.020624450681811957,-0.010425968162976059,117,0.692
LT023,-0.028919821019836457,-0.03882620321633408,-0.019831605090842967,-0.010782073032280718,116,0.707
LT024,-0.028068186953361808,-0.035173042204091426,-0.019281645740227334,-0.009287166455475344,119,0.672
LT025,-0.028673205547136496,-0.036811620737011566,-0.02037572771843031,-0.011225081487611342,115,0.722
LT026,-0.02796730957373181,-0.040083995599894486,-0.019907980986609185,-0.009570227699176021,117,0.684
LT027,-0.029943983433262863,-0.03988690499358807,-0.02254210351407812,-0.009799916225268554,118,0.695
LT028,-0.029722285707030574,-0.04309870519850609,-0.020620771707067956,-0.010949274104625348,114,0.719
LT029,-0.027423678166705483,-0.032070177307575304,-0.019563062917334395,-0.010691999637256214,116,0.724
