NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
NL111,-0.007806711898011803,-0.013102385664579936,-0.006368956999970924,-0.002534562026820369,20,0.0
NL112,-27.207380025654558,-27.207380025654558,-27.207380025654558,-27.207380025654558,1,1.0
NL113,-0.05219457155428759,-0.08612335081341578,-0.03733205601998756,-0.01414302401292262,101,0.535
NL124,-0.011107997045265109,-0.013484160367097675,-0.011107997045265109,-0.008731833723432541,2,0.0
NL125,-0.5838045033199054,-1.0070585506571685,-0.3793243968801664,-0.2786915860657572,24,0.917
NL126,-0.018653374877607504,-0.027605377970639586,-0.015454860263453649,-0.00558698506977752,62,0.113
NL131,-0.353296905676326,-0.5847720160281769,-0.28794067924919386,-0.11630862850684154,40,0.925
NL132,-4.477588033395465,-5.1313542190167745,-2.3970969543184504,-1.7433307686971415,4,1.0
NL133,-28.37855857274222,-28.37855857274222,-28.37855857274222,-28.37855857274222,1,1.0
NL211,-0.028539003607080317,-0.04418517778605931,-0.017010043304665635,-0.007878737572970336,90,0.3
NL212,-22.068995081713187,-22.068995081713187,-22.068995081713187,-22.068995081713187,1,1.0
NL213,-1.2337221510905139,-1.9267812382838954,-0.9010344655361702,-0.4218737416991735,14,1.0
NL221,-0.022320631222094295,-0.023494844679440643,-0.022320631222094295,-0.021146417764747943,2,0.0
NL224,-0.02524073928016109,-0.03587724960591079,-0.017316638642499927,-0.009062988296635398,63,0.254
NL225,-0.014290858268761147,-0.014290858268761147,-0.014290858268761147,-0.014290858268761147,1,0.0
NL226,,,,,0,0.0
NL230,-0.04403457984425264,-0.07324286557957196,-0.032268481635798554,-0.010286682142926218,77,0.468
NL310,-0.022441757838829398,-0.03741174482426938,-0.02080680090248512,-0.0086899858676581,7,0.429
NL321,-0.019813511080315444,-0.027394706567328023,-0.01787331578103937,-0.009445139021542837,17,0.118
NL323,-0.028708765146077526,-0.04230865388970856,-0.023193637831136,-0.008131227196598149,53,0.358
NL324,-0.2854640494879921,-0.336757588668325,-0.23148019119321028,-0.09255480455336762,41,0.902
NL325,-0.5667000667963947,-0.7122347790127458,-0.37694455511375596,-0.29514068956782535,25,0.96
NL327,-23.719131461857128,-23.719131461857128,-23.719131461857128,-23.719131461857128,1,1.0
NL328,-25.672263353852923,-25.672263353852923,-25.672263353852923,-25.672263353852923,1,1.0
NL329,-0.09796281797349071,-0.1585545697009538,-0.08813806172775258,-0.01873685433825901,77,0.597
NL332,-20.211599294634667,-20.211599294634667,-20.211599294634667,-20.211599294634667,1,1.0
NL333,-20.622446927921267,-20.622446927921267,-20.622446927921267,-20.622446927921267,1,1.0
NL337,-0.2977672470769673,-0.33551004513919724,-0.2829746682877391,-0.21342293183744251,43,0.93
NL33A,-2.1719268136757868,-3.096717522590415,-1.9274014931139407,-0.42725223555165837,8,0.875
NL33B,-0.14954001213026766,-0.24946891870739762,-0.16944553628598122,-0.0293599826414399,70,0.714
NL33C,-0.016866191975593053,-0.02168210594814976,-0.012927761130068612,-0.00804121825504615,36,0.083
NL341,-0.03527567330873155,-0.054131157631205414,-0.027484437282033085,-0.011090759694582071,55,0.436
NL342,-0.022855216861107464,-0.03272412835625061,-0.018049129847243744,-0.009924785616746418,44,0.205
NL411,-0.016338794580751735,-0.024641349920042768,-0.015300853768624199,-0.006003156662077206,13,0.077
NL412,-0.013536114468061859,-0.021399126879102302,-0.006715412072925366,-0.003172912562201723,19,0.105
NL413,-20.31459025635347,-20.31459025635347,-20.31459025635347,-20.31459025635347,1,1.0
NL414,-0.04418078552648228,-0.07185931013533811,-0.023473878062146975,-0.008910152173226656,93,0.398
NL421,-0.08831445136912636,-0.14446090823534868,-0.05978637402816785,-0.02340152159454196,77,0.636
NL422,-0.39653714875257445,-0.5804771226513562,-0.33811825330638445,-0.14973268030355963,32,0.938
NL423,-0.648922445419839,-0.7800485140598382,-0.4315100210568379,-0.32139789581934725,24,0.917
