NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
NL111,-0.012156705112376386,-0.015287213103126574,-0.01090372944306493,-0.007476116658670767,10,0.0
NL112,-27.44809554138205,-27.44809554138205,-27.44809554138205,-27.44809554138205,1,1.0
NL113,-0.0465433554245553,-0.07266491962431658,-0.03747125340437307,-0.016904436877739664,109,0.55
NL124,-0.006711206178340713,-0.00846008616012665,-0.006711206178340713,-0.004962326196554776,2,0.0
NL125,-0.8319976944239738,-1.189103832325203,-0.3309507136695385,-0.2172167337577197,17,0.941
NL126,-0.013352985720421588,-0.01775759051731786,-0.009862057270195845,-0.00586783645439381,60,0.05
NL131,-0.4969730558235944,-0.6218967546404789,-0.3980293147835618,-0.3175779568667032,29,1.0
NL132,-4.514791075608208,-6.911863887572913,-3.024641961222741,-0.627569149258036,4,1.0
NL133,-28.463741250899396,-28.463741250899396,-28.463741250899396,-28.463741250899396,1,1.0
NL211,-0.020004715889488708,-0.028770885381338537,-0.015231056724321332,-0.0072665163905775145,101,0.188
NL212,-22.21091921340501,-22.21091921340501,-22.21091921340501,-22.21091921340501,1,1.0
NL213,-1.5884429524774668,-1.810960112537661,-1.2692463671816496,-0.6218365935740671,11,1.0
NL221,-0.003030935985917909,-0.003030935985917909,-0.003030935985917909,-0.003030935985917909,1,0.0
NL224,-0.0170802203074407,-0.023225817428508728,-0.01511869867111645,-0.00438554722480038,60,0.15
NL225,-0.0008330330755616796,-0.0008330330755616796,-0.0008330330755616796,-0.0008330330755616796,1,0.0
NL226,,,,,0,0.0
NL230,-0.026016728647493378,-0.03904433102287293,-0.019011917935125425,-0.008919684356818763,91,0.286
NL310,-0.011658631534641608,-0.017654254546708954,-0.01008960396880148,-0.004093980956734137,4,0.0
NL321,-0.017745041086075913,-0.03340797531367522,-0.007820047965048465,-0.006406545528901966,7,0.286
NL323,-0.019340478410890916,-0.026866795907901194,-0.015210408860104026,-0.006734468009819103,41,0.171
NL324,-0.4666358886021979,-0.6399050644296584,-0.29907202895090945,-0.2251081666970847,25,1.0
NL325,-0.8929262677305927,-0.913435953813092,-0.38827528307721937,-0.23202422428970293,16,0.938
NL327,-23.798943455389608,-23.798943455389608,-23.798943455389608,-23.798943455389608,1,1.0
NL328,-25.783596724799846,-25.783596724799846,-25.783596724799846,-25.783596724799846,1,1.0
NL329,-0.10546356727449019,-0.15791852418211177,-0.10013500581742518,-0.022622386965669483,68,0.721
NL332,-10.076660640742992,-11.647941465228488,-10.076660640742992,-8.505379816257495,2,1.0
NL333,-10.280677993610205,-11.886528903081988,-10.280677993610205,-8.67482708413842,2,1.0
NL337,-0.43775371557600573,-0.40449621337623465,-0.30729171822355805,-0.21171467831113175,29,0.931
NL33A,-2.447950860329116,-4.617141608297834,-0.7765514779349156,-0.574750450094215,7,1.0
NL33B,-0.1473302436233173,-0.21622767515638125,-0.14896892719905674,-0.037122990840635216,68,0.765
NL33C,-0.014606329070422905,-0.023180375751258246,-0.012879657164851222,-0.004806115758843527,20,0.05
NL341,-0.020181395292650908,-0.02898701703280015,-0.014238578512814171,-0.00577596613871105,50,0.22
NL342,-0.016505299734484048,-0.01943480727634036,-0.011667272644134448,-0.008290169122874193,27,0.111
NL411,-0.015673375836783788,-0.02649448068787684,-0.011043681863880552,-0.003878667453315546,6,0.167
NL412,-0.011289489695957567,-0.013655176664499719,-0.007903785473883247,-0.0025645314628366723,9,0.0
NL413,-20.087109893703833,-20.087109893703833,-20.087109893703833,-20.087109893703833,1,1.0
NL414,-0.035914726908165266,-0.05682923347512705,-0.024911152230461378,-0.01080333272055172,90,0.367
NL421,-0.07860099482190303,-0.12805613619514727,-0.060686525608334804,-0.019142852622370747,79,0.608
NL422,-0.3782876799163704,-0.3714635421461571,-0.2928759863193736,-0.2412592258814166,33,0.879
NL423,-0.8047342765112983,-0.9944922895113762,-0.6898068030141008,-0.39296028112767684,19,0.947
