NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
NO081,-0.07440697622835947,-0.0985863948773178,-0.058887092435190455,-0.03362277531402699,118,0.814
NO082,-0.059560385699104997,-0.0801305452333696,-0.04644896508127964,-0.02482825661115739,122,0.754
NO020,-0.0495207101206622,-0.06601348727367279,-0.04212433467700587,-0.017112896699599874,126,0.659
NO091,-0.07476777492651747,-0.09745814787355947,-0.05818534772969142,-0.02702884999419002,121,0.777
NO092,-0.07293235559160602,-0.09253162702032877,-0.05829174765402457,-0.022452936385759348,115,0.73
NO071,-0.07842637662035729,-0.09523726645363936,-0.05245634576293978,-0.028379967531145786,106,0.821
NO074,-0.062288236116950946,-0.07624727700920651,-0.047770205315805156,-0.027016578104689954,110,0.782
NO0A1,-0.061373981270831504,-0.0808306595395672,-0.039932604273713874,-0.01987151363740896,115,0.696
NO0A2,-0.07834208695450652,-0.1037270536483901,-0.04939088615559914,-0.025253931344549813,109,0.752
NO0A3,-0.08087332844473702,-0.09840023604972856,-0.06285456203765111,-0.03095025054996419,115,0.8
NO060,-0.07062447588034844,-0.0913424148755132,-0.04836865040345996,-0.026594990845077618,112,0.786
