NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PL213,-0.0326817545420442,-0.038983194904786994,-0.025361735226262845,-0.012824657146947204,110,0.782
PL214,-0.03263564284181064,-0.037821829736116,-0.023973808042099184,-0.012362460523380569,112,0.759
PL217,-0.03328678875135367,-0.040214127884592506,-0.024524553312525683,-0.011436516849899273,114,0.728
PL218,-0.0331278255671317,-0.0404293923055953,-0.02204070933649902,-0.011733218453437,114,0.746
PL219,-0.02970953885513315,-0.03891979471676498,-0.02195811353199951,-0.0101438609847008,112,0.732
PL21A,-0.030863308970598854,-0.037183521468029924,-0.02560779284462603,-0.013595040245652881,106,0.811
PL224,-0.029756288203344673,-0.039464543516952215,-0.022182030718176662,-0.011381773863936424,106,0.717
PL225,-0.031507287553888416,-0.0400917054397065,-0.022609274049786056,-0.011591322664727833,113,0.735
PL227,-0.033201705312686756,-0.04057181441469554,-0.025218537286718558,-0.012372796738592245,107,0.794
PL228,-0.030371802644153126,-0.0347278965546681,-0.0251989142362345,-0.012263237108092663,111,0.784
PL229,-0.02961812840027051,-0.03634484900639263,-0.024431586551688433,-0.01179019926478104,115,0.748
PL22A,-0.030585893605393526,-0.038082807476098254,-0.024963014634698962,-0.01256092248071378,110,0.791
PL22B,-0.030362140081158652,-0.036429404595154626,-0.026308625049767522,-0.012220451584504702,115,0.757
PL22C,-0.030676220315589763,-0.03685553066153377,-0.023346559181136473,-0.012689349553950931,108,0.759
PL411,-0.028926728676616484,-0.037575511173383994,-0.019899377741298248,-0.011356938262512568,115,0.739
PL414,-0.0318229165058923,-0.04733677443532671,-0.02048209415095163,-0.011582769411305469,106,0.745
PL415,-0.031463032881183926,-0.04286888940004496,-0.02134478258919393,-0.010219515116922425,110,0.709
PL416,-0.030061651070688783,-0.04095415010297555,-0.02030216836441895,-0.012228550441529814,110,0.764
PL417,-0.030933228145350967,-0.038486727268853424,-0.020672717875159667,-0.01158992252286795,113,0.726
PL418,-0.030496044319252166,-0.041727724120195486,-0.019370042022519317,-0.011448216195426106,114,0.746
PL424,-0.030414548533774642,-0.04354928883647665,-0.02210308833979631,-0.012713542922912345,121,0.769
PL426,-0.027191346184423076,-0.03611209480769974,-0.019842384564247487,-0.010444304240963414,122,0.721
PL427,-0.02749703199740303,-0.039987234653553375,-0.02244314821393622,-0.011653166096182065,115,0.748
PL428,-0.029633816791278255,-0.04138725466875609,-0.024105034254955547,-0.013184357803333328,122,0.754
PL431,-0.030646666662223942,-0.04441085958872423,-0.02400309683350506,-0.010519487790347667,115,0.73
PL432,-0.03111091108763026,-0.039075197908911084,-0.019245543827152496,-0.009182301246744845,118,0.686
PL514,-0.03070278360986904,-0.04539190418678717,-0.022239013828099282,-0.009103764837092243,118,0.703
PL515,-0.027147042498655405,-0.0372044680439234,-0.021602998283344114,-0.009207739487493372,116,0.69
PL516,-0.02863058484692959,-0.03982703189771843,-0.01879468804702185,-0.007413024467122658,120,0.658
PL517,-0.031132514419218087,-0.04213696067671012,-0.025621435254686582,-0.013892337593086852,114,0.763
PL518,-0.029205748934738176,-0.04331312970876013,-0.021626856040008306,-0.008991126103725626,119,0.689
PL523,-0.029351349064311333,-0.036725549361062745,-0.022117458603729045,-0.010830688113543877,117,0.744
PL524,-0.03023922056444208,-0.040907627526086184,-0.0230130075333022,-0.011611871148463147,108,0.741
PL613,-0.032629863437910835,-0.04305136202088374,-0.02296628620685496,-0.009612096435082585,110,0.691
PL616,-0.03084203251088032,-0.03909602636858048,-0.021791847993295897,-0.008234381495326203,107,0.701
PL617,-0.031083010261066725,-0.045714618602219724,-0.02267941036299875,-0.009796065999930433,108,0.667
PL618,-0.03199456821744214,-0.04282588983919956,-0.02467504498131455,-0.011092390962608913,106,0.698
PL619,-0.03073139549270829,-0.04389156114113932,-0.0197897719087823,-0.00821003299870118,111,0.676
PL621,-0.03214590161166315,-0.047302835775234225,-0.02133684730690245,-0.009620763845216061,108,0.704
PL622,-0.031294828656911265,-0.047350977876679426,-0.022083595381222156,-0.010492001136357447,103,0.728
PL623,-0.03151540618824823,-0.044169087079874395,-0.023440171350205607,-0.012637912167042405,111,0.766
PL633,-0.02859840341235364,-0.03967260133442939,-0.01926271441677141,-0.009277286575361952,113,0.699
PL634,-0.02787799259517603,-0.03397137508914725,-0.01816077335446632,-0.008945259921253092,113,0.699
PL636,-0.026164401994548687,-0.03636631880383476,-0.0186051513305808,-0.008314943630188143,122,0.689
PL637,-0.027077090106042437,-0.03993603194523308,-0.019484963835397565,-0.009563831919397844,120,0.675
PL638,-0.02938635308217699,-0.04137409748491379,-0.020369577064355583,-0.010387212273722466,113,0.726
PL711,-0.029765593089607332,-0.04192031780313722,-0.02072803280719067,-0.008390930872288576,112,0.705
PL712,-0.03153264051503503,-0.04575745090694615,-0.02248476697584737,-0.01033254366192772,108,0.713
PL713,-0.027416789290802275,-0.03591771353991098,-0.019392405326979868,-0.009325057370000169,114,0.658
PL714,-0.028944197927588976,-0.03976751831994607,-0.021317523773809525,-0.010387628629925937,110,0.709
PL715,-0.032478396605827346,-0.04600710652088008,-0.02191040872088848,-0.011620879146743502,104,0.74
PL721,-0.029871958810060082,-0.04130815266245724,-0.024219009015162465,-0.010149631508781433,111,0.721
PL722,-0.03218716281521926,-0.038421757765725595,-0.024593778735757743,-0.011907937129128642,112,0.75
PL811,-0.026911504318526847,-0.037611904546499375,-0.018603427988233577,-0.009819201940050837,126,0.659
PL812,-0.030588531551140528,-0.04489043848768703,-0.02132571847296225,-0.01004641015808651,120,0.717
