NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PT16F,-0.14669034993791377,-0.18311130958145472,-0.09937326413174603,-0.03819612576324399,94,0.809
PT16G,-0.15200040937419307,-0.19238633135224337,-0.11562427169924866,-0.05004991903478449,92,0.87
PT16H,-0.18207817512082827,-0.2809541695302367,-0.13044347441906132,-0.05593908734362324,87,0.828
PT16I,-0.15195213342909067,-0.19038706130206814,-0.11709016186911023,-0.0411054725312911,89,0.809
PT16J,-0.17077980755312527,-0.26518683393496734,-0.13237085244966285,-0.04129761878514682,87,0.828
PT170,-0.1651224753844102,-0.21357016398105655,-0.12502431680008888,-0.042893200614009405,91,0.813
PT181,-0.17206663169811778,-0.23915174433712458,-0.11236906030616509,-0.0429511652935774,86,0.791
PT184,-0.15817405301428092,-0.22647660727742858,-0.12409135848560898,-0.04274054715533155,89,0.809
PT185,-0.16395970723752354,-0.19769005531452405,-0.1138117318040841,-0.04669606723453889,90,0.844
PT186,-0.1823053397290283,-0.2648471995240146,-0.11963217330805756,-0.04985663254863215,87,0.816
PT187,-0.15905401094807212,-0.21218344136758038,-0.109924875998726,-0.04295706253255458,93,0.828
PT111,-0.11531081522884577,-0.15150567369086665,-0.0732027036836195,-0.03215660807495102,106,0.736
PT112,-0.1335244469285621,-0.18129484363009993,-0.0957771708688008,-0.05050098995955979,96,0.844
PT119,-0.12887619459728433,-0.18415231758057435,-0.08803693666499707,-0.034649546169725556,102,0.784
PT11A,-0.15336308530658727,-0.19935518754550086,-0.11596856036512175,-0.06254370526405306,89,0.899
PT11B,-0.15385054351182395,-0.21921654578658187,-0.106939089357773,-0.039017979960639784,93,0.806
PT11C,-0.14998636307610583,-0.2079368782888355,-0.11885681637732179,-0.05144439544398265,92,0.913
PT11D,-0.17550619509964754,-0.24915807832928538,-0.13288438445157727,-0.04906832085688315,87,0.874
PT11E,-0.16976760209372413,-0.24273241492924105,-0.11767740308171444,-0.048141551997526705,91,0.824
PT150,-0.19766930806441532,-0.29169313593917184,-0.12780276290122858,-0.04374189268971282,79,0.81
PT16B,-0.14775737547234183,-0.16904838207098907,-0.10701474050261645,-0.04635168956344027,96,0.802
PT16D,-0.15734021113595775,-0.21192438451903545,-0.11319692233203868,-0.058746548499935096,88,0.886
PT16E,-0.15282938265682522,-0.23376992468130542,-0.11063831051928066,-0.05573338207464108,89,0.888
