NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PT111,-0.05174032047382257,-0.07585202441025131,-0.02540141827852114,-0.011496537849883774,108,0.694
PT112,-0.051479354113903794,-0.06894641010462757,-0.02667361382841448,-0.012761245597739135,110,0.709
PT119,-0.055875050150746335,-0.07555208706747613,-0.026822029981641276,-0.015044669936162545,107,0.757
PT11A,-0.04341099915615202,-0.06044378764603376,-0.02139345520938122,-0.011523710438383345,119,0.681
PT11B,-0.0467008496632871,-0.060206584032651334,-0.02760554904117378,-0.01277120443475037,112,0.679
PT11C,-0.04618748232771317,-0.059626899043970734,-0.02493241935768399,-0.012951857255668841,113,0.708
PT11D,-0.04511036044609224,-0.05402436267775341,-0.02951177214529688,-0.012315155912354186,118,0.653
PT11E,-0.044716964601555644,-0.05180254305028245,-0.029856091370297606,-0.01012539422629115,116,0.672
PT150,-0.06836737266782772,-0.09687298831537171,-0.04473711569052219,-0.014403150628761663,111,0.748
PT16B,-0.05674861121011215,-0.07521648444758998,-0.03298338489164519,-0.015902817466698596,110,0.764
PT16D,-0.04927701285579142,-0.06895851626855327,-0.02608188616236089,-0.013050911008158434,120,0.725
PT16E,-0.05068423279929037,-0.06906336295724838,-0.0275398340973595,-0.01071645916830256,120,0.692
PT16F,-0.0587862257406099,-0.07756797395680222,-0.033514310991304926,-0.015252047726620338,110,0.764
PT16G,-0.047735224867746825,-0.06255649516804342,-0.02612444092444747,-0.013703561603973787,116,0.707
PT16H,-0.05798554770874007,-0.07395989112599213,-0.0365519814519689,-0.017399430782180342,111,0.829
PT16I,-0.05736628967284829,-0.07572863103057936,-0.03183847145722545,-0.01709973981850057,110,0.773
PT16J,-0.0495535720905175,-0.06516593898501158,-0.03159577552976406,-0.013249220107708569,121,0.736
PT170,-0.05354917034773074,-0.07189353460564424,-0.03629671749347105,-0.01831712791768003,111,0.784
PT181,-0.060269700272948624,-0.08455774323235582,-0.04476692185560063,-0.013438656154493609,115,0.73
PT184,-0.0637659396619528,-0.09563383878775136,-0.040268362762258786,-0.016224945077550443,115,0.765
PT185,-0.06288100933355195,-0.0852911161134913,-0.04574687234933629,-0.017552854889447928,106,0.811
PT186,-0.05481200060568951,-0.0732317562848395,-0.03934799809582634,-0.01592587710955656,111,0.766
PT187,-0.06581204921965757,-0.08697336697081418,-0.04676135809761053,-0.014057832308022718,111,0.748
