NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PT111,-0.047302136186207426,-0.060923401435426294,-0.033113648509931704,-0.013604732207475448,113,0.699
PT112,-0.049669608963074215,-0.06386273683434433,-0.030937654139816133,-0.014794620238805187,111,0.703
PT119,-0.050280716058814554,-0.06591905144757328,-0.030373740184904588,-0.013495165082171351,116,0.707
PT11A,-0.05587157630864289,-0.06970484553228684,-0.032254096303583356,-0.017641690803968133,109,0.789
PT11B,-0.04859102357740773,-0.059598840486605714,-0.030966851263489713,-0.014468770078280162,109,0.716
PT11C,-0.051596437089032686,-0.06994382638552497,-0.03138292131655941,-0.015239457957408178,108,0.704
PT11D,-0.055941812404992894,-0.07693824967236795,-0.029378544025147668,-0.015690417556013487,107,0.748
PT11E,-0.0471474453489019,-0.05590028551360739,-0.026361976240309108,-0.015730394506677202,114,0.737
PT150,-0.08484270221146908,-0.10570972925548659,-0.05110856846485945,-0.021321539361792163,102,0.775
PT16B,-0.06533037763170192,-0.0859600350777189,-0.03779158316135121,-0.01775494528137294,118,0.771
PT16D,-0.06062538586559362,-0.07590819847714153,-0.03470336782139892,-0.020110115460492375,113,0.832
PT16E,-0.06297295666251265,-0.08572951348995166,-0.033140493582847284,-0.01651053425829568,112,0.759
PT16F,-0.06656962133548355,-0.09003769501427321,-0.04020197371633555,-0.023704145261385735,105,0.895
PT16G,-0.061278444750887624,-0.08233151040718328,-0.0317092499577801,-0.017064025396260736,112,0.768
PT16H,-0.0653045551996986,-0.08361790167319708,-0.036880656562253734,-0.018892799783676743,110,0.782
PT16I,-0.06820626339416781,-0.09755970690170479,-0.03883546510844006,-0.026298236652305042,106,0.877
PT16J,-0.05971388218325649,-0.08094003523220347,-0.03416287594679556,-0.010598441518500413,111,0.676
PT170,-0.07228118198177098,-0.09904951141730148,-0.04510906570781473,-0.015220086255518045,117,0.744
PT181,-0.0826184827734169,-0.10495161052927918,-0.06012671266518682,-0.02929654095730365,100,0.87
PT184,-0.07921470181744081,-0.09711495774749823,-0.05415511995622718,-0.02324340142811207,106,0.84
PT185,-0.0703958102361089,-0.09760177496498557,-0.03915149722578353,-0.020147029963172955,111,0.82
PT186,-0.07534410320236914,-0.09797735013854612,-0.05229421520192082,-0.024651917548362802,107,0.86
PT187,-0.0661645460606491,-0.09171604086985886,-0.04663950986614707,-0.01812073716095629,118,0.763
